record_type	feature_id	comparator_state	n_source_genes	effect_measure	effect	nominal_p	fdr	secondary_measure	secondary_value	supporting_genes	note
gene_set_gsea	ALVAREZ_C8_TOP50_POSTHOC	Hypoxia	50	NES_REC_minus_comparator	2.6090988419590797	0.0	0.0	tag_fraction	36/47	SLC2A1;ERO1A;ANKRD37;TFF1;STS;LDHA;EGLN3;ADM;BNIP3L;TFF3;SEMA4B;SLC6A8;LINC01559;SLC15A1;HIF1A-AS3;MIR210HG;BHLHE40;TPI1;LINC02649;ST8SIA6;TFF2;HSD17B2;SMIM24;CDA;C15ORF48;NDRG1;PGK1;FUT11;MYO7B;PAG1;PLOD2;CA9;RAB3B;PTPRR;ALDOC;P4HA1	source top-50 C8 markers
gene_set_gsea	ALVAREZ_C8_TOP50_MINUS_HALLMARK_HYPOXIA_POSTINSPECTION	Hypoxia	39	NES_REC_minus_comparator	2.44708423540239	0.0	0.0	tag_fraction	25/36	ANKRD37;TFF1;STS;EGLN3;TFF3;SEMA4B;SLC6A8;LINC01559;SLC15A1;HIF1A-AS3;MIR210HG;LINC02649;ST8SIA6;TFF2;HSD17B2;SMIM24;CDA;C15ORF48;FUT11;MYO7B;PAG1;PLOD2;CA9;RAB3B;PTPRR	post-inspection sensitivity after removing Hallmark Hypoxia genes
gene_set_gsea	ALVAREZ_C8_TOP50_POSTHOC	UPR	50	NES_REC_minus_comparator	2.7533532192938384	0.0	0.0	tag_fraction	32/42	NDRG1;PTPRR;ANKRD37;TFF3;LDHA;PLOD2;SLC2A1;EGLN3;SLC6A8;ERO1A;ST8SIA6;MIR210HG;LINC01559;CA9;PGK1;BNIP3L;FUT11;HIF1A-AS3;SEMA4B;PAG1;ADM;P4HA1;BHLHE40;TPI1;TFF1;PFKFB4;PTPRB;LINC02649;STS;BNIP3;CDA;MYO7B	source top-50 C8 markers
gene_set_gsea	ALVAREZ_C8_TOP50_MINUS_HALLMARK_HYPOXIA_POSTINSPECTION	UPR	39	NES_REC_minus_comparator	2.4549930841049843	0.0	0.0	tag_fraction	22/32	PTPRR;ANKRD37;TFF3;PLOD2;EGLN3;SLC6A8;ST8SIA6;MIR210HG;LINC01559;CA9;FUT11;HIF1A-AS3;SEMA4B;PAG1;TFF1;PFKFB4;PTPRB;LINC02649;STS;BNIP3;CDA;MYO7B	post-inspection sensitivity after removing Hallmark Hypoxia genes
gene_set_gsea	ALVAREZ_C8_TOP50_POSTHOC	iREC	50	NES_REC_minus_comparator	2.8797835388798525	0.0	0.0	tag_fraction	29/40	NDRG1;PAG1;PLOD2;HIF1A-AS3;P4HA1;TFF3;ANKRD37;SEMA4B;MIR210HG;PFKFB4;PTPRR;EGLN3;LDHA;PGK1;C15ORF48;ST8SIA6;SLC6A8;SLC15A1;MYO7B;TFF1;BNIP3;LINC02649;ERO1A;AC025580.2;TPI1;ADM;CA9;STS;PTPRB	source top-50 C8 markers
gene_set_gsea	ALVAREZ_C8_TOP50_MINUS_HALLMARK_HYPOXIA_POSTINSPECTION	iREC	39	NES_REC_minus_comparator	2.716842068810872	0.0	0.0	tag_fraction	23/30	PAG1;PLOD2;HIF1A-AS3;TFF3;ANKRD37;SEMA4B;MIR210HG;PFKFB4;PTPRR;EGLN3;C15ORF48;ST8SIA6;SLC6A8;SLC15A1;MYO7B;TFF1;BNIP3;LINC02649;AC025580.2;CA9;STS;PTPRB;FUT11	post-inspection sensitivity after removing Hallmark Hypoxia genes
recurrent_gene_overlap	C8_TOP50_vs_RECURRENT_REC_UP	all_three_principal_contrasts	40	Fisher_odds_ratio	21.81695423855964	2.9928949075282687e-09		observed_vs_expected_overlap	9 vs 0.560	ANKRD37;EGLN3;HIF1A-AS3;LDHA;MIR210HG;PGK1;SEMA4B;ST8SIA6;TFF3	common tested-gene universe n=9863
named_gene	CDH17	Hypoxia	1	log2FC_REC_minus_comparator	0.237912456774011	0.025765922944971	0.0998669271465131	moderated_t	2.37208478722319	CDH17	named feature from the functional C8 comparison
named_gene	CDH17	UPR	1	log2FC_REC_minus_comparator	0.445977354302178	0.0051388332398946	0.0294728874301378	moderated_t	3.16216560388343	CDH17	named feature from the functional C8 comparison
named_gene	CDH17	iREC	1	log2FC_REC_minus_comparator	0.935400029407063	1.76405900811255e-05	0.0038439832640093	moderated_t	5.54063957832243	CDH17	named feature from the functional C8 comparison
named_gene	CLDN2	Hypoxia	1	log2FC_REC_minus_comparator	-0.0272462120743145	0.947028594335053	0.972876464552025	moderated_t	-0.0673565236639494	CLDN2	named feature from the functional C8 comparison
named_gene	CLDN2	UPR	1	log2FC_REC_minus_comparator	-0.204640112752167	0.735054848322388	0.841765804037159	moderated_t	-0.344878193787751	CLDN2	named feature from the functional C8 comparison
