pair_id	priority	expected_direction	method	state	minimum_cells	n_patients	n_positive	n_negative	n_zero	median_rho	minimum_rho	maximum_rho	patient_equal_meta_rho	bootstrap_ci_low	bootstrap_ci_high	exact_sign_flip_p	sign_flip_fdr_within_state_method_threshold
hrc_tight_junction	primary	positive	matched_residual	Hypoxia	20	14	14	0	0	0.29298911711750103	0.11415563214220933	0.4359624011000158	0.3009366839077525	0.24800737658281533	0.3508270650274938	0.0001220703125	0.000152587890625
pemt_tight_junction	key_secondary	positive	matched_residual	Hypoxia	20	14	14	0	0	0.2232573293738466	0.1306287485679628	0.5032527105921601	0.24834765813663714	0.20407712949940154	0.30245337051570725	0.0001220703125	0.000152587890625
actin_tight_junction	secondary	positive_or_context_dependent	matched_residual	REC	20	9	9	0	0	0.21377303011128898	0.08653011394465547	0.372943722943723	0.21945386615955612	0.17200087625566896	0.269821624080265	0.00390625	0.00390625
e2f_g2m	technical_positive_control	positive	matched_residual	REC	20	9	9	0	0	0.3314019434309865	0.0826839826839827	0.5628517823639776	0.3411414588143154	0.2459854188975142	0.4308464566700152	0.00390625	0.00390625
hrc_e2f	biological_discriminator	negative_or_weak	matched_residual	REC	20	9	0	9	0	-0.07276018099547511	-0.4306620209059234	-0.006303085569657946	-0.13602338385477208	-0.24061224464489284	-0.048524366635508416	0.00390625	0.00390625
hrc_tight_junction	primary	positive	matched_residual	REC	20	9	9	0	0	0.4110694183864916	0.18975468975468981	0.4689690394843437	0.3728921715584654	0.30278189676662665	0.42991842077195597	0.00390625	0.00390625
pemt_tight_junction	key_secondary	positive	matched_residual	REC	20	9	9	0	0	0.3484378852453243	0.031746031746031744	0.4505561584373305	0.30522873562963065	0.21006939999140176	0.38565513015340375	0.00390625	0.00390625
actin_tight_junction	secondary	positive_or_context_dependent	matched_residual	UPR	20	10	5	5	0	-0.01506090580932631	-0.3432703003337041	0.15366468532259522	-0.039432997930495296	-0.13244929464508728	0.04252827375117052	0.455078125	0.455078125
e2f_g2m	technical_positive_control	positive	matched_residual	UPR	20	10	10	0	0	0.4233871763278262	0.28458595581883256	0.7400560224089636	0.5044980221035631	0.39642577157094844	0.6033696819557379	0.001953125	0.009765625
hrc_e2f	biological_discriminator	negative_or_weak	matched_residual	UPR	20	10	3	7	0	-0.20469616334597443	-0.5386554621848739	0.2560160427807487	-0.18859735240762968	-0.33345754340257333	-0.03403029840271231	0.05859375	0.0732421875
hrc_tight_junction	primary	positive	matched_residual	UPR	20	10	8	2	0	0.138629618219114	-0.1565434843011948	0.37843137254901965	0.15115114083212508	0.036517393208160685	0.2589407814607219	0.048828125	0.0732421875
pemt_tight_junction	key_secondary	positive	matched_residual	UPR	20	10	8	2	0	0.13706667387977073	-0.1109625668449198	0.3456582633053222	0.13408892593193802	0.045072188114863056	0.22381592935741051	0.02734375	0.068359375
actin_tight_junction	secondary	positive_or_context_dependent	matched_residual	iREC	20	7	4	3	0	0.06326387834453542	-0.34285714285714286	0.36420101637492946	0.0767205018528448	-0.11935453671587179	0.25529173860856635	0.46875	0.46875
e2f_g2m	technical_positive_control	positive	matched_residual	iREC	20	7	7	0	0	0.4593993325917686	0.3668634162936367	0.6724333308151393	0.510141968328968	0.43199785472187013	0.5878594768543458	0.015625	0.078125
hrc_e2f	biological_discriminator	negative_or_weak	matched_residual	iREC	20	7	2	5	0	-0.078075838620459	-0.43715239154616237	0.3804511278195489	-0.118215131696362	-0.30105204837657956	0.09186233232831788	0.296875	0.37109375
hrc_tight_junction	primary	positive	matched_residual	iREC	20	7	5	2	0	0.3739495798319328	-0.3669172932330827	0.5351413965903654	0.24979914341855833	-0.03214426716759008	0.4634179350744302	0.140625	0.2604166666666667
pemt_tight_junction	key_secondary	positive	matched_residual	iREC	20	7	4	3	0	0.31549196696451387	-0.19076923076923075	0.5878035008469792	0.2187096245765277	-0.02495856839857696	0.43421423104639145	0.15625	0.2604166666666667
actin_tight_junction	secondary	positive_or_context_dependent	matched_unadjusted	Hypoxia	20	14	14	0	0	0.22008297900822038	0.07865053322395407	0.4857142857142857	0.23725725079691434	0.18568541838739605	0.2969911121491692	0.0001220703125	0.000152587890625
e2f_g2m	technical_positive_control	positive	matched_unadjusted	Hypoxia	20	14	14	0	0	0.39986753971011846	0.14763682919022728	0.656568111735897	0.4207280935702094	0.34591805072814097	0.4910642987799015	0.0001220703125	0.000152587890625
hrc_e2f	biological_discriminator	negative_or_weak	matched_unadjusted	Hypoxia	20	14	2	12	0	-0.134142536260723	-0.4392454199165609	0.16304347826086957	-0.15818076454409136	-0.24154329756642207	-0.07232181246100108	0.0048828125	0.0048828125
hrc_tight_junction	primary	positive	matched_unadjusted	Hypoxia	20	14	14	0	0	0.3193278436852064	0.07981135497914021	0.4771138110587652	0.3222815258007385	0.268246617509919	0.3745907204892762	0.0001220703125	0.000152587890625
pemt_tight_junction	key_secondary	positive	matched_unadjusted	Hypoxia	20	14	14	0	0	0.2428556574446734	0.1818181818181818	0.5107454410206704	0.289780730761813	0.2419651114701437	0.34268964527503876	0.0001220703125	0.000152587890625
actin_tight_junction	secondary	positive_or_context_dependent	matched_unadjusted	REC	20	9	9	0	0	0.27201045892730863	0.1019397721106891	0.4715728715728717	0.2830180183018985	0.21817102384992063	0.34685649401427343	0.00390625	0.0048828125
e2f_g2m	technical_positive_control	positive	matched_unadjusted	REC	20	9	9	0	0	0.24015460752086115	0.09025974025974028	0.5756097560975609	0.2662297207757874	0.18141945565130776	0.3676875943059838	0.00390625	0.0048828125
hrc_e2f	biological_discriminator	negative_or_weak	matched_unadjusted	REC	20	9	1	8	0	-0.02369777536625068	-0.40801393728223007	0.15245310245310248	-0.11304995396854349	-0.22716118993207027	-0.0037501169672845376	0.06640625	0.06640625
hrc_tight_junction	primary	positive	matched_unadjusted	REC	20	9	9	0	0	0.45243902439024397	0.13574660633484162	0.5057921866521975	0.4015916337947433	0.32283141032355567	0.462256353123217	0.00390625	0.0048828125
pemt_tight_junction	key_secondary	positive	matched_unadjusted	REC	20	9	9	0	0	0.4070169724941378	0.1376470588235294	0.49616724738675966	0.37225490965239105	0.30474584613679523	0.42670575589616216	0.00390625	0.0048828125
actin_tight_junction	secondary	positive_or_context_dependent	matched_unadjusted	UPR	20	10	4	6	0	-0.03261804335867071	-0.18264738598442715	0.22609874106415703	0.003289968088310715	-0.07805826100392449	0.08543352568682261	0.9453125	0.9453125
e2f_g2m	technical_positive_control	positive	matched_unadjusted	UPR	20	10	10	0	0	0.43106127547372564	0.26767863754165133	0.6943977591036414	0.4593101843990166	0.3706247456795881	0.5515203804323563	0.001953125	0.009765625
hrc_e2f	biological_discriminator	negative_or_weak	matched_unadjusted	UPR	20	10	1	9	0	-0.13377532815609477	-0.5425770308123249	0.2827540106951872	-0.1635871992603107	-0.306306547777529	-0.013080448959219403	0.0703125	0.087890625
hrc_tight_junction	primary	positive	matched_unadjusted	UPR	20	10	9	1	0	0.23514612623324688	-0.10197277021394835	0.30026441036488627	0.1778756900815864	0.09135752639908026	0.248193940264933	0.009765625	0.0244140625
pemt_tight_junction	key_secondary	positive	matched_unadjusted	UPR	20	10	9	1	0	0.13384452670544686	-0.19552139037433156	0.3880347593582888	0.13492572712140474	0.03670111021438671	0.22598819539714946	0.03125	0.052083333333333336
