comparator_state	analysis_mode	n_ranked_genes	permutations	term	es	nes	nominal_p	fdr_q	fwer_p	tag_fraction	rank_fraction	leading_edge_genes	direction	term_label
iREC	full_gobp_discovery	10824	1000	GOBP_HOMOTYPIC_CELL_CELL_ADHESION	0.5476257516090142	2.0983710659445705	0.0	0.0041266878267895	0.045	25/64	13.34%	CEACAM1;CXADR;PLAUR;CDHR5;CDHR2;TJP2;SERPINE2;DSP;CEACAM5;PDIA3;PIK3CB;PRKCD;DSC2;HSPB1;JUP;ACTG1;CLIC1;F11R;MYL12A;DSG2;PLPP3;PRKCA;JAK2;IL6R;ACTB	REC_up	Homotypic cell–cell adhesion
iREC	full_gobp_discovery	10824	1000	GOBP_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM	0.8600539772539231	2.1559902158313333	0.0	0.0054741777294147	0.019	10/11	10.31%	DNAJC3;HSP90B1;HSPA5;ERO1A;ERO1B;P4HB;PDIA3;CALR;CANX;VAPA	REC_up	ER protein folding
iREC	full_gobp_discovery	10824	1000	GOBP_RESPONSE_TO_OXYGEN_LEVELS	0.4481216998491996	2.0663586836077195	0.0	0.0077322760427982	0.097	88/214	23.07%	NDRG1;FABP1;PLOD2;MALAT1;CLDN3;HYOU1;HILPDA;DDIT4;DPP4;VEGFA;FOXO1;PPARG;EGLN3;PGK1;THBS1;HK2;CPEB4;HSP90B1;STC2;PDK1;NOS2;APAF1;BNIP3;LCN2;NPEPPS;ANG;ERO1A;ENO1;CA9;P4HB;PIK3CB;FAM162A;FOXO3;CAPN2;TMBIM6;PPARD;HIF1A;EGLN1;CFLAR;HIF3A;SLC9A1;AK4;SMAD3;ATP6V1G1;EEF2K;USF1;SIRT2;HSD11B2;SLC11A2;ABAT;ATP1B1;ADAM17;EPAS1;SMAD4;BMP2;CYB5R4;POLB;SLC2A1;MMP14;ATF2;TFRC;RAD21;ATP6V0D1;BNIP3L;NFE2L2;ABCB1;STUB1;JUND;EGLN2;HSF1;ATF4;BIRC2;ITGA2;ATP6AP1;NOP53;NDUFS2;REST;PINK1;CD24;PDLIM1;CYBA;BBC3;MAP1LC3A;PPARA;LONP1;SIRT1;PML;PIN1	REC_up	Response to oxygen levels
iREC	full_gobp_discovery	10824	1000	GOBP_CENTROMERE_COMPLEX_ASSEMBLY	-0.6998027369198533	-2.227072582647728	0.0	0.0122332568939592	0.013	10/21	12.28%	CENPP;CENPF;KNTC1;CENPK;NASP;ITGB3BP;CENPE;CENPX;CENPI;POGZ	REC_down	Centromere assembly
iREC	full_gobp_discovery	10824	1000	GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE	0.6622938508399591	1.989011977380104	0.0	0.0211084293246231	0.333	7/22	6.79%	MUC13;CXADR;TFF3;MUC4;LSR;TFF1;NR1I2	REC_up	Epithelial structure maintenance
iREC	full_gobp_discovery	10824	1000	GOBP_INTERSTRAND_CROSS_LINK_REPAIR	-0.6197186273545585	-2.0483675459703674	0.0	0.0253403178517726	0.226	13/26	18.42%	FANCI;FANCA;NUCKS1;ATR;FANCD2;FANCB;CENPX;MCM9;FAAP20;ERCC1;FANCM;FAN1;RNF8	REC_down	Interstrand cross-link repair
iREC	full_reactome_discovery	10824	1000	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	0.6375751132538015	2.13836251240263	0.0	0.0016253366221295	0.006	15/33	14.48%	PRSS8;KRT19;DSP;KRT16;ST14;KRT20;DSC2;JUP;PI3;DSG2;KRT10;PCSK6;FURIN;KRT7;DSG3	REC_up	Cornified-envelope formation
iREC	full_reactome_discovery	10824	1000	REACTOME_KERATINIZATION	0.6375751132538015	2.13836251240263	0.0	0.0016253366221295	0.006	15/33	14.48%	PRSS8;KRT19;DSP;KRT16;ST14;KRT20;DSC2;JUP;PI3;DSG2;KRT10;PCSK6;FURIN;KRT7;DSG3	REC_up	Keratinization
iREC	full_reactome_discovery	10824	1000	REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR	0.5187950670396301	2.0455001850147934	0.0	0.0088490549427054	0.045	42/82	23.81%	GFPT1;HYOU1;DDIT3;DNAJC3;CREB3L2;HSP90B1;HERPUD1;IGFBP1;HSPA5;CEBPB;DNAJB11;SRPRA;SERP1;CREBRF;CREB3L1;XBP1;CEBPG;EIF2AK3;CALR;MYDGF;PDIA6;DNAJB9;SSR1;ERN1;SEC31A;DIS3;EIF2S2;ADD1;ATP6V0D1;SYVN1;KDELR3;PREB;ATF6B;ATF4;ARFGAP1;SHC1;TLN1;DCP2;PDIA5;YIF1A;CTDSP2;TPP1	REC_up	Unfolded-protein response
iREC	full_reactome_discovery	10824	1000	REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.6896217416283706	1.9210228536549576	0.0	0.0250493055881146	0.276	7/17	6.24%	CLDN3;CLDN7;CLDN18;CLDN4;PARD6B;CRB3;F11R	REC_up	Tight-junction interactions
