comparator_state	analysis_mode	n_ranked_genes	permutations	term	es	nes	nominal_p	fdr_q	fwer_p	tag_fraction	rank_fraction	leading_edge_genes	direction	family	role	citation
Intermediate	targeted_predeclared	11736	2000	OGDEN_STATE_REC_MARKERS	0.8756894495784551	2.88377671651494	0.0	0.0	0.0	29/33	9.19%	NDRG1;TSPAN1;BCAS1;COL17A1;HIF1A-AS3;ANKRD37;EGLN3;MUC13;SDCBP2;PTPRR;DUOX2;ATP1B1;ERO1A;FAM13A;HDAC9;CYP3A5;IL1RAP;SLC2A1;PAG1;DST;MXD1;CEACAM1;PLAC8;ADAM9;HKDC1;FER1L6;PLAUR;CD55;FHL2	REC_up	source_state_marker	state_identity	Ogden et al., Cell Genomics 2025; PMID 40393458
Intermediate	targeted_predeclared	11736	2000	PUBLISHED_PEMT	0.6015924361436288	2.1851143787246112	0.0	0.0	0.0	22/51	9.76%	PLOD2;SLC6A8;VEGFA;QSOX1;ECM1;ENO2;LRP1;IL32;DST;CAPG;IGFBP2;CD59;IL15;SDC4;ITGB1;TGM2;TNFRSF11B;DKK1;PLAUR;RHOB;ITGA2;PPIB	REC_up	published_signature	regenerative_interpretation	Ogden et al., Cell Genomics 2025; PMID 40393458
Intermediate	targeted_predeclared	11736	2000	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.6650978626389389	2.011399204421409	0.0	4.195036948594663e-05	0.0005	5/23	1.01%	COL17A1;PLOD2;P4HA1;P4HA2;P4HB	REC_up	MSigDB_c2.cp.reactome	pengwinkler_axis	Molecular Signatures Database
Intermediate	targeted_predeclared	11736	2000	NUSSE_REGENERATIVE	0.5199297743154573	2.0122808863934507	0.0	4.51773209848656e-05	0.0005	22/67	11.53%	OAS1;ISG15;ADM;SLC16A3;DUOXA2;TRIB3;SPATS2L;APOL1;CAPN2;ZBP1;GBP2;IFI44;S100A14;IRF7;S100A6;MX1;SH3KBP1;RHOF;CHAC1;KCNK6;OAS3;OASL	REC_up	published_signature	regenerative_interpretation	Ogden et al., Cell Genomics 2025; PMID 40393458
Intermediate	targeted_predeclared	11736	2000	PAN_EPITHELIAL_7	0.9004177679256541	1.9594156142849184	0.0	7.830735637376704e-05	0.001	7/7	10.01%	KRT19;EPCAM;KRT8;MUC1;TACSTD2;KRT18;CDH1	REC_up	composition_control	composition_control	Operational composition surrogate; not a tumour-purity estimator
Intermediate	targeted_predeclared	11736	2000	HALLMARK_TNFA_NFKB_OGDEN_COPY	0.41250239918645865	1.8058683187067404	0.0	0.001651795798509148	0.022	51/151	17.96%	EFNA1;BTG1;VEGFA;EIF1;KLF4;MARCKS;SMAD3;MXD1;BIRC3;PNRC1;PMEPA1;CDKN1A;NFIL3;LAMB3;BMP2;F2RL1;IFIT2;SDC4;B4GALT1;TUBB2A;LITAF;BCL6;IL23A;PLAUR;TNIP1;MAFF;RHOB;CFLAR;IL18;ABCA1;IFIH1;RELA;CEBPB;BIRC2;TNFAIP2;DUSP5;PLPP3;DUSP4;RCAN1;BHLHE40;FOSL2;TNIP2;DDX58;EDN1;IL6ST;EHD1;CCND1;TIPARP;CEBPD;KLF6;PLK2	REC_up	published_signature	regulatory_context	Ogden et al., Cell Genomics 2025; PMID 40393458
Intermediate	targeted_predeclared	11736	2000	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.4342065921878959	1.7912404248956153	0.0	0.0018310102446219057	0.0255	43/102	21.29%	VEGFA;HSPA5;DNAJB9;ERO1A;IFIT1;HSP90B1;HERPUD1;CALR;ATF4;PDIA6;YWHAZ;NABP1;SRPRA;HYOU1;SSR1;DDIT4;TUBB2A;EIF2AK3;SERP1;SEC31A;CEBPG;ALDH18A1;CHAC1;ATP6V0D1;CEBPB;DNAJC3;SHC1;KDELR3;POP4;EDEM1;XPOT;EEF2;GOSR2;XBP1;SPCS1;ERN1;SEC11A;SPCS3;STC2;NFYB;YIF1A;EIF4A2;DCTN1	REC_up	MSigDB_h.all	generic_stress	Molecular Signatures Database
Intermediate	targeted_predeclared	11736	2000	OGDEN_STATE_IREC_MARKERS	0.5226751104393461	1.738892381027835	0.004219409282700422	0.0028712697337047914	0.042	10/33	9.47%	ISG15;KRT19;IFI6;RIOK3;HDAC9;PMEPA1;TNFRSF11B;S100A6;LY6E;FRMD5	REC_up	source_state_marker	rival_state	Ogden et al., Cell Genomics 2025; PMID 40393458
Intermediate	targeted_predeclared	11736	2000	PUBLISHED_YAP	0.42839365953774244	1.7035159156299606	0.0007668711656441718	0.003956582216779809	0.0595	24/79	14.55%	AHNAK;NBL1;MYOF;MSLN;S100A11;LGALS3;CLIC3;TRPM6;CAPN2;CXCL16;TM4SF1;S100A14;KRT23;S100A6;PLAUR;RHOF;S100A4;ITGB6;ZNF185;S100A16;GJB3;GPRC5A;RHOD;WWC2	REC_up	published_signature	regenerative_interpretation	Ogden et al., Cell Genomics 2025; PMID 40393458
Intermediate	targeted_predeclared	11736	2000	PUBLISHED_FETAL	0.3754280089496124	1.6778451612878036	0.0	0.005667494917551389	0.0875	54/177	16.18%	SORL1;AHNAK;HSPB1;GSN;PDZK1IP1;FOXQ1;ECM1;MSLN;S100A11;ITGB4;CLIC3;CAPN2;PMEPA1;PPIC;CAPN5;EPS8L1;CXCL16;TINAGL1;TIMP2;ARL1;PRSS22;AKAP13;FKBP9;PPL;S100A14;CTSH;KRT23;ARL4C;TACSTD2;S100A6;PLAUR;SH3KBP1;CD55;GCNT3;PRKAR1A;S100A4;KRT18;PHLDA3;RDH10;IL17RE;S100A16;SH3BGRL2;BASP1;GATM;GJB3;GPC1;RHOD;DAPK1;PMM1;WWC2;RAB27B;VAMP5;CCND1;WWTR1	REC_up	published_signature	regenerative_interpretation	Ogden et al., Cell Genomics 2025; PMID 40393458
