k	state	metric	value_type	test	hgp	n_ehgp	n_rhgp	effect	bootstrap_ci_lower	bootstrap_ci_upper	exact_p_two_sided	n_exact_assignments	fdr_bh_across_metrics_within_state	fdr_bh_across_states_within_metric
5	NC2	homotypic_neighbour_slot_fraction	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.014484399092455913	-0.26430290449998256	0.205425372544229	0.9055167055167055	6435	0.9055167055167055	0.9055167055167055
5	NC2	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.047689242724482085	0.02046431235468141	0.07430860779334002	0.0625	128	0.125	0.0625
5	NC2	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.07179268074153469	0.05266913261766809	0.09289689769597498	0.0078125	256	0.015625	0.03125
5	NC2	homotypic_neighbour_slot_fraction	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.024103438017052607	-0.008916122649760947	0.0586680611629174	0.20916860916860916	6435	0.4183372183372183	0.20916860916860916
5	NC3	dhc_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.09489786785627706	0.05074762775040377	0.1449641974969383	0.0006216006216006216	6435	0.0024864024864024864	0.001554001554001554
5	NC3	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.00042646963346749765	-0.0011643022284132246	0.002371782096819038	0.75	128	1.0	1.0
5	NC3	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.00835805507642008	-0.002533909564910411	0.020707622238811757	0.234375	256	0.46875	0.9375
5	NC3	dhc_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.007931585442952582	-0.0030620496554089553	0.02023392651940153	0.291996891996892	6435	0.291996891996892	0.922921522921523
5	NC3	hc1_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.0001791312000820537	-0.002243135945713482	0.0018332905827163155	0.8999222999222999	6435	0.8999222999222999	1.0
5	NC3	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.00041572265660231857	-0.0009499209950944142	0.0022137448361634784	1.0	128	1.0	1.0
5	NC3	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	-0.0011156853336406055	-0.002510490023396769	-1.0191676929024964e-05	0.171875	256	0.46875	0.25
5	NC3	hc1_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.0015314079902429242	-0.0036855582218097596	0.0002774448858837894	0.19238539238539237	6435	0.2565138565138565	0.2565138565138565
5	NC3	homotypic_any_neighbour	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.35633738353071226	0.18998214632952676	0.5222418176897348	0.002797202797202797	6435	0.005594405594405594	0.005594405594405594
5	NC3	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.10677938205822406	0.060868581814916514	0.15069167338846837	0.015625	128	0.03125	0.03125
5	NC3	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	-0.006604703870852817	-0.021994539244360692	0.00584025862132817	0.4609375	256	0.6145833333333334	0.4609375
5	NC3	homotypic_any_neighbour	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.11338408592907687	-0.15910897935713747	-0.06430463930178164	0.0004662004662004662	6435	0.0018648018648018648	0.0012432012432012432
5	NC3	homotypic_neighbour_slot_fraction	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.16431240864187682	0.0849086976159818	0.24135016389628236	0.004351204351204351	6435	0.005801605801605801	0.008702408702408702
5	NC3	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.03990264243731427	0.01990598914328026	0.059740552255612596	0.015625	128	0.03125	0.020833333333333332
5	NC3	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.00022021841679127283	-0.00870115803084925	0.01184481422483551	0.984375	256	0.984375	0.984375
5	NC3	homotypic_neighbour_slot_fraction	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.039682424020522994	-0.06196532279799728	-0.016460387944928167	0.007303807303807304	6435	0.014607614607614608	0.014607614607614608
5	NCγ	dhc_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.002526112070844597	-0.014238152883104462	0.024651527277577696	0.8834498834498834	6435	1.0	0.8834498834498834
5	NCγ	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.0007794799695536933	-0.0018646342663203204	0.004861885756307739	1.0	128	1.0	1.0
5	NCγ	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.007120741400102685	-0.0030647979846689846	0.025467725541708723	0.96875	256	0.96875	0.96875
5	NCγ	dhc_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.006341261430548992	-0.005632096031459575	0.02563686088500808	0.922921522921523	6435	0.922921522921523	0.922921522921523
5	NCγ	hc1_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.0	0.0	0.0	1.0	6435	1.0	1.0
5	NCγ	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		-0.0002221625117817894	-0.0005136405646501641	-1.793821688209261e-05	0.0625	128	0.08333333333333333	0.125
5	NCγ	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	-0.00018383748119231314	-0.00035232770845468613	-5.1874998840503396e-05	0.125	256	0.2708333333333333	0.25
5	NCγ	hc1_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	3.832503058947626e-05	-0.00024124392827091335	0.00037370121915924494	0.8065268065268065	6435	0.922921522921523	0.8065268065268065
5	NCγ	homotypic_any_neighbour	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.4719460252846608	-0.6198171149575115	-0.30821127987858465	0.0003108003108003108	6435	0.0006216006216006216	0.0012432012432012432
5	NCγ	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.18506542649186317	0.14837457931793058	0.2267296289619077	0.015625	128	0.03125	0.03125
5	NCγ	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.0316975403816327	-0.0031639126617611863	0.07002321348707918	0.203125	256	0.2708333333333333	0.2708333333333333
5	NCγ	homotypic_any_neighbour	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.15336788611023047	-0.20868688702187135	-0.09900777150076244	0.0006216006216006216	6435	0.0012432012432012432	0.0012432012432012432
5	NCγ	homotypic_neighbour_slot_fraction	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.2024895917619318	-0.28206499138129426	-0.11873382723818499	0.0003108003108003108	6435	0.0006216006216006216	0.0012432012432012432
5	NCγ	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.12294446636563332	0.08199196955050507	0.16625919527101615	0.015625	128	0.03125	0.020833333333333332
5	NCγ	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.008880527420480917	-0.0004929719347306268	0.0200930668397799	0.203125	256	0.2708333333333333	0.2708333333333333
5	NCγ	homotypic_neighbour_slot_fraction	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.1140639389451524	-0.15789339798461158	-0.07160466598943532	0.0001554001554001554	6435	0.0006216006216006216	0.0006216006216006216
10	NC1	dhc_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.03463437907521903	-0.015951498028286812	0.07783398985167234	0.20155400155400155	6435	0.26873866873866875	0.26873866873866875
10	NC1	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.0019714106885489026	-0.0011488021737042255	0.00671695259640688	0.625	128	0.625	0.8125
10	NC1	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.004975048018758914	-0.013130931676122745	0.02393820512474871	0.65625	256	0.875	0.875
10	NC1	dhc_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.0030036373302100112	-0.015285044628936413	0.022532576844387316	0.7995337995337995	6435	0.7995337995337995	0.9381507381507381
10	NC1	hc1_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.003917148680403481	-0.014304221483166017	0.005006520641823447	0.45174825174825173	6435	0.45174825174825173	0.4666666666666667
10	NC1	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.0042250154538280476	2.3546888929347545e-05	0.012327348870739592	0.1875	128	0.375	0.5
10	NC1	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.0006784872342831508	-0.001143636235597244	0.0034558593987144256	0.890625	256	0.890625	0.890625
10	NC1	hc1_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.0035465282195448968	-0.012445773333033025	0.0022835244870552567	0.48158508158508156	6435	0.6421134421134421	0.6421134421134421
10	NC1	homotypic_any_neighbour	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.30941689168530806	-0.6226180666661933	0.05095706803612085	0.10986790986790987	6435	0.21973581973581974	0.1464905464905465
10	NC1	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.0018337673508022265	-0.002064416880703936	0.006235241830173009	0.5	128	0.625	0.5
10	NC1	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.035930330301886804	-0.0018059219262923643	0.07590193027219334	0.140625	256	0.28125	0.2708333333333333
10	NC1	homotypic_any_neighbour	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.034096562951084576	-0.003993095778931572	0.07330781626439008	0.1571095571095571	6435	0.3142191142191142	0.20947940947940946
10	NC1	homotypic_neighbour_slot_fraction	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.34812745573775267	-0.5331409216663301	-0.13002279431455754	0.012276612276612277	6435	0.04910644910644911	0.01636881636881637
10	NC1	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.04944679539562043	0.01868067072445967	0.08510209139744798	0.03125	128	0.125	0.03125
10	NC1	homotypic_neighbour_slot_fraction	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.014481728873728252	0.004672241813734362	0.025393262098653197	0.03125	256	0.125	0.0625
10	NC1	homotypic_neighbour_slot_fraction	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.03496506652189217	-0.07146052799852746	-0.002634227247633975	0.05843045843045843	6435	0.23372183372183372	0.0779072779072779
10	NC2	dhc_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.16011933175943632	0.10106607975776706	0.21915095673612625	0.000777000777000777	6435	0.003108003108003108	0.001554001554001554
10	NC2	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.0016910207627050255	-0.002145178724745765	0.006917327553378477	0.71875	128	0.71875	0.8125
10	NC2	dhc_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.0008182255801444452	-0.015620715291795345	0.017229175052626472	0.90625	256	0.90625	0.90625
10	NC2	dhc_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	-0.0008727951825605804	-0.018722888636581413	0.01593656188460428	0.9381507381507381	6435	0.9381507381507381	0.9381507381507381
10	NC2	hc1_dual_interface	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.0065258943179868365	0.0018360853316266325	0.011912994399822362	0.024864024864024864	6435	0.04972804972804973	0.09945609945609946
10	NC2	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		-0.0009924226634073308	-0.002475984174091745	3.389015101819008e-05	0.25	128	0.3333333333333333	0.5
10	NC2	hc1_dual_interface	spatial_null_residual	within_hgp_mean_vs_zero	RHGP		8.0	0.0021365531082209836	0.00031137748277290753	0.00435676341834369	0.078125	256	0.10416666666666667	0.15625
10	NC2	hc1_dual_interface	spatial_null_residual	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.003128975771628314	0.0009247535521485428	0.005722822210401056	0.029681429681429682	6435	0.11872571872571873	0.11872571872571873
10	NC2	homotypic_any_neighbour	observed_proportion	rhgp_minus_ehgp	RHGP_minus_EHGP	7.0	8.0	0.14483778630636812	-0.10178871782711232	0.387382252486916	0.28003108003108	6435	0.37337477337477337	0.28003108003108
10	NC2	homotypic_any_neighbour	spatial_null_residual	within_hgp_mean_vs_zero	EHGP	7.0		0.07872602746164514	0.02487673586090747	0.1446883442542457	0.015625	128	0.03125	0.020833333333333332
