component	covariate	deoverlap	shared_removed	n_genes	effect	low	high	valid_bootstraps
HRC	Epithelial	FALSE	""	97	0.352962033117057	0.122873974272764	0.596257681435066	10000
HRC	Liver	FALSE	""	97	0.435607278274076	0.100689652142494	1.05279601054931	10000
Junction	Epithelial	FALSE	""	28	0.297077580812419	0.09585900195107	0.501623737006899	10000
Junction	Liver	FALSE	""	28	0.230673300338957	-0.00981084663572922	0.40117155729716	10000
