component	omitted	method	effect
E2F	KR-021	gene_restandardization	-0.425703154841454
E2F	KR-031	fixed_scores	-0.214263163369632
E2F	KR-031	gene_restandardization	-0.222313690192831
E2F	KR-066	fixed_scores	-0.399216475900832
E2F	KR-066	gene_restandardization	-0.395144553397779
G2M	KR-003	fixed_scores	-0.251190679499864
G2M	KR-003	gene_restandardization	-0.247957300620127
G2M	KR-005	fixed_scores	-0.248016187782135
G2M	KR-005	gene_restandardization	-0.254047321372883
G2M	KR-007	fixed_scores	-0.251758311464837
G2M	KR-007	gene_restandardization	-0.248610031044239
G2M	KR-011	fixed_scores	-0.339032362791899
G2M	KR-011	gene_restandardization	-0.354432570479063
G2M	KR-015	fixed_scores	-0.210435938809358
G2M	KR-015	gene_restandardization	-0.208728514311177
G2M	KR-017	fixed_scores	-0.271881440156913
G2M	KR-017	gene_restandardization	-0.264510386520235
G2M	KR-025	fixed_scores	-0.336357366201743
G2M	KR-025	gene_restandardization	-0.354989096360193
G2M	KR-027	fixed_scores	-0.273604172007183
G2M	KR-027	gene_restandardization	-0.269156950153299
G2M	KR-064	fixed_scores	-0.19566405462865
G2M	KR-064	gene_restandardization	-0.19367974988284
G2M	KR-009	fixed_scores	-0.163728885902354
G2M	KR-009	gene_restandardization	-0.170287528795955
G2M	KR-013	fixed_scores	-0.307544333905403
G2M	KR-013	gene_restandardization	-0.299374709376518
G2M	KR-019	fixed_scores	-0.328941451399171
G2M	KR-019	gene_restandardization	-0.333295639330322
G2M	KR-021	fixed_scores	-0.30722383011004
G2M	KR-021	gene_restandardization	-0.302159334743259
G2M	KR-031	fixed_scores	-0.169400552345383
G2M	KR-031	gene_restandardization	-0.175922954860059
G2M	KR-066	fixed_scores	-0.30845462189937
G2M	KR-066	gene_restandardization	-0.303650671996599
HRC_disjoint	KR-003	fixed_scores	0.564148386744377
HRC_disjoint	KR-003	gene_restandardization	0.573350738663883
HRC_disjoint	KR-005	fixed_scores	0.453621299025035
HRC_disjoint	KR-005	gene_restandardization	0.459409632204059
HRC_disjoint	KR-007	fixed_scores	0.5370992945724
HRC_disjoint	KR-007	gene_restandardization	0.548393998295579
HRC_disjoint	KR-011	fixed_scores	0.559772811213536
