component	n_patients	n_genes	effect	low	high	p	family	q
HRC	15	97	0.51191690747033	0.197639190870028	0.827496126168346	0.00939060939060939	four_full	0.0187812187812188
Junction	15	28	0.286126842073442	0.139558367000978	0.446114749960016	0.00659340659340659	four_full	0.0187812187812188
E2F	15	194	-0.36321275883977	-0.854718361614562	0.109249961713484	0.167232767232767	four_full	0.215584415584416
G2M	15	188	-0.26421561259362	-0.642767794165497	0.0865870077374902	0.215584415584416	four_full	0.215584415584416
HRC_disjoint	15	95	0.525682340948873	0.202911848010251	0.847815686446057	0.00919080919080919	two_disjoint	0.00919080919080919
Junction_disjoint	15	26	0.319055151676046	0.165934007007506	0.485785455743171	0.004995004995005	two_disjoint	0.00919080919080919
