neighbour	component	n	effect	low	high	p	n_positive	loo_min	loo_max	q_within_four_tests
neighbour_liver	Claudin	11	-0.034390225098208375	-0.0589564208336957	-0.009757434529958985	0.0263671875	3	-0.04086588234494447	-0.02652790536410742	0.03515625
neighbour_liver	Polarity	11	-0.0702693389572424	-0.10499540338018021	-0.040636379356728675	0.001953125	1	-0.07857943155362865	-0.056968355504025965	0.0078125
neighbour_stroma	Claudin	11	-0.021916035400417824	-0.08127260502963649	0.031058114650893497	0.505859375	6	-0.031881660654990734	-0.0006637380996545655	0.505859375
neighbour_stroma	Polarity	11	-0.047360645469613306	-0.07122687770042453	-0.02327134012821174	0.005859375	2	-0.052646082823619086	-0.040115508456871556	0.01171875
