patient	hgp	n_cells	library_size	matched_program_genes	rec_program_score	program_raw_count	pooled_program_log2_cpm	hypoxia_mp6_overlap	regenerative_overlap	experimental_ap1_target_overlap	nfkb_regulon_overlap
PT44	rHGP	369	4896689	50	0.337587427595713	18618	11.8926423616625	-0.82614768521694	0.339436648630034	0.787621943975483	0.422777388812475
PT54	rHGP	24972	40129011	50	0.309326804831587	215561	12.3911662739702	0.151712142235614	-0.215861168617638	0.785229988808097	0.338670835137617
PT55	dHGP	934	2939725	50	-0.241386011077049	5826	10.9527321025123	0.138473823340886	0.0134534290489415	-0.313780712015641	0.119371121554201
PT59	rHGP	38	177193	50	-0.175659529869869	1136	12.6469803103585	0.854318167190658	-0.194393411618806	-0.583550406927029	-0.62016076041584
PT61	dHGP	4887	16764722	50	-0.229868691480382	34560	11.0094797283554	-0.31835644755022	0.0573645025574666	-0.675520813840912	-0.260658585088453
