endpoint	role	n_EHGP	n_RHGP	EHGP_mean	RHGP_mean	mean_difference_RHGP_minus_EHGP	mean_difference_bootstrap_CI_low	mean_difference_bootstrap_CI_high	EHGP_median	RHGP_median	EHGP_q1	EHGP_q3	RHGP_q1	RHGP_q3	probability_RHGP_greater_than_EHGP	rank_biserial_correlation	exact_mean_difference_permutation_p	exact_label_assignments	holm_p_across_two_primary	expected_direction_positive
liver_epithelial_k10__any_target_neighbour_rate_equal_roi	primary	7	8	0.12085012489231621	0.5589358312239783	0.43808570633166205	0.29843815700745047	0.5695817643773202	0.10993071593533488	0.5912719596584319	0.06078999929470598	0.15502594288348834	0.4839046409427039	0.6594388986871464	0.9821428571428571	0.9642857142857142	0.0006216006216006216	6435	0.0006216006216006216	True
nc3_fraction_neoplastic_equal_roi	primary	7	8	0.07780434863123266	0.5215313028990096	0.443726954267777	0.32940971337408687	0.559790737655124	0.04573304157549234	0.5149837897151978	0.03670984985358046	0.12183275447502004	0.3804727775079777	0.6755411023774802	1.0	1.0	0.0003108003108003108	6435	0.0006216006216006216	True
