dataset	normalization	component	score	n_genes	n	effect	low	high	p	loo_min	loo_max	q
Spatial_rHGP_minus_dHGP_tumour	library_only	Polarity	mean_logCPM	8	6	-0.10148132602973181	-0.514060664466709	0.31109801240724444	0.7	-0.2832869408213181	0.08016805298665108	0.7
Spatial_rHGP_minus_dHGP_tumour	library_only	Polarity	mean_gene_z	8	6	-0.2528147594481643	-0.8673997887447751	0.36177026984844635	0.5	-0.4982688750840504	0.002676509804185212	0.6666666666666666
Spatial_rHGP_minus_dHGP_near	TMM	Claudin	mean_logCPM	13	6	0.9192417780404432	0.4563151927312825	1.382168363349603	0.1	0.719024986641247	1.1423947486602373	0.2
Spatial_rHGP_minus_dHGP_near	TMM	Claudin	mean_gene_z	13	6	0.6341054402046424	0.39429453213422605	0.9431584069856547	0.1	0.473706198069342	0.7203599037682575	0.4
Spatial_rHGP_minus_dHGP_near	TMM	HRC	mean_logCPM	87	6	0.21639754910278697	-0.3580352290630513	0.6898597790859533	0.6	0.04102476608557826	0.5060632271192249	0.7999999999999999
Spatial_rHGP_minus_dHGP_near	TMM	HRC	mean_gene_z	87	6	0.21861149903993138	-0.42683417365930343	0.7066407420983079	0.6	0.047300152217634714	0.5611596580457272	0.7999999999999999
Spatial_rHGP_minus_dHGP_near	TMM	Junction	mean_logCPM	22	6	0.5685912056531963	0.41955176170581154	0.717630649600582	0.1	0.5114965268876084	0.642804146432387	0.2
Spatial_rHGP_minus_dHGP_near	TMM	Junction	mean_gene_z	22	6	0.3635593746336161	0.11040675917980791	0.5889749312510937	0.2	0.29284858475671294	0.4901356823605202	0.4
Spatial_rHGP_minus_dHGP_near	TMM	Polarity	mean_logCPM	8	6	0.054453088763478874	-0.324456145560843	0.43336232308780076	0.8	-0.10557985001795256	0.205038578016409	0.8
Spatial_rHGP_minus_dHGP_near	TMM	Polarity	mean_gene_z	8	6	-0.08507521110701828	-0.46197043977058666	0.39439043112439576	0.9	-0.32696897939632563	0.1033724032247659	0.9
Spatial_rHGP_minus_dHGP_near	library_only	Claudin	mean_logCPM	13	6	0.7866105569858313	0.26940775885486	1.3038133551168025	0.2	0.5518983241146165	1.006083669278424	0.4
Spatial_rHGP_minus_dHGP_near	library_only	Claudin	mean_gene_z	13	6	0.5022793243778327	0.11370354576512542	0.9264747125919515	0.2	0.281430115248675	0.6965672136841865	0.8
Spatial_rHGP_minus_dHGP_near	library_only	HRC	mean_logCPM	87	6	0.08323498023411613	-0.6329446272776931	0.7443787971749458	0.8	-0.15416897031363685	0.44132478399002206	0.8
Spatial_rHGP_minus_dHGP_near	library_only	HRC	mean_gene_z	87	6	0.05890738398051713	-0.6942883259327602	0.7063063252718425	0.8	-0.1434366513600133	0.4582680180916673	0.8
Spatial_rHGP_minus_dHGP_near	library_only	Junction	mean_logCPM	22	6	0.4358890630786849	0.11559534651748837	0.6820232919771643	0.1	0.32977416367750667	0.6058906787590859	0.4
Spatial_rHGP_minus_dHGP_near	library_only	Junction	mean_gene_z	22	6	0.19950680590420605	-0.23344779104991759	0.6224991695878926	0.7	0.058228471687179775	0.41598410438126787	0.8
Spatial_rHGP_minus_dHGP_near	library_only	Polarity	mean_logCPM	8	6	-0.07829113318452663	-0.5244487297026774	0.3678664633336233	0.7	-0.27164305156955404	0.13329670121372317	0.8
Spatial_rHGP_minus_dHGP_near	library_only	Polarity	mean_gene_z	8	6	-0.26421338797662725	-0.9016389332500365	0.37321215729678203	0.5	-0.5383681450783182	0.01837908597894075	0.8
