proxy	gene	excluded_target_overlap
Epithelial	CDH1	FALSE
Epithelial	EPCAM	FALSE
Epithelial	KRT18	FALSE
Epithelial	KRT19	FALSE
Epithelial	KRT8	FALSE
Epithelial	MUC1	FALSE
Epithelial	TACSTD2	FALSE
Liver	ALB	FALSE
Liver	APOA1	FALSE
Liver	APOA2	FALSE
Liver	ASGR1	FALSE
Liver	CPS1	FALSE
Liver	TTR	FALSE
Endothelial	VWF	FALSE
Endothelial	PECAM1	FALSE
Endothelial	EMCN	FALSE
Endothelial	KDR	FALSE
Endothelial	ENG	FALSE
Endothelial	RAMP2	FALSE
Endothelial	PLVAP	FALSE
Endothelial	ESAM	FALSE
