gene	retained
ADAMTS13	TRUE
ADAMTS14	TRUE
ADAMTS15	TRUE
ADAMTS16	TRUE
ADAMTS17	TRUE
ADAMTS18	TRUE
ADAMTS19	TRUE
ADAMTS2	TRUE
ADAMTS20	FALSE
ADAMTS3	TRUE
ADAMTS4	TRUE
ADAMTS5	TRUE
ADAMTS6	TRUE
ADAMTS7	TRUE
ADAMTS8	FALSE
ADAMTS9	TRUE
ADAMTSL1	TRUE
ADAMTSL2	TRUE
ADAMTSL3	TRUE
ADAMTSL4	TRUE
ADAMTSL5	TRUE
ADAP1	TRUE
ADAP2	TRUE
ADAR	TRUE
ADARB1	TRUE
ADARB2	TRUE
ADAT1	TRUE
ADAT3	FALSE
ADCK2	TRUE
ADCK5	TRUE
ADCY1	TRUE
ADCY10	TRUE
ADCY2	FALSE
ADCY3	TRUE
ADCY4	TRUE
ADCY5	TRUE
ADCY6	TRUE
ADCY7	TRUE
ADCY8	TRUE
ADCY9	TRUE
ADCYAP1	TRUE
ADCYAP1R1	FALSE
ADD1	TRUE
ADD2	FALSE
ADD3	TRUE
ADGB	FALSE
ADGRA1	FALSE
ADGRA2	TRUE
ADGRA3	TRUE
ADGRB1	TRUE
ADGRB2	TRUE
ADGRB3	TRUE
ADGRD1	TRUE
ADGRD2	TRUE
ADGRE1	FALSE
ADGRE2	TRUE
ADGRE3	TRUE
ADGRE5	TRUE
ADGRF1	TRUE
ADGRF2	TRUE
ADGRF3	TRUE
ADGRF4	TRUE
ADGRF5	TRUE
ADGRG1	TRUE
ADGRG2	FALSE
ADGRG3	TRUE
ADGRG4	FALSE
ADGRG5	TRUE
ADGRG6	TRUE
ADGRG7	TRUE
ADGRL1	TRUE
ADGRL2	TRUE
ADGRL3	TRUE
ADGRL4	TRUE
ADGRV1	TRUE
ADH1A	TRUE
ADH1C	TRUE
ADH4	TRUE
ADH5	TRUE
ADH6	TRUE
ADH7	FALSE
ADHFE1	TRUE
ADI1	TRUE
ADIG	TRUE
ADIPOQ	FALSE
ADIPOR1	TRUE
ADIPOR2	TRUE
ADIRF	TRUE
ADK	TRUE
ADM	TRUE
ADM2	TRUE
ADM5	TRUE
ADNP	TRUE
ADNP2	TRUE
ADO	TRUE
ADORA1	TRUE
ADORA2A	TRUE
ADORA2B	TRUE
ADORA3	TRUE
ADPGK	TRUE
ADPRH	TRUE
ADPRHL1	TRUE
ADPRHL2	TRUE
ADPRM	TRUE
ADRA1A	TRUE
ADRA1B	TRUE
ADRA1D	TRUE
ADRA2A	TRUE
ADRA2B	TRUE
ADRA2C	TRUE
ADRB1	TRUE
ADRB2	TRUE
ADRB3	FALSE
ADRM1	TRUE
ADSL	TRUE
ADSS	TRUE
ADSSL1	TRUE
ADTRP	TRUE
AEBP1	TRUE
AEBP2	TRUE
AEN	TRUE
AFAP1	TRUE
AFAP1L1	TRUE
AFAP1L2	TRUE
AFDN	TRUE
AFF1	TRUE
AFF2	TRUE
AFF3	TRUE
AFF4	TRUE
AFG1L	TRUE
AFG3L2	TRUE
AFM	TRUE
AFP	FALSE
AFTPH	TRUE
AGA	TRUE
AGAP1	TRUE
AGAP2	TRUE
AGAP3	TRUE
AGBL1	FALSE
AGBL2	TRUE
AGBL3	TRUE
AGBL4	TRUE
AGBL5	TRUE
AGER	TRUE
AGFG1	TRUE
AGFG2	TRUE
AGGF1	TRUE
AGK	TRUE
AGL	TRUE
AGMAT	TRUE
AGMO	TRUE
AGO1	TRUE
AGO2	TRUE
AGO3	TRUE
AGO4	TRUE
AGPAT1	TRUE
AGPAT2	TRUE
AGPAT3	TRUE
AGPAT4	TRUE
AGPAT5	TRUE
AGPS	TRUE
AGR2	TRUE
AGR3	TRUE
AGRN	TRUE
AGRP	TRUE
AGT	TRUE
AGTPBP1	TRUE
AGTR1	TRUE
AGTR2	FALSE
AGTRAP	TRUE
AGXT	TRUE
AGXT2	TRUE
AHCTF1	TRUE
AHCYL1	TRUE
AHCYL2	TRUE
AHDC1	TRUE
AHI1	TRUE
AHNAK	TRUE
AHNAK2	TRUE
AHR	TRUE
AHRR	TRUE
AHSA1	TRUE
AHSG	TRUE
AHSP	FALSE
AICDA	TRUE
AIDA	TRUE
AIF1	TRUE
AIF1L	TRUE
AIFM1	TRUE
AIFM2	TRUE
AIFM3	TRUE
AIG1	TRUE
AIM2	TRUE
AIMP1	TRUE
AIMP2	TRUE
AIP	TRUE
AIPL1	FALSE
AIRE	TRUE
AJAP1	FALSE
AJM1	TRUE
AJUBA	TRUE
AK1	TRUE
AK4	TRUE
AK5	FALSE
AK7	TRUE
AK8	TRUE
AK9	TRUE
AKAIN1	FALSE
AKAP1	TRUE
AKAP10	TRUE
AKAP11	TRUE
AKAP12	TRUE
AKAP13	TRUE
AKAP14	FALSE
AKAP17A	TRUE
AKAP3	TRUE
AKAP4	FALSE
AKAP5	TRUE
AKAP6	TRUE
AKAP7	TRUE
AKAP8	TRUE
AKAP8L	TRUE
AKAP9	TRUE
