study	patient	scoring	model	n_cells	n_samples	max_rho_error
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	1.942890293094024e-16
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	4.440892098500626e-16
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL15	fixed_background	common	1265	1	3.885780586188048e-16
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	fixed_background	common	251	1	1.1102230246251565e-16
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	fixed_background	common	262	1	5.551115123125783e-17
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	3.608224830031759e-16
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	6.938893903907228e-17
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	fixed_background	common	550	1	1.6653345369377348e-16
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P4	fixed_background	common	1519	4	2.220446049250313e-16
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt01	fixed_background	common	2830	1	2.7755575615628914e-17
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt02	fixed_background	common	2225	1	3.0531133177191805e-16
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt03	fixed_background	common	2377	1	3.0531133177191805e-16
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt04	fixed_background	common	3307	1	3.0531133177191805e-16
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt05	fixed_background	common	438	2	5.551115123125783e-17
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt06	fixed_background	common	1169	2	2.0816681711721685e-16
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt07	fixed_background	common	829	1	1.1102230246251565e-16
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt08	fixed_background	common	6787	2	2.0816681711721685e-17
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt11	fixed_background	common	661	1	2.7755575615628914e-17
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt15	fixed_background	common	5121	1	3.3306690738754696e-16
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt17	fixed_background	common	187	1	5.551115123125783e-17
Liu_2024_Cancer_Res	Liu_2024_Cancer_Res.Pt18	fixed_background	common	5609	1	2.7755575615628914e-17
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P5915	fixed_background	common	1138	1	2.7755575615628914e-17
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6198	fixed_background	common	5333	1	1.3877787807814457e-17
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6335	fixed_background	common	242	1	1.6653345369377348e-16
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0107	fixed_background	common	121	1	8.326672684688674e-17
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0813	fixed_background	common	3124	2	9.71445146547012e-17
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0920	fixed_background	common	9962	2	1.3877787807814457e-16
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P1231	fixed_background	common	286	1	1.1102230246251565e-16
Ogden_2025	CRC01	fixed_background	common	342	1	1.6653345369377348e-16
Ogden_2025	CRC02	fixed_background	common	706	1	2.7755575615628914e-17
Ogden_2025	CRC03	fixed_background	common	452	1	2.7755575615628914e-17
Ogden_2025	CRC04	fixed_background	common	2678	1	5.551115123125783e-17
Ogden_2025	CRC05	fixed_background	common	654	1	5.551115123125783e-17
Ogden_2025	CRC06	fixed_background	common	997	1	5.551115123125783e-17
Ogden_2025	CRC07	fixed_background	common	436	1	2.7755575615628914e-17
Ogden_2025	CRC08	fixed_background	common	3323	1	7.494005416219807e-16
Ogden_2025	CRC09	fixed_background	common	1323	1	2.3592239273284576e-16
Ogden_2025	CRC10	fixed_background	common	1500	1	1.942890293094024e-16
Ogden_2025	CRC11	fixed_background	common	952	1	5.551115123125783e-17
Ogden_2025	CRC12	fixed_background	common	341	1	1.6653345369377348e-16
Ogden_2025	CRC14	fixed_background	common	1554	1	1.1102230246251565e-16
Ogden_2025	CRC15	fixed_background	common	729	1	7.806255641895632e-17
