study	patient	scoring	model	n_cells	n_samples	gene	rho	z
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	CRB3	0.011023169004058997	0.011023615512637806
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	F11R	-0.02257059167700777	-0.022574425573216164
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	PALS1	0.07783629886706193	0.07799406288344624
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	PARD3	0.19025514919044353	0.19260188758193963
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	PARD6A	-0.04560555238619219	-0.04563720972022367
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	PARD6B	0.17926110930307854	0.1812191610158681
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	PARD6G	-0.0033039889558581603	-0.003304000978429165
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	PATJ	0.009475509072742676	0.009475792675074557
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	fixed_background	common	1872	1	PRKCI	0.06997266636435853	0.07008720247716506
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN1	0.19608553229022355	0.19865828358600743
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN10	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN11	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN12	0.13466795232849407	0.13549101534296154
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN14	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN15	0.21782172096463617	0.2213681871900925
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN16	0.030267474483965093	0.030276722447536427
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN17	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN18	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN19	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN2	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN20	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN22	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN23	0.12404685061583277	0.12468905227976523
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN3	0.41081674358263276	0.4365933998700891
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN4	0.573237647234851	0.6523318316155833
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN5	NA	NA
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN6	0.012566361627712302	0.012567023156208713
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN7	0.5153952419641532	0.5700489714442403
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	fixed_background	common	294	1	CLDN8	NA	NA
