scoring	model	endpoint	study	weight_percent	study_estimate	study_variance
target_mean	common	Polarity	Sathe_2023_Clin_Cancer_Res	10.7525191777856	0.117207054226872	0.00428477056777398
target_mean	common	Polarity	Wang_2023_Sci_Adv	21.9358103424214	0.109736526323492	0.000878625440061637
fixed_background	common	CLDN1	Che_2021_Cell_Discov	13.5190924625289	0.0860205469324727	0.000944290306652679
fixed_background	common	CLDN1	Giguelay_2022_Theranostics	13.2815486920528	0.0707935726487789	0.000961179171427954
fixed_background	common	CLDN1	Liu_2024_Cancer_Res	62.6634389013447	0.0598346820684647	0.000203722428754758
fixed_background	common	CLDN1	Sathe_2023_Clin_Cancer_Res	2.91267707077592	-0.0107935920636814	0.00438289163436389
fixed_background	common	CLDN1	Wang_2023_Sci_Adv	7.62324287329771	0.0659820406580947	0.00167460858577957
fixed_background	common	CLDN10	Che_2021_Cell_Discov	76.8596124651256	-0.0431555366197247	0.00011035043776453
fixed_background	common	CLDN10	Giguelay_2022_Theranostics	8.3594248614667	-0.043834656738862	0.00101460232282662
fixed_background	common	CLDN10	Liu_2024_Cancer_Res	13.4116653387723	-0.0519822421094714	0.000632396623961327
fixed_background	common	CLDN10	Wang_2023_Sci_Adv	1.36929733463543	-0.128285230934461	0.0061940468789395
fixed_background	common	CLDN11	Giguelay_2022_Theranostics	5.83284201055354	-0.0203514235394163	0.00169805859313207
fixed_background	common	CLDN11	Liu_2024_Cancer_Res	88.6789219201012	-0.0231399495394385	0.000111689534378034
fixed_background	common	CLDN11	Wang_2023_Sci_Adv	5.48823606934531	0.0078870609567244	0.00180467956794426
fixed_background	common	CLDN12	Che_2021_Cell_Discov	9.96963543870879	0.0958196974225043	0.0014819292265134
fixed_background	common	CLDN12	Giguelay_2022_Theranostics	21.2548616627725	0.0778183955301291	0.000415276987708432
fixed_background	common	CLDN12	Liu_2024_Cancer_Res	27.257355814718	0.0478572245035013	0.000207766581900637
fixed_background	common	CLDN12	Sathe_2023_Clin_Cancer_Res	21.8870212278541	0.0287165581762268	0.000388060510450659
fixed_background	common	CLDN12	Wang_2023_Sci_Adv	19.6311258559467	0.00274263819333161	0.000493217277837572
