study	scoring	model	gene	n_patients	estimate	variance	low	high	p_signflip	n_positive
Che_2021_Cell_Discov	target_mean	common	CLDN22	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	target_mean	common	CLDN23	3	0.07069988901604925	0.0007075141796173519	0.025485879175610685	0.11758265395451717	0.25	3.0
Che_2021_Cell_Discov	target_mean	common	CLDN3	5	0.20930088419382015	0.0008595523565310507	0.16005864903246467	0.26100786202624604	0.0625	5.0
Che_2021_Cell_Discov	target_mean	common	CLDN4	5	0.38737957209326607	0.003006415120354217	0.2932473037055493	0.4815118404809827	0.0625	5.0
Che_2021_Cell_Discov	target_mean	common	CLDN5	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	target_mean	common	CLDN6	4	0.0028901585656891347	0.0006309303589520889	-0.036584727282933285	0.04294149355737137	1.0	2.0
Che_2021_Cell_Discov	target_mean	common	CLDN7	5	0.206422000789198	0.004169156666830913	0.10166548859997337	0.3206259883414212	0.0625	5.0
Che_2021_Cell_Discov	target_mean	common	CLDN8	0	NA	NA	NA	NA	NA	NA
Che_2021_Cell_Discov	target_mean	common	CLDN9	3	0.06605907921224516	4.587566405531228e-05	0.05303455405648222	0.07579598138488922	0.25	3.0
Che_2021_Cell_Discov	target_mean	common	CRB3	5	0.04104047269210683	0.0011073807075574846	-0.013977837182207178	0.10193530082366206	0.3125	4.0
Che_2021_Cell_Discov	target_mean	common	F11R	5	0.15632844175599336	0.012981095731407963	0.011059257661682777	0.3834722270748635	0.1875	4.0
Che_2021_Cell_Discov	target_mean	common	PALS1	5	0.09115660708863287	0.002142236574854582	0.01623779273537258	0.17686507981837046	0.1875	4.0
Che_2021_Cell_Discov	target_mean	common	PARD3	5	0.1345175264071485	0.003941650559873237	0.013188404559700228	0.22090241085521228	0.125	4.0
Che_2021_Cell_Discov	target_mean	common	PARD6A	4	-0.07238482274360059	0.000291105758449435	-0.10539514912492526	-0.04613734249327486	0.125	0.0
Che_2021_Cell_Discov	target_mean	common	PARD6B	5	0.20486943486991188	0.0019859845823237137	0.14079662580251728	0.29133612137072296	0.0625	5.0
Che_2021_Cell_Discov	target_mean	common	PARD6G	1	0.007234688951892158	NA	NA	NA	NA	1.0
Che_2021_Cell_Discov	target_mean	common	PATJ	5	0.15524965535954463	0.0026309706827217553	0.08360399752177808	0.2542403512673269	0.0625	5.0
Che_2021_Cell_Discov	target_mean	common	PRKCI	5	0.10909402019054178	0.00047333458143337357	0.07513597106586026	0.15061187000397042	0.0625	5.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN1	4	0.07079357264877893	0.0009611791714279537	0.009304744851099864	0.10811719655457194	0.25	3.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN10	4	-0.043834656738862	0.0010146023228266216	-0.1015945531206357	0.0014604176895297583	0.375	1.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN11	3	-0.020351423539416325	0.0016980585931320675	-0.08805592684541345	0.05419789131797539	0.75	1.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN12	4	0.0778183955301291	0.00041527698770843177	0.05284357970730115	0.11822178404033477	0.125	4.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN14	4	-0.026886164739775155	0.0005488518877159526	-0.05862307091225316	0.016387835573272225	0.375	1.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN15	4	-0.052464796492074806	0.001293424332586219	-0.10279730933394013	0.019522586759977482	0.25	1.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN16	4	0.004675619301662242	0.00034187400178239047	-0.02800586850699325	0.037098806163217445	0.625	3.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN17	0	NA	NA	NA	NA	NA	NA
Giguelay_2022_Theranostics	fixed_background	common	CLDN18	1	-0.052031010876630035	NA	NA	NA	NA	0.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN19	3	-0.02876329970633984	0.00040286108689193556	-0.06610474293285153	0.0026665646679603443	0.5	1.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN2	4	-0.07333880966635935	0.0002511498963965565	-0.09592285934296327	-0.04533309696978215	0.125	0.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN20	1	0.061561564620501205	NA	NA	NA	NA	1.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN22	0	NA	NA	NA	NA	NA	NA
Giguelay_2022_Theranostics	fixed_background	common	CLDN23	4	0.062349469199566014	0.0014557318370892215	0.01923574140798256	0.13707721804126877	0.125	4.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN3	4	0.21348482252808992	0.0014782762543398837	0.15219017377728525	0.27477947127889457	0.125	4.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN4	4	0.17731882945215413	0.0021423037043984275	0.08486449557132493	0.23337684579834453	0.125	4.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN5	2	-0.05629300185420166	0.0027053532483025475	-0.10830601222951591	-0.004279991478887417	0.5	0.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN6	2	0.011724385003866739	0.0008688245223259634	-0.017751444455640645	0.04120021446337412	1.0	1.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN7	4	0.20485179685278745	0.0004976155630835688	0.16696405476697765	0.23785882673369838	0.125	4.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN8	2	-0.041014803551811814	0.0009369082836618843	-0.07162376112409585	-0.010405845979527779	0.5	0.0
Giguelay_2022_Theranostics	fixed_background	common	CLDN9	4	0.02584513610934058	0.000520373334257335	-0.014453405920637135	0.05836651770199283	0.375	3.0
Giguelay_2022_Theranostics	fixed_background	common	CRB3	4	0.09077060943943285	0.0007406017750764024	0.04375559831914331	0.1377856205597224	0.125	4.0
Giguelay_2022_Theranostics	fixed_background	common	F11R	4	0.09320632349642906	0.000776868785320385	0.048601914105700715	0.1369770234958366	0.125	4.0
Giguelay_2022_Theranostics	fixed_background	common	PALS1	4	0.036387259215132535	0.0003144357268217522	0.013940331276381893	0.06991733404347436	0.125	4.0
Giguelay_2022_Theranostics	fixed_background	common	PARD3	4	0.003764991891573685	0.00046229624717400425	-0.029423988355407875	0.0385271172032652	0.875	2.0
Giguelay_2022_Theranostics	fixed_background	common	PARD6A	4	-0.006805887754048653	0.0005147419997003988	-0.037125248603982405	0.03566917673474955	0.875	1.0
Giguelay_2022_Theranostics	fixed_background	common	PARD6B	4	0.03842275955330339	0.0003369597219631164	0.009386612113228474	0.06745890699337831	0.125	4.0
Giguelay_2022_Theranostics	fixed_background	common	PARD6G	4	-0.005678454297946044	0.00028195683596136673	-0.03904969903470059	0.020495466358735337	1.0	3.0
Giguelay_2022_Theranostics	fixed_background	common	PATJ	4	0.005793942759341872	0.0009225422178989934	-0.04332835467210263	0.05491624019078637	0.875	2.0
Giguelay_2022_Theranostics	fixed_background	common	PRKCI	4	0.02886402350772688	0.0002720137313578063	0.0015250555203624094	0.05620299149509135	0.125	4.0
