study	patient	gene	n_cells	detection_fraction	mean_log_expression
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	PALS1	1872	0.29914529914529914	0.23789982497692108
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	PARD3	1872	0.7136752136752137	1.0251644849777222
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	PARD6A	1872	0.08493589743589744	0.04465216398239136
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	PARD6B	1872	0.42948717948717946	0.3894892632961273
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	PARD6G	1872	0.0010683760683760685	0.0008887000731192529
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	PATJ	1872	0.4791666666666667	0.5055314302444458
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL07	PRKCI	1872	0.36645299145299143	0.30106320977211
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN1	294	0.6598639455782312	0.42530444264411926
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN10	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN11	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN12	294	0.43537414965986393	0.2069157212972641
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN14	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN15	294	0.6768707482993197	0.451174259185791
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN16	294	0.02040816326530612	0.01790611445903778
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN17	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN18	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN19	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN2	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN20	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN22	294	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN23	294	0.047619047619047616	0.028544608503580093
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN3	294	0.9081632653061225	2.3913283348083496
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN4	294	0.8843537414965986	2.1781628131866455
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL12	CLDN5	294	0.0	0.0
