sample_id	generation	origin	set_id	score
"1186_Met"	"round2"	"metastatic"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	-0.145441587690682
"1188_Met"	"round2"	"metastatic"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	0.0207068919109004
"1242_Primary"	"round3"	"primary"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	-0.184827457366705
"1244_Primary"	"round3"	"primary"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	0.135666139315651
"1248_Primary"	"round3"	"primary"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	0.11963250662465
"1235_Met"	"round3"	"metastatic"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	0.434091570390543
"1237_Met"	"round3"	"metastatic"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	0.370811743551756
"1238_Met"	"round3"	"metastatic"	"REACTOME_TIGHT_JUNCTION_INTERACTIONS"	-0.30043870709866
"1171_Primary"	"round2"	"primary"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	-1.20164286166719
"1172_Primary"	"round2"	"primary"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	-0.135380598113612
"1177_Primary"	"round2"	"primary"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	-0.539343611361205
"1184_Met"	"round2"	"metastatic"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	-0.308438846316372
"1186_Met"	"round2"	"metastatic"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	0.262463315710824
"1188_Met"	"round2"	"metastatic"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	0.505173413694774
"1242_Primary"	"round3"	"primary"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	-1.55273344300698
"1244_Primary"	"round3"	"primary"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	0.182271901880081
"1248_Primary"	"round3"	"primary"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	-0.0760444329812411
"1235_Met"	"round3"	"metastatic"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	1.12763153188805
"1237_Met"	"round3"	"metastatic"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	1.30820504442554
"1238_Met"	"round3"	"metastatic"	"JUNB_TIGHT_JUNCTION_TARGETS_5"	0.427838585847339
"1171_Primary"	"round2"	"primary"	"ACTIN_TURNOVER"	-0.167115628876965
"1172_Primary"	"round2"	"primary"	"ACTIN_TURNOVER"	0.268372124010073
"1177_Primary"	"round2"	"primary"	"ACTIN_TURNOVER"	0.147323873915916
"1184_Met"	"round2"	"metastatic"	"ACTIN_TURNOVER"	-0.373918347717318
"1186_Met"	"round2"	"metastatic"	"ACTIN_TURNOVER"	0.299275862799393
"1188_Met"	"round2"	"metastatic"	"ACTIN_TURNOVER"	0.0562494690514979
"1242_Primary"	"round3"	"primary"	"ACTIN_TURNOVER"	-0.224711741580252
"1244_Primary"	"round3"	"primary"	"ACTIN_TURNOVER"	-0.0415159585958033
"1248_Primary"	"round3"	"primary"	"ACTIN_TURNOVER"	0.00805308883601219
"1235_Met"	"round3"	"metastatic"	"ACTIN_TURNOVER"	-0.0958655788294221
"1237_Met"	"round3"	"metastatic"	"ACTIN_TURNOVER"	0.185173823650092
"1238_Met"	"round3"	"metastatic"	"ACTIN_TURNOVER"	-0.0613209866632223
"1171_Primary"	"round2"	"primary"	"HALLMARK_E2F_TARGETS"	0.886552623536888
"1172_Primary"	"round2"	"primary"	"HALLMARK_E2F_TARGETS"	0.155473123709131
"1177_Primary"	"round2"	"primary"	"HALLMARK_E2F_TARGETS"	0.00990838913791294
"1184_Met"	"round2"	"metastatic"	"HALLMARK_E2F_TARGETS"	-0.408635771981161
"1186_Met"	"round2"	"metastatic"	"HALLMARK_E2F_TARGETS"	0.268695389989429
"1188_Met"	"round2"	"metastatic"	"HALLMARK_E2F_TARGETS"	-0.579673768650956
"1242_Primary"	"round3"	"primary"	"HALLMARK_E2F_TARGETS"	0.75311057725161
"1244_Primary"	"round3"	"primary"	"HALLMARK_E2F_TARGETS"	-0.493051728116982
"1248_Primary"	"round3"	"primary"	"HALLMARK_E2F_TARGETS"	-0.732916740667374
"1235_Met"	"round3"	"metastatic"	"HALLMARK_E2F_TARGETS"	-0.209246957736211
"1237_Met"	"round3"	"metastatic"	"HALLMARK_E2F_TARGETS"	0.0941195104237884
"1238_Met"	"round3"	"metastatic"	"HALLMARK_E2F_TARGETS"	0.255665353103926
"1171_Primary"	"round2"	"primary"	"HALLMARK_G2M_CHECKPOINT"	0.589382514328584
"1172_Primary"	"round2"	"primary"	"HALLMARK_G2M_CHECKPOINT"	0.129180585624191
"1177_Primary"	"round2"	"primary"	"HALLMARK_G2M_CHECKPOINT"	0.256025910195947
"1184_Met"	"round2"	"metastatic"	"HALLMARK_G2M_CHECKPOINT"	-0.4224277721722
"1186_Met"	"round2"	"metastatic"	"HALLMARK_G2M_CHECKPOINT"	0.177595692901382
"1188_Met"	"round2"	"metastatic"	"HALLMARK_G2M_CHECKPOINT"	-0.282158576147033
"1242_Primary"	"round3"	"primary"	"HALLMARK_G2M_CHECKPOINT"	0.52731490220316
"1244_Primary"	"round3"	"primary"	"HALLMARK_G2M_CHECKPOINT"	-0.512590885927522
"1248_Primary"	"round3"	"primary"	"HALLMARK_G2M_CHECKPOINT"	-0.614160261457423
"1235_Met"	"round3"	"metastatic"	"HALLMARK_G2M_CHECKPOINT"	-0.190848504608743
"1237_Met"	"round3"	"metastatic"	"HALLMARK_G2M_CHECKPOINT"	0.175254709914875
"1238_Met"	"round3"	"metastatic"	"HALLMARK_G2M_CHECKPOINT"	0.167431685144785
