gene	compartment	mean_detection	n_patients
CLDN7	Plasma	0.0357142857142857	1
CLDN7	Stromal	0.09678130914527969	10
CLDN7	T-NK-ILC	0.07713538270589088	11
CLDN8	B	0.0	1
CLDN8	Endothelial	0.0	8
CLDN8	Epithelial	0.0005465112123909668	15
CLDN8	Hepatocyte	0.0	6
CLDN8	Myeloid	0.00015979546180887858	14
CLDN8	Plasma	0.0	1
CLDN8	Stromal	0.0	10
CLDN8	T-NK-ILC	0.0	11
CLDN9	B	0.0	1
CLDN9	Endothelial	0.0	8
CLDN9	Epithelial	0.00627936562950508	15
CLDN9	Hepatocyte	0.006240981240981234	6
CLDN9	Myeloid	0.0	14
CLDN9	Plasma	0.0	1
CLDN9	Stromal	0.0	10
CLDN9	T-NK-ILC	0.0014903129657228	11
CRB3	B	0.0	1
CRB3	Endothelial	0.016278308187482726	8
CRB3	Epithelial	0.07720269661278459	15
CRB3	Hepatocyte	0.025901875901875884	6
CRB3	Myeloid	0.009915316084293885	14
CRB3	Plasma	0.0	1
CRB3	Stromal	0.016168691370897232	10
CRB3	T-NK-ILC	0.003912782781594099	11
F11R	B	0.0517241379310344	1
F11R	Endothelial	0.26282504648070454	8
F11R	Epithelial	0.36670481790365334	15
F11R	Hepatocyte	0.25935559918118056	6
F11R	Myeloid	0.124578371408073	14
F11R	Plasma	0.0357142857142857	1
F11R	Stromal	0.0699121923680747	10
F11R	T-NK-ILC	0.027295630429432272	11
PALS1	B	0.0517241379310344	1
PALS1	Endothelial	0.25504782088592814	8
PALS1	Epithelial	0.3221781742726923	15
PALS1	Hepatocyte	0.18940400684586725	6
PALS1	Myeloid	0.17073090539402452	14
PALS1	Plasma	0.0714285714285714	1
PALS1	Stromal	0.18453633785619078	10
PALS1	T-NK-ILC	0.046363280889966794	11
PARD3	B	0.0344827586206896	1
PARD3	Endothelial	0.4183187483128672	8
PARD3	Epithelial	0.8104227903727199	15
PARD3	Hepatocyte	0.8814784053156147	6
PARD3	Myeloid	0.06319317107977619	14
PARD3	Plasma	0.0714285714285714	1
PARD3	Stromal	0.7900635597400304	10
PARD3	T-NK-ILC	0.042727535698049955	11
PARD6A	B	0.0	1
PARD6A	Endothelial	0.0071486928104575	8
PARD6A	Epithelial	0.010383095190989641	15
PARD6A	Hepatocyte	0.0067099567099567	6
PARD6A	Myeloid	0.0028564884124522355	14
PARD6A	Plasma	0.0	1
PARD6A	Stromal	0.0	10
PARD6A	T-NK-ILC	0.0031246166334652995	11
PARD6B	B	0.0	1
