scope	gene	n	effect	low	high	p	n_positive	loo_min	loo_max	q_genes
All_epithelial	CLDN1	14	0.05240581224985371	0.02480941847318488	0.07964345770577723	0.0029296875	11.0	0.04437941559923909	0.0591166954268535	0.009626116071428572
All_epithelial	CLDN10	10	0.020398943738622	-0.004324297390016181	0.05096235561458094	0.19921875	7.0	0.006817653928017541	0.027359353556469537	0.3272879464285714
All_epithelial	CLDN11	9	-0.0007136832945068065	-0.01572129371004793	0.013733387248851342	0.89453125	5.0	-0.00632204093201162	0.005002175509264017	0.89453125
All_epithelial	CLDN12	14	0.03943797650033422	0.011773223554935921	0.06877585478580386	0.021728515625	10.0	0.03175913880403995	0.04600327717153964	0.04543235085227273
All_epithelial	CLDN14	6	0.007752884120994206	-0.0026789498221299235	0.01752354093379398	0.25	4.0	0.00447177253373613	0.011674997684952892	0.359375
All_epithelial	CLDN15	14	0.002602143933152233	-0.01891190371870085	0.022828492124538562	0.819580078125	8.0	-0.001940377779257331	0.008816518632792328	0.8568337180397727
All_epithelial	CLDN16	13	0.006558352596971162	-0.015632052696355574	0.029594889475177022	0.6005859375	8.0	-0.0009182125726183705	0.01296448066556584	0.719873046875
All_epithelial	CLDN17	0	NA	NA	NA	NA	NA	NA	NA	NA
All_epithelial	CLDN18	3	0.017814474115068788	0.0005531815155843965	0.027209917922405916	NA	3.0	0.013115468307551769	0.0264417826841337	NA
All_epithelial	CLDN19	0	NA	NA	NA	NA	NA	NA	NA	NA
All_epithelial	CLDN2	13	-0.030251409114968635	-0.054148371447549616	-0.008795728741117753	0.021728515625	4.0	-0.03480337532760942	-0.022884316407678715	0.04543235085227273
All_epithelial	CLDN20	12	-0.006106116186137838	-0.027762595771272585	0.019896824691190005	0.6259765625	3.0	-0.01648920026574363	0.0005773148345487582	0.719873046875
All_epithelial	CLDN22	0	NA	NA	NA	NA	NA	NA	NA	NA
All_epithelial	CLDN23	11	0.03625123313177058	0.013643774297167783	0.05846179693232233	0.017578125	8.0	0.03068886149999806	0.041888433523420705	0.044921875
All_epithelial	CLDN3	14	0.08297430007174753	0.05183009665152831	0.11529404849827332	0.000732421875	12.0	0.07545816860966495	0.0907561894801404	0.0028076171875
All_epithelial	CLDN4	14	0.1619839089679944	0.12637478201377544	0.1952075332106191	0.0001220703125	14.0	0.1556586862414041	0.173231458929269	0.001123046875
All_epithelial	CLDN5	2	-0.0181138591453546	-0.025847756165787772	-0.010377793911588017	NA	0.0	-0.025847756165787772	-0.010377793911588018	NA
All_epithelial	CLDN6	2	0.01847535584920208	0.017613362148958863	0.019337322085342185	NA	2.0	0.017613362148958867	0.01933732208534219	NA
All_epithelial	CLDN7	14	0.0765332311244135	0.048164582694425306	0.1070509463339153	0.000244140625	13.0	0.06515791964336223	0.0847881215719718	0.001123046875
All_epithelial	CLDN8	1	0.041667224573688745	0.041667224573688745	0.041667224573688745	NA	1.0	NA	NA	NA
All_epithelial	CLDN9	6	0.03602859790747846	0.014367802282101615	0.055172385382125336	0.0625	5.0	0.029877299094113123	0.04482487672696882	0.11057692307692307
All_epithelial	CRB3	13	0.03956425983791019	0.02246805340546883	0.05774419090923388	0.000244140625	13.0	0.03323070375179336	0.04283996058449389	0.001123046875
All_epithelial	F11R	14	0.08179978777167018	0.0578483803274769	0.1055267774798967	0.000244140625	13.0	0.07496216809787547	0.08895649532145089	0.001123046875
All_epithelial	PALS1	14	0.012807859002896946	-0.0066231712276749125	0.0326070566823158	0.2445068359375	8.0	0.0074092852023607885	0.01715367082474095	0.359375
