component	gene	role	source_gene	measured
Claudin	DMRTA2	control	DMRTA2	True
Claudin	AC215522.2	control	AC215522.2	True
Claudin	AL928654.1	control	AL928654.1	True
Claudin	MEP1B	control	MEP1B	True
Claudin	AC074124.1	control	AC074124.1	True
Claudin	KRT40	control	KRT40	True
Claudin	AC104411.1	control	AC104411.1	True
Claudin	ITGA6-AS1	control	ITGA6-AS1	True
Claudin	AL162274.1	control	AL162274.1	True
Claudin	FAM167B	control	FAM167B	True
Claudin	S1PR2	control	S1PR2	True
Claudin	C10ORF82	control	C10orf82	True
Claudin	AC073091.3	control	AC073091.3	True
Claudin	AC010442.1	control	AC010442.1	True
Claudin	ADH4	control	ADH4	True
Claudin	OR6A2	control	OR6A2	True
Claudin	AL591848.2	control	AL591848.2	True
Claudin	SULT4A1	control	SULT4A1	True
Claudin	LINC00638	control	LINC00638	True
Claudin	LINC00824	control	LINC00824	True
Claudin	TTC21B-AS1	control	TTC21B-AS1	True
Claudin	MYBPC1	control	MYBPC1	True
Claudin	AC004080.2	control	AC004080.2	True
Claudin	DNAH17	control	DNAH17	True
Claudin	RERG	control	RERG	True
Claudin	DLL4	control	DLL4	True
Claudin	AP005329.3	control	AP005329.3	True
Claudin	LINC01234	control	LINC01234	True
Claudin	AC104370.1	control	AC104370.1	True
Claudin	SULT1C4	control	SULT1C4	True
Claudin	AP001830.1	control	AP001830.1	True
Claudin	CLEC19A	control	CLEC19A	True
Claudin	KCTD17	control	KCTD17	True
Claudin	TRIM17	control	TRIM17	True
Claudin	PRORY	control	PRORY	True
Claudin	CDK5	control	CDK5	True
Claudin	NDST3	control	NDST3	True
Claudin	ZNF257	control	ZNF257	True
Claudin	AC022613.3	control	AC022613.3	True
Claudin	BNC2	control	BNC2	True
Claudin	IL20RB	control	IL20RB	True
Claudin	CRISPLD2	control	CRISPLD2	True
Claudin	TCEAL3	control	TCEAL3	True
Claudin	NPIPB15	control	NPIPB15	True
Claudin	LINC00944	control	LINC00944	True
Claudin	WDR81	control	WDR81	True
Claudin	AC005165.1	control	AC005165.1	True
Claudin	AL359220.1	control	AL359220.1	True
Claudin	ZNF865	control	ZNF865	True
Claudin	AC024060.2	control	AC024060.2	True
Claudin	PDZK1	control	PDZK1	True
Claudin	COMMD8	control	COMMD8	True
Claudin	GADD45G	control	GADD45G	True
Claudin	ZNF85	control	ZNF85	True
Claudin	AC005753.2	control	AC005753.2	True
Claudin	PHOSPHO2	control	PHOSPHO2	True
Claudin	SLC7A14-AS1	control	SLC7A14-AS1	True
Claudin	EMILIN2	control	EMILIN2	True
Claudin	AL354743.2	control	AL354743.2	True
Claudin	EIF3C	control	EIF3C	True
Claudin	AC124798.1	control	AC124798.1	True
Claudin	SEC14L2	control	SEC14L2	True
Claudin	RNF144A	control	RNF144A	True
Claudin	FAM89B	control	FAM89B	True
Claudin	ETFRF1	control	ETFRF1	True
Claudin	NAIP	control	NAIP	True
Claudin	WBP1	control	WBP1	True
Claudin	RTL10	control	RTL10	True
Claudin	ZCCHC3	control	ZCCHC3	True
Claudin	AC005480.1	control	AC005480.1	True
Claudin	CDKN2AIPNL	control	CDKN2AIPNL	True
Claudin	NUDT13	control	NUDT13	True
Claudin	RNF5	control	RNF5	True
