component	gene	role	source_gene	measured
Junction	KANSL1-AS1	control	KANSL1-AS1	True
Junction	NPAS3	control	NPAS3	True
Junction	LARP6	control	LARP6	True
Junction	ENOX1	control	ENOX1	True
Junction	HSF2BP	control	HSF2BP	True
Junction	LINC01146	control	LINC01146	True
Junction	MXRA5	control	MXRA5	True
Junction	ORC1	control	ORC1	True
Junction	LINC02603	control	LINC02603	True
Junction	TMEM132D	control	TMEM132D	True
Junction	AC137894.3	control	AC137894.3	True
Junction	TNFRSF10C	control	TNFRSF10C	True
Junction	BAG2	control	BAG2	True
Junction	AC103740.1	control	AC103740.1	True
Junction	SETD9	control	SETD9	True
Junction	HCN3	control	HCN3	True
Junction	ITFG2-AS1	control	ITFG2-AS1	True
Junction	TRIM32	control	TRIM32	True
Junction	ATP23	control	ATP23	True
Junction	ZMAT1	control	ZMAT1	True
Junction	B3GAT1	control	B3GAT1	True
Junction	ADH6	control	ADH6	True
Junction	LINC01118	control	LINC01118	True
Junction	AC066613.2	control	AC066613.2	True
Junction	PYGO2	control	PYGO2	True
Junction	AP005899.1	control	AP005899.1	True
Junction	AFAP1L2	control	AFAP1L2	True
Junction	SMIM27	control	SMIM27	True
Junction	AC025048.2	control	AC025048.2	True
Junction	MEIS1	control	MEIS1	True
Junction	SMIM35	control	SMIM35	True
Junction	ABCD1	control	ABCD1	True
Junction	AL158071.1	control	AL158071.1	True
Junction	BNIP1	control	BNIP1	True
Junction	KTN1-AS1	control	KTN1-AS1	True
Junction	QPCTL	control	QPCTL	True
Junction	BCORL1	control	BCORL1	True
Junction	GRAMD1C	control	GRAMD1C	True
Junction	ABCC6	control	ABCC6	True
Junction	HDGFL2	control	HDGFL2	True
Junction	SPATA20	control	SPATA20	True
Junction	ZNF487	control	ZNF487	True
Junction	HDAC11	control	HDAC11	True
Junction	SEC61A2	control	SEC61A2	True
Junction	C5ORF51	control	C5orf51	True
Junction	PRR11	control	PRR11	True
Junction	AC119674.1	control	AC119674.1	True
Junction	MR1	control	MR1	True
Junction	ASB8	control	ASB8	True
Junction	SEC22C	control	SEC22C	True
Junction	ERCC2	control	ERCC2	True
Junction	AC008438.1	control	AC008438.1	True
Junction	TADA1	control	TADA1	True
Junction	C12ORF29	control	C12orf29	True
Junction	NDUFV3	control	NDUFV3	True
Junction	GBP2	control	GBP2	True
Junction	WSB2	control	WSB2	True
Junction	NEK1	control	NEK1	True
Junction	BCL7C	control	BCL7C	True
Junction	DGKE	control	DGKE	True
Junction	AKIRIN1	control	AKIRIN1	True
Junction	HSPBAP1	control	HSPBAP1	True
Junction	RRP7A	control	RRP7A	True
Junction	HDHD2	control	HDHD2	True
Junction	PPAT	control	PPAT	True
Junction	DIMT1	control	DIMT1	True
Junction	PIGG	control	PIGG	True
Junction	SOX9-AS1	control	SOX9-AS1	True
Junction	CPEB2	control	CPEB2	True
Junction	NSMF	control	NSMF	True
Junction	UBTF	control	UBTF	True
Junction	STK25	control	STK25	True
Junction	THSD7B	control	THSD7B	True
Junction	TBC1D2B	control	TBC1D2B	True
Junction	OSTF1	control	OSTF1	True
Junction	SAFB2	control	SAFB2	True
Junction	MRPS9	control	MRPS9	True
Junction	EXOC7	control	EXOC7	True
Junction	SCLY	control	SCLY	True
Junction	SDC1	control	SDC1	True
Junction	NDUFB8	control	NDUFB8	True
Junction	GNA14	control	GNA14	True
Junction	CBWD3	control	CBWD3	True
Junction	AMFR	control	AMFR	True
Junction	DNAAF5	control	DNAAF5	True
Junction	TMA16	control	TMA16	True
Junction	ZNF106	control	ZNF106	True
Junction	CCNB1IP1	control	CCNB1IP1	True
Junction	CDH13	control	CDH13	True
Junction	RBMS2	control	RBMS2	True
Junction	DHRS4-AS1	control	DHRS4-AS1	True
Junction	TAF4B	control	TAF4B	True
Junction	TMEM44	control	TMEM44	True
Junction	PPP2R1A	control	PPP2R1A	True
Junction	GALNT11	control	GALNT11	True
Junction	GALNT6	control	GALNT6	True
Junction	ITGA9-AS1	control	ITGA9-AS1	True
Junction	LNPK	control	LNPK	True
Junction	DCUN1D1	control	DCUN1D1	True
Junction	MORC3	control	MORC3	True
Junction	LY6E	control	LY6E	True
Junction	NAPG	control	NAPG	True
Junction	NOTCH1	control	NOTCH1	True
Junction	SACM1L	control	SACM1L	True
Junction	COPG2	control	COPG2	True
Junction	TSTD3	control	TSTD3	True
Junction	SGPL1	control	SGPL1	True
Junction	ATF2	control	ATF2	True
Junction	ZNF83	control	ZNF83	True
Junction	ROMO1	control	ROMO1	True
Junction	BTBD1	control	BTBD1	True
Junction	ERBB2	control	ERBB2	True
Junction	AC002463.1	control	AC002463.1	True
Junction	VASP	control	VASP	True
Junction	FANCC	control	FANCC	True
Junction	CADPS2	control	CADPS2	True
Junction	NIPAL2	control	NIPAL2	True
Junction	NT5DC1	control	NT5DC1	True
Junction	KLHDC10	control	KLHDC10	True
Junction	BTAF1	control	BTAF1	True
Junction	VIRMA	control	VIRMA	True
Junction	MIPEP	control	MIPEP	True
Junction	USP48	control	USP48	True
Junction	DCUN1D4	control	DCUN1D4	True
Junction	SNAPC3	control	SNAPC3	True
Junction	AHCTF1	control	AHCTF1	True
Junction	ARHGAP18	control	ARHGAP18	True
Junction	SLC30A7	control	SLC30A7	True
Junction	RAB5IF	control	RAB5IF	True
Junction	SOX9	control	SOX9	True
Junction	RFX7	control	RFX7	True
Junction	TUBA1B	control	TUBA1B	True
Junction	HMGN2	control	HMGN2	True
Junction	FSIP2-AS1	control	FSIP2-AS1	True
Junction	SF1	control	SF1	True
Junction	AHI1	control	AHI1	True
Junction	BACE2	control	BACE2	True
Junction	PELI1	control	PELI1	True
Junction	XRCC5	control	XRCC5	True
Junction	MARCH7	control	MARCH7	True
Junction	MGAT5	control	MGAT5	True
Junction	FHIT	control	FHIT	True
Junction	ANXA4	control	ANXA4	True
Junction	LIMS1	control	LIMS1	True
Junction	CCNY	control	CCNY	True
Junction	CDK13	control	CDK13	True
Junction	MYRIP	control	MYRIP	True
Junction	PCLO	control	PCLO	True
Junction	MYO10	control	MYO10	True
Junction	MTDH	control	MTDH	True
Junction	RNF13	control	RNF13	True
Junction	UMAD1	control	UMAD1	True
Junction	MID1	control	MID1	True
Junction	MARCH6	control	MARCH6	True
HRC	ABHD11-AS1	target		False
HRC	AC009133.12	target		False
HRC	ADAM9	target	ADAM9	True
HRC	AHNAK	target	AHNAK	True
HRC	AHNAK2	target	AHNAK2	True
HRC	ANXA11	target	ANXA11	True
HRC	ARFGAP3	target	ARFGAP3	True
HRC	B4GALNT3	target	B4GALNT3	True
HRC	B4GALT1	target	B4GALT1	True
HRC	BAIAP2L1	target	BAIAP2L1	True
HRC	BMP2	target	BMP2	True
HRC	C19ORF33	target	C19orf33	True
HRC	C1ORF106	target		False
HRC	CAMK2N1	target	CAMK2N1	True
HRC	CD55	target	CD55	True
HRC	CD59	target	CD59	True
HRC	CD68	target	CD68	True
HRC	CDA	target	CDA	True
HRC	CDCP1	target	CDCP1	True
HRC	CDKN2B	target	CDKN2B	True
HRC	CEACAM1	target	CEACAM1	True
HRC	CEACAM5	target	CEACAM5	True
HRC	CGN	target	CGN	True
HRC	CLIC3	target	CLIC3	True
HRC	COL17A1	target	COL17A1	True
HRC	CXCL16	target	CXCL16	True
HRC	CYP3A5	target	CYP3A5	True
HRC	CYSTM1	target	CYSTM1	True
HRC	DDR1	target	DDR1	True
HRC	DSG2	target	DSG2	True
HRC	DUSP5	target	DUSP5	True
HRC	EFNB1	target	EFNB1	True
HRC	EMP1	target	EMP1	True
HRC	EPS8L1	target	EPS8L1	True
HRC	ERO1L	target		False
HRC	EZR	target	EZR	True
HRC	FA2H	target	FA2H	True
HRC	FLNB	target	FLNB	True
HRC	GBP3	target	GBP3	True
HRC	GJB3	target	GJB3	True
HRC	GPRC5A	target	GPRC5A	True
HRC	HEBP2	target	HEBP2	True
HRC	ITGA2	target	ITGA2	True
HRC	ITGA3	target	ITGA3	True
HRC	ITGB1	target	ITGB1	True
HRC	ITGB4	target	ITGB4	True
HRC	JUP	target	JUP	True
HRC	KLK10	target	KLK10	True
HRC	KRT80	target	KRT80	True
HRC	LAMA3	target	LAMA3	True
HRC	LAMB3	target	LAMB3	True
HRC	LAMC2	target	LAMC2	True
HRC	LIPH	target	LIPH	True
HRC	LMO7	target	LMO7	True
HRC	LRP10	target	LRP10	True
HRC	MISP	target	MISP	True
HRC	MUC13	target	MUC13	True
HRC	MXD1	target	MXD1	True
HRC	MYH14	target	MYH14	True
HRC	MYOF	target	MYOF	True
HRC	PCDH1	target	PCDH1	True
HRC	PDZK1IP1	target	PDZK1IP1	True
HRC	PINK1	target	PINK1	True
HRC	PLAUR	target	PLAUR	True
HRC	PLEC	target	PLEC	True
HRC	PPARD	target	PPARD	True
HRC	PPP2CB	target	PPP2CB	True
HRC	PRSS22	target	PRSS22	True
HRC	PTK6	target	PTK6	True
HRC	PTPRH	target	PTPRH	True
HRC	RHOF	target	RHOF	True
HRC	RIOK3	target	RIOK3	True
HRC	RNF103	target	RNF103	True
HRC	RRAS	target	RRAS	True
HRC	SDCBP2	target	SDCBP2	True
HRC	SEMA3B	target	SEMA3B	True
HRC	SERINC2	target	SERINC2	True
HRC	SLC2A1	target	SLC2A1	True
HRC	SLC44A4	target	SLC44A4	True
HRC	SLC6A8	target	SLC6A8	True
HRC	SLPI	target	SLPI	True
HRC	SMAD3	target	SMAD3	True
HRC	SNX9	target	SNX9	True
HRC	SPINT1	target	SPINT1	True
HRC	SSFA2	target		False
HRC	STK24	target	STK24	True
HRC	TIMP2	target	TIMP2	True
HRC	TINAGL1	target	TINAGL1	True
HRC	TJP3	target	TJP3	True
HRC	TM4SF1	target	TM4SF1	True
HRC	TMBIM1	target	TMBIM1	True
HRC	TMPRSS2	target	TMPRSS2	True
HRC	TMPRSS4	target	TMPRSS4	True
HRC	TNFRSF21	target	TNFRSF21	True
HRC	TSPAN1	target	TSPAN1	True
HRC	TSPAN3	target	TSPAN3	True
HRC	UGCG	target	UGCG	True
HRC	USP53	target	USP53	True
HRC	ZNF497	control	ZNF497	True
HRC	KCNMA1	control	KCNMA1	True
HRC	GPR19	control	GPR19	True
HRC	C2CD4A	control	C2CD4A	True
HRC	EPHA1-AS1	control	EPHA1-AS1	True
HRC	SPTBN5	control	SPTBN5	True
HRC	CPTP	control	CPTP	True
HRC	AL035693.1	control	AL035693.1	True
HRC	CDC42-IT1	control	CDC42-IT1	True
HRC	E2F2	control	E2F2	True
HRC	MSH4	control	MSH4	True
HRC	CFL2	control	CFL2	True
HRC	FAM183A	control	FAM183A	True
HRC	AC006547.1	control	AC006547.1	True
HRC	HAUS7	control	HAUS7	True
HRC	ZNF2	control	ZNF2	True
HRC	NALCN-AS1	control	NALCN-AS1	True
HRC	AL132780.1	control	AL132780.1	True
HRC	OVGP1	control	OVGP1	True
HRC	CDH8	control	CDH8	True
HRC	AC007780.1	control	AC007780.1	True
HRC	FOLR1	control	FOLR1	True
HRC	LINC02175	control	LINC02175	True
HRC	AL161668.3	control	AL161668.3	True
HRC	ID4	control	ID4	True
HRC	AC069272.1	control	AC069272.1	True
HRC	CACNA1A	control	CACNA1A	True
HRC	ASB9	control	ASB9	True
HRC	TSACC	control	TSACC	True
HRC	AC005632.3	control	AC005632.3	True
HRC	AC007009.1	control	AC007009.1	True
HRC	AC120193.1	control	AC120193.1	True
HRC	AC034139.1	control	AC034139.1	True
HRC	SLC43A3	control	SLC43A3	True
HRC	BRPF1	control	BRPF1	True
HRC	VIPR1-AS1	control	VIPR1-AS1	True
HRC	LINC00578	control	LINC00578	True
HRC	AC092142.1	control	AC092142.1	True
HRC	ZNF749	control	ZNF749	True
HRC	AC073333.1	control	AC073333.1	True
HRC	FADS3	control	FADS3	True
HRC	CASP1	control	CASP1	True
HRC	SNX32	control	SNX32	True
HRC	ICA1L	control	ICA1L	True
HRC	STAT4	control	STAT4	True
HRC	GEMIN2	control	GEMIN2	True
HRC	ABHD14A	control	ABHD14A	True
HRC	AMOTL2	control	AMOTL2	True
HRC	SURF2	control	SURF2	True
HRC	IFT27	control	IFT27	True
HRC	STARD7-AS1	control	STARD7-AS1	True
HRC	APOL2	control	APOL2	True
HRC	HDDC3	control	HDDC3	True
HRC	CCDC26	control	CCDC26	True
HRC	CPNE4	control	CPNE4	True
HRC	AC007099.1	control	AC007099.1	True
HRC	C16ORF46	control	C16orf46	True
HRC	NEMP2	control	NEMP2	True
HRC	FGFRL1	control	FGFRL1	True
HRC	ACOX2	control	ACOX2	True
HRC	CHN1	control	CHN1	True
HRC	AL450998.2	control	AL450998.2	True
HRC	PTCD2	control	PTCD2	True
HRC	AL513188.1	control	AL513188.1	True
HRC	DRG2	control	DRG2	True
HRC	SNX10	control	SNX10	True
HRC	IFI35	control	IFI35	True
HRC	HEXIM1	control	HEXIM1	True
HRC	MFSD4A	control	MFSD4A	True
HRC	LINC02591	control	LINC02591	True
HRC	AC025211.1	control	AC025211.1	True
HRC	LAMB2	control	LAMB2	True
HRC	KCNC4	control	KCNC4	True
HRC	MAGEF1	control	MAGEF1	True
HRC	GTF2E1	control	GTF2E1	True
HRC	BRMS1	control	BRMS1	True
HRC	PGAP3	control	PGAP3	True
HRC	HEATR4	control	HEATR4	True
HRC	NUBP2	control	NUBP2	True
HRC	TRIM5	control	TRIM5	True
HRC	AIP	control	AIP	True
HRC	IKZF5	control	IKZF5	True
HRC	SLC2A10	control	SLC2A10	True
HRC	ZNF19	control	ZNF19	True
HRC	AC007130.1	control	AC007130.1	True
HRC	PARP6	control	PARP6	True
HRC	ATP13A1	control	ATP13A1	True
HRC	SF3A1	control	SF3A1	True
HRC	AC004158.1	control	AC004158.1	True
HRC	ERG28	control	ERG28	True
HRC	AP1S2	control	AP1S2	True
HRC	CAPN13	control	CAPN13	True
HRC	NCK1-DT	control	NCK1-DT	True
HRC	LINC00685	control	LINC00685	True
HRC	BOD1	control	BOD1	True
HRC	SMOC1	control	SMOC1	True
HRC	BCAS4	control	BCAS4	True
HRC	CTBS	control	CTBS	True
HRC	AC090517.5	control	AC090517.5	True
HRC	PAQR3	control	PAQR3	True
HRC	HSPB11	control	HSPB11	True
HRC	OTUD6B-AS1	control	OTUD6B-AS1	True
HRC	F2RL1	control	F2RL1	True
HRC	ELF3-AS1	control	ELF3-AS1	True
HRC	MAP2K7	control	MAP2K7	True
HRC	GEMIN8	control	GEMIN8	True
HRC	ZKSCAN7-AS1	control	ZKSCAN7-AS1	True
HRC	MANSC1	control	MANSC1	True
HRC	IQCM	control	IQCM	True
HRC	GNPNAT1	control	GNPNAT1	True
HRC	TMEM94	control	TMEM94	True
HRC	PDE6D	control	PDE6D	True
HRC	FAM3B	control	FAM3B	True
HRC	RMDN3	control	RMDN3	True
HRC	CRKL	control	CRKL	True
HRC	NMI	control	NMI	True
HRC	NOP10	control	NOP10	True
HRC	INTS14	control	INTS14	True
HRC	ENO4	control	ENO4	True
HRC	SPAG16	control	SPAG16	True
HRC	TTC23	control	TTC23	True
HRC	TTBK2	control	TTBK2	True
HRC	PPIP5K1	control	PPIP5K1	True
HRC	SHISA5	control	SHISA5	True
HRC	AKIRIN2	control	AKIRIN2	True
HRC	POLR2H	control	POLR2H	True
HRC	PPP1R7	control	PPP1R7	True
HRC	DESI1	control	DESI1	True
HRC	LINC00623	control	LINC00623	True
HRC	C1ORF131	control	C1orf131	True
HRC	POC1B-AS1	control	POC1B-AS1	True
HRC	BUD31	control	BUD31	True
HRC	IFRD2	control	IFRD2	True
HRC	RABEP2	control	RABEP2	True
HRC	DHCR24	control	DHCR24	True
HRC	TTC28	control	TTC28	True
HRC	AGGF1	control	AGGF1	True
HRC	NSMCE1	control	NSMCE1	True
HRC	RSL24D1	control	RSL24D1	True
HRC	IGFBP4	control	IGFBP4	True
HRC	LTA4H	control	LTA4H	True
HRC	BCAR3	control	BCAR3	True
HRC	BICDL2	control	BICDL2	True
HRC	FAM234A	control	FAM234A	True
HRC	C5ORF56	control	C5orf56	True
HRC	ZNF720	control	ZNF720	True
HRC	PFDN2	control	PFDN2	True
HRC	CCNT1	control	CCNT1	True
HRC	TADA2A	control	TADA2A	True
HRC	TTLL3	control	TTLL3	True
HRC	ENGASE	control	ENGASE	True
HRC	STARD7	control	STARD7	True
HRC	SIRT5	control	SIRT5	True
HRC	EIF3G	control	EIF3G	True
HRC	PRKD2	control	PRKD2	True
HRC	ZMPSTE24	control	ZMPSTE24	True
HRC	WDR7	control	WDR7	True
HRC	PANK2	control	PANK2	True
HRC	B3GNT3	control	B3GNT3	True
HRC	Z93403.1	control	Z93403.1	True
HRC	TPRG1	control	TPRG1	True
HRC	ESD	control	ESD	True
HRC	MTG2	control	MTG2	True
HRC	RESF1	control	RESF1	True
HRC	STAT5B	control	STAT5B	True
HRC	COL27A1	control	COL27A1	True
HRC	TCP1	control	TCP1	True
HRC	SAMD4A	control	SAMD4A	True
HRC	ERICH1	control	ERICH1	True
HRC	VPS51	control	VPS51	True
HRC	TUBB4B	control	TUBB4B	True
HRC	ZNF503-AS1	control	ZNF503-AS1	True
HRC	ZNF37A	control	ZNF37A	True
HRC	GPR107	control	GPR107	True
HRC	GGT7	control	GGT7	True
HRC	KIAA1324L	control	KIAA1324L	True
HRC	WDR11	control	WDR11	True
HRC	APRT	control	APRT	True
HRC	PEX7	control	PEX7	True
HRC	DENND5A	control	DENND5A	True
HRC	DDX3X	control	DDX3X	True
HRC	RARS	control	RARS	True
HRC	LARP4	control	LARP4	True
HRC	CUL1	control	CUL1	True
HRC	CAND1	control	CAND1	True
HRC	VDAC1	control	VDAC1	True
HRC	MBTPS1	control	MBTPS1	True
HRC	TAGLN2	control	TAGLN2	True
HRC	KCNMB2-AS1	control	KCNMB2-AS1	True
HRC	POM121	control	POM121	True
HRC	SPAG1	control	SPAG1	True
HRC	BAZ1B	control	BAZ1B	True
HRC	MMP24OS	control	MMP24OS	True
HRC	TTC39B	control	TTC39B	True
HRC	VSNL1	control	VSNL1	True
HRC	ZNF451	control	ZNF451	True
HRC	LINC00278	control	LINC00278	True
HRC	PALM2-AKAP2	control	PALM2-AKAP2	True
HRC	EMSY	control	EMSY	True
HRC	ATXN7	control	ATXN7	True
HRC	ABLIM1	control	ABLIM1	True
HRC	TMEM117	control	TMEM117	True
HRC	BCL11A	control	BCL11A	True
HRC	HUWE1	control	HUWE1	True
HRC	RABGEF1	control	RABGEF1	True
HRC	TM9SF4	control	TM9SF4	True
HRC	HNRNPDL	control	HNRNPDL	True
HRC	SBF2	control	SBF2	True
HRC	LARP4B	control	LARP4B	True
HRC	RAC1	control	RAC1	True
HRC	UTRN	control	UTRN	True
HRC	TCF25	control	TCF25	True
HRC	LINC01876	control	LINC01876	True
HRC	ITGA9	control	ITGA9	True
HRC	CNOT1	control	CNOT1	True
HRC	SCFD1	control	SCFD1	True
HRC	MAN1A2	control	MAN1A2	True
HRC	SREBF2	control	SREBF2	True
HRC	PPA1	control	PPA1	True
HRC	GNAS	control	GNAS	True
RSC	ABI3	target	ABI3	True
RSC	ACSM3	target	ACSM3	True
RSC	AKR1B1	target	AKR1B1	True
RSC	ALCAM	target	ALCAM	True
RSC	ANXA1	target	ANXA1	True
RSC	ANXA3	target	ANXA3	True
RSC	ANXA5	target	ANXA5	True
RSC	AP1S3	target	AP1S3	True
RSC	ARHGAP44	target	ARHGAP44	True
RSC	ARL14	target	ARL14	True
RSC	ARL4C	target	ARL4C	True
RSC	AVPI1	target	AVPI1	True
RSC	BAIAP2L2	target	BAIAP2L2	True
RSC	BASP1	target	BASP1	True
RSC	BOK	target	BOK	True
RSC	C6ORF141	target	C6orf141	True
RSC	CA12	target	CA12	True
RSC	CA2	target	CA2	True
RSC	CAMKK1	target	CAMKK1	True
RSC	CAMSAP2	target	CAMSAP2	True
RSC	CAP2	target	CAP2	True
RSC	CAPN5	target	CAPN5	True
RSC	CAVIN3	target	CAVIN3	True
RSC	CCDC92	target	CCDC92	True
RSC	CCL2	target	CCL2	True
RSC	CCN2	target	CCN2	True
RSC	CD14	target	CD14	True
RSC	CD44	target	CD44	True
RSC	CD68	target	CD68	True
RSC	CELF2	target	CELF2	True
RSC	CGNL1	target	CGNL1	True
RSC	CKAP2	target	CKAP2	True
RSC	CKB	target	CKB	True
RSC	CLIC3	target	CLIC3	True
RSC	CLU	target	CLU	True
RSC	CNN2	target	CNN2	True
RSC	CRYBG1	target	CRYBG1	True
RSC	CTSH	target	CTSH	True
RSC	CWH43	target	CWH43	True
RSC	CXCL10	target	CXCL10	True
RSC	CXCL16	target	CXCL16	True
RSC	CXCL6	target	CXCL6	True
RSC	CXCL9	target	CXCL9	True
RSC	DAPK1	target	DAPK1	True
RSC	DDAH1	target	DDAH1	True
RSC	DYRK3	target	DYRK3	True
RSC	EMP1	target	EMP1	True
RSC	EMP2	target	EMP2	True
RSC	ENAH	target	ENAH	True
RSC	ENDOD1	target	ENDOD1	True
RSC	EPHA2	target	EPHA2	True
RSC	EPHA4	target	EPHA4	True
RSC	EPN3	target	EPN3	True
RSC	EPOP	target	EPOP	True
RSC	EPS8L1	target	EPS8L1	True
RSC	EREG	target	EREG	True
RSC	ETV5	target	ETV5	True
RSC	EYA2	target	EYA2	True
RSC	FABP5	target	FABP5	True
RSC	FFAR4	target	FFAR4	True
RSC	FHL2	target	FHL2	True
RSC	FKBP9	target	FKBP9	True
RSC	FLNA	target	FLNA	True
RSC	FMNL2	target	FMNL2	True
RSC	FOSL1	target	FOSL1	True
RSC	FXYD3	target	FXYD3	True
RSC	GADD45B	target	GADD45B	True
RSC	GASK1B	target	GASK1B	True
RSC	GATM	target	GATM	True
RSC	GCNT1	target	GCNT1	True
RSC	GCNT3	target	GCNT3	True
RSC	GJB3	target	GJB3	True
RSC	GLIPR1	target	GLIPR1	True
RSC	GPNMB	target	GPNMB	True
RSC	GPR137B	target	GPR137B	True
RSC	GPX2	target	GPX2	True
RSC	GTSE1	target	GTSE1	True
RSC	HMOX1	target	HMOX1	True
RSC	HSPA2	target	HSPA2	True
RSC	HSPB1	target	HSPB1	True
RSC	HSPH1	target	HSPH1	True
RSC	HYAL1	target	HYAL1	True
RSC	ICA1	target	ICA1	True
RSC	ICAM1	target	ICAM1	True
RSC	ID2	target	ID2	True
RSC	IL17RE	target	IL17RE	True
RSC	IL1RN	target	IL1RN	True
RSC	IL33	target	IL33	True
RSC	ILDR1	target	ILDR1	True
RSC	INKA2	target	INKA2	True
RSC	IRF1	target	IRF1	True
RSC	ITGA2	target	ITGA2	True
RSC	ITGAV	target	ITGAV	True
RSC	ITGB4	target	ITGB4	True
RSC	ITPRIPL2	target	ITPRIPL2	True
RSC	KCNN4	target	KCNN4	True
RSC	KIFC3	target	KIFC3	True
RSC	KLF7	target	KLF7	True
RSC	KRT15	target	KRT15	True
RSC	KRT18	target	KRT18	True
RSC	KRT23	target	KRT23	True
RSC	LAMA3	target	LAMA3	True
RSC	LAPTM5	target	LAPTM5	True
RSC	LCN2	target	LCN2	True
RSC	LDLR	target	LDLR	True
RSC	LGALS1	target	LGALS1	True
RSC	LPCAT4	target	LPCAT4	True
RSC	LRG1	target	LRG1	True
RSC	MDM2	target	MDM2	True
RSC	MISP3	target	MISP3	True
RSC	MRAS	target	MRAS	True
RSC	MSANTD3	target	MSANTD3	True
RSC	MSLN	target	MSLN	True
RSC	MSN	target	MSN	True
RSC	MST1R	target	MST1R	True
RSC	MTCL1	target	MTCL1	True
RSC	MUC3A	target	MUC3A	True
RSC	MYH9	target	MYH9	True
RSC	NFE2L3	target	NFE2L3	True
RSC	NFKBIA	target	NFKBIA	True
RSC	NFKBIZ	target	NFKBIZ	True
RSC	NOS2	target	NOS2	True
RSC	NOXO1	target	NOXO1	True
RSC	OSBPL5	target	OSBPL5	True
RSC	P2RY2	target	P2RY2	True
RSC	P2RY6	target	P2RY6	True
RSC	PAQR8	target	PAQR8	True
RSC	PDZK1IP1	target	PDZK1IP1	True
RSC	PHLDA1	target	PHLDA1	True
RSC	PHLDA2	target	PHLDA2	True
RSC	PIERCE1	target		False
RSC	PIMREG	target	PIMREG	True
RSC	PLAU	target	PLAU	True
RSC	PLAUR	target	PLAUR	True
RSC	PLCD3	target	PLCD3	True
RSC	PLEKHS1	target	PLEKHS1	True
RSC	PLK2	target	PLK2	True
RSC	PMEPA1	target	PMEPA1	True
RSC	PPIC	target	PPIC	True
RSC	PPL	target	PPL	True
RSC	PSRC1	target	PSRC1	True
RSC	PTGS2	target	PTGS2	True
RSC	RAB11FIP5	target	RAB11FIP5	True
RSC	RAB15	target	RAB15	True
RSC	RACK1	target	RACK1	True
RSC	RALGAPA2	target	RALGAPA2	True
RSC	RBMS1	target	RBMS1	True
RSC	RGS19	target	RGS19	True
RSC	RHOD	target	RHOD	True
RSC	RIPK2	target	RIPK2	True
RSC	RUNX1	target	RUNX1	True
RSC	S100A14	target	S100A14	True
RSC	S100A4	target	S100A4	True
RSC	S100A6	target	S100A6	True
RSC	SAMD5	target	SAMD5	True
RSC	SCEL	target	SCEL	True
RSC	SEMA7A	target	SEMA7A	True
RSC	SH3BGRL2	target	SH3BGRL2	True
RSC	SLC19A2	target	SLC19A2	True
RSC	SLC39A10	target	SLC39A10	True
RSC	SLC44A2	target	SLC44A2	True
RSC	SLC60A1	target		False
RSC	SLC7A5	target	SLC7A5	True
RSC	SLCO4A1	target	SLCO4A1	True
RSC	SLPI	target	SLPI	True
RSC	SMIM33	target	SMIM33	True
RSC	SNORA20	target		False
RSC	SNORD104	target		False
RSC	SNORD47	target		False
RSC	SNORD92	target		False
RSC	SOCS3	target	SOCS3	True
RSC	SORL1	target	SORL1	True
RSC	SPATA6	target	SPATA6	True
RSC	SPP1	target	SPP1	True
RSC	STX11	target	STX11	True
RSC	SULF2	target	SULF2	True
RSC	SYT8	target	SYT8	True
RSC	TCIM	target	TCIM	True
RSC	TCIRG1	target	TCIRG1	True
RSC	TGFBI	target	TGFBI	True
RSC	TGM2	target	TGM2	True
RSC	TIMP2	target	TIMP2	True
RSC	TINAGL1	target	TINAGL1	True
RSC	TLR4	target	TLR4	True
RSC	TMEM184C	target	TMEM184C	True
RSC	TMEM43	target	TMEM43	True
RSC	TNF	target	TNF	True
RSC	TNFAIP3	target	TNFAIP3	True
RSC	TNFAIP8	target	TNFAIP8	True
RSC	TNFRSF1B	target	TNFRSF1B	True
RSC	TNFSF9	target	TNFSF9	True
RSC	TNIP3	target	TNIP3	True
RSC	TNNI2	target	TNNI2	True
RSC	TNNT2	target	TNNT2	True
RSC	TNS4	target	TNS4	True
RSC	TRAM2	target	TRAM2	True
RSC	TRIM15	target	TRIM15	True
RSC	TRIM40	target	TRIM40	True
RSC	TSPAN4	target	TSPAN4	True
RSC	TSPAN6	target	TSPAN6	True
RSC	TUBA1A	target	TUBA1A	True
RSC	VAMP5	target	VAMP5	True
RSC	VIM	target	VIM	True
RSC	VNN1	target	VNN1	True
RSC	WFDC2	target	WFDC2	True
RSC	WWTR1	target	WWTR1	True
RSC	ZMAT3	target	ZMAT3	True
RSC	ZNF296	target	ZNF296	True
RSC	ZNF703	target	ZNF703	True
RSC	AC007391.2	control	AC007391.2	True
RSC	C16ORF54	control	C16orf54	True
RSC	LINC01878	control	LINC01878	True
RSC	LINC00334	control	LINC00334	True
RSC	LINC02710	control	LINC02710	True
RSC	ROPN1B	control	ROPN1B	True
RSC	AC073314.1	control	AC073314.1	True
RSC	AC074029.3	control	AC074029.3	True
RSC	PLCH1-AS2	control	PLCH1-AS2	True
RSC	STX18-IT1	control	STX18-IT1	True
RSC	PCDHA7	control	PCDHA7	True
RSC	AL355075.2	control	AL355075.2	True
RSC	AC022868.2	control	AC022868.2	True
RSC	AL031595.2	control	AL031595.2	True
RSC	AC087893.2	control	AC087893.2	True
RSC	AL512303.1	control	AL512303.1	True
