scope	patient	n_cells	scoring	model	component	rho	design_rank
All_epithelial	CRC01	342	matched	technical	Claudin	0.31265848531917356	11
All_epithelial	CRC01	342	matched	technical	Polarity	0.06964336243631537	11
All_epithelial	CRC01	342	matched	conditional	Claudin	0.22365847492981117	14
All_epithelial	CRC01	342	matched	conditional	Polarity	0.07303558299307254	14
All_epithelial	CRC01	342	raw	technical	Claudin	0.3547048641333057	11
All_epithelial	CRC01	342	raw	technical	Polarity	0.1125920790907201	11
All_epithelial	CRC01	342	raw	conditional	Claudin	0.26258663287794315	14
All_epithelial	CRC01	342	raw	conditional	Polarity	0.11076795478389061	14
All_epithelial	CRC02	706	matched	technical	Claudin	0.1480533013414008	14
All_epithelial	CRC02	706	matched	technical	Polarity	0.05073924162919824	14
All_epithelial	CRC02	706	matched	conditional	Claudin	0.05749875174066863	17
All_epithelial	CRC02	706	matched	conditional	Polarity	0.07075351202143706	17
All_epithelial	CRC02	706	raw	technical	Claudin	0.1816018403575582	14
All_epithelial	CRC02	706	raw	technical	Polarity	0.07284621162939652	14
All_epithelial	CRC02	706	raw	conditional	Claudin	0.0422614495838938	17
All_epithelial	CRC02	706	raw	conditional	Polarity	0.07857949821936319	17
All_epithelial	CRC03	452	matched	technical	Claudin	0.27026290201518516	14
All_epithelial	CRC03	452	matched	technical	Polarity	0.09137249336167644	14
All_epithelial	CRC03	452	matched	conditional	Claudin	0.20477019961462886	17
All_epithelial	CRC03	452	matched	conditional	Polarity	0.06597942364065873	17
All_epithelial	CRC03	452	raw	technical	Claudin	0.2982251911007386	14
All_epithelial	CRC03	452	raw	technical	Polarity	0.18228014664941097	14
All_epithelial	CRC03	452	raw	conditional	Claudin	0.20838100547000407	17
All_epithelial	CRC03	452	raw	conditional	Polarity	0.15202488097738892	17
All_epithelial	CRC04	2678	matched	technical	Claudin	0.2385409516430589	13
All_epithelial	CRC04	2678	matched	technical	Polarity	-0.0035953447654535424	13
All_epithelial	CRC04	2678	matched	conditional	Claudin	0.19721821408529994	16
All_epithelial	CRC04	2678	matched	conditional	Polarity	0.008107491241343837	16
All_epithelial	CRC04	2678	raw	technical	Claudin	0.25428430666387136	13
All_epithelial	CRC04	2678	raw	technical	Polarity	0.015699027196706492	13
All_epithelial	CRC04	2678	raw	conditional	Claudin	0.20095481573923718	16
All_epithelial	CRC04	2678	raw	conditional	Polarity	0.017034802399915092	16
All_epithelial	CRC05	654	matched	technical	Claudin	0.2779357533053764	13
All_epithelial	CRC05	654	matched	technical	Polarity	0.1265965815830959	13
All_epithelial	CRC05	654	matched	conditional	Claudin	0.18340521978115712	16
All_epithelial	CRC05	654	matched	conditional	Polarity	0.15623446208062336	16
All_epithelial	CRC05	654	raw	technical	Claudin	0.29788539526019103	13
All_epithelial	CRC05	654	raw	technical	Polarity	0.17249877870257652	13
All_epithelial	CRC05	654	raw	conditional	Claudin	0.19716947691702089	16
All_epithelial	CRC05	654	raw	conditional	Polarity	0.2004281690687048	16
All_epithelial	CRC06	997	matched	technical	Claudin	0.30485397240151846	13
All_epithelial	CRC06	997	matched	technical	Polarity	0.04783786036470588	13
All_epithelial	CRC06	997	matched	conditional	Claudin	0.22799024436814933	16
All_epithelial	CRC06	997	matched	conditional	Polarity	0.04536434680072827	16
All_epithelial	CRC06	997	raw	technical	Claudin	0.3288755877358262	13
All_epithelial	CRC06	997	raw	technical	Polarity	0.07918132834419675	13
All_epithelial	CRC06	997	raw	conditional	Claudin	0.23677940739256798	16
All_epithelial	CRC06	997	raw	conditional	Polarity	0.07389310877662016	16
All_epithelial	CRC07	436	matched	technical	Claudin	0.011391378433550555	12
All_epithelial	CRC07	436	matched	technical	Polarity	0.015809948352979216	12
All_epithelial	CRC07	436	matched	conditional	Claudin	0.015211449707683998	15
All_epithelial	CRC07	436	matched	conditional	Polarity	-0.007130023489037	15
All_epithelial	CRC07	436	raw	technical	Claudin	-0.030327565450256166	12
All_epithelial	CRC07	436	raw	technical	Polarity	0.02009920841878868	12
All_epithelial	CRC07	436	raw	conditional	Claudin	-0.006819452768772449	15
All_epithelial	CRC07	436	raw	conditional	Polarity	-0.0096277228581407	15
All_epithelial	CRC08	3323	matched	technical	Claudin	0.23053012956729624	15
All_epithelial	CRC08	3323	matched	technical	Polarity	0.0689991747594118	15
All_epithelial	CRC08	3323	matched	conditional	Claudin	0.18555111710968133	18
All_epithelial	CRC08	3323	matched	conditional	Polarity	0.0539031344461327	18
All_epithelial	CRC08	3323	raw	technical	Claudin	0.2761398637720045	15
All_epithelial	CRC08	3323	raw	technical	Polarity	0.10597625816401829	15
All_epithelial	CRC08	3323	raw	conditional	Claudin	0.20943512200607498	18
All_epithelial	CRC08	3323	raw	conditional	Polarity	0.07658932468066826	18
All_epithelial	CRC09	1323	matched	technical	Claudin	0.1129010463321909	13
All_epithelial	CRC09	1323	matched	technical	Polarity	-0.0023229743343238926	13
All_epithelial	CRC09	1323	matched	conditional	Claudin	0.09701825814320883	16
All_epithelial	CRC09	1323	matched	conditional	Polarity	-0.005900562899251489	16
All_epithelial	CRC09	1323	raw	technical	Claudin	0.15254294373958965	13
All_epithelial	CRC09	1323	raw	technical	Polarity	0.02796147984577445	13
All_epithelial	CRC09	1323	raw	conditional	Claudin	0.11908462402282599	16
All_epithelial	CRC09	1323	raw	conditional	Polarity	0.02084078460948551	16
