boundary_hops	near_band_definition	deep_band_definition	endpoint	n_patients	minimum_near_spots	minimum_deep_spots	mean_near_minus_deep	positive_patients	exact_sign_flip_p_two_sided	rhgp_mean_near_minus_deep	dhgp_mean_near_minus_deep	rhgp_minus_dhgp_localization	bootstrap_ci_lower	bootstrap_ci_upper	exact_hgp_permutation_p_two_sided
3	1-3 graph hops	>=4 graph hops	Equal-gene score	6	130	533	-0.01577633611144259	4	0.84375	-0.11815579932762764	0.08660312710474245	-0.2047589264323701	-0.33008856113687046	-0.007440062145889548	0.3
3	1-3 graph hops	>=4 graph hops	Pooled expression	6	130	533	-0.03678973698256982	3	0.5625	-0.10711972762533566	0.03354025366019601	-0.14065998128553167	-0.2791597807296864	0.009690468467030776	0.3
5	1-5 graph hops	>=6 graph hops	Equal-gene score	6	255	235	-0.08507313889685279	1	0.28125	-0.15581147328545966	-0.014334804508245882	-0.14147666877721377	-0.3199078155029945	0.07350766320851305	0.4
5	1-5 graph hops	>=6 graph hops	Pooled expression	6	255	235	-0.06408339956358027	2	0.25	-0.10350139603527057	-0.024665403091889953	-0.07883599294338062	-0.2524795395934678	0.07350422370276337	0.7
7	1-7 graph hops	>=8 graph hops	Equal-gene score	6	391	81	-0.09613521645170865	2	0.25	-0.15116860608281624	-0.041101826820601074	-0.11006677926221517	-0.3320873646040461	0.11195380607961578	0.4
7	1-7 graph hops	>=8 graph hops	Pooled expression	6	391	81	-0.05945570657911622	3	0.46875	-0.09764189227726838	-0.02126952088096405	-0.07637237139630433	-0.28557556341573687	0.12153345300067937	0.6
