gene	program_rank	tumour_rHGP_minus_dHGP	adjacent_liver_rHGP_minus_dHGP	tumour_specific_amplification	label_gene
ANKRD37	1	0.280004484967571	0.469213888721729	-0.189209403754158	FALSE
SDCBP2	2	0.526417509231878	0.285073344000893	0.241344165230984	FALSE
DUOXA2	3	3.55560805275539	0.707232175674285	2.8483758770811	TRUE
DUOX2	4	3.30594035275041	0.0709549799845017	3.23498537276591	TRUE
TSPAN1	5	0.869046257142963	-0.0475565385793781	0.916602795722341	TRUE
PLAUR	6	0.781744642505377	0.0656586110434951	0.716086031461882	FALSE
QSOX1	7	-0.0119439914805426	0.108941654477018	-0.120885645957561	FALSE
MUC13	8	-0.133087906902239	0.358985983344313	-0.492073890246552	FALSE
KRT20	9	1.63840592612122	0.892237167714745	0.746168758406471	FALSE
C4BPB	10	1.68622783862429	0.268676377547648	1.41755146107665	TRUE
SLC16A3	11	0.553074093652267	0.443134002454087	0.10994009119818	FALSE
STBD1	12	0.334111409196279	0.745452237904122	-0.411340828707843	FALSE
CEACAM1	13	0.946524772991972	0.457979514024461	0.488545258967511	FALSE
P4HA2	14	0.506169922514849	0.727334999731187	-0.221165077216338	FALSE
KRT80	15	0.600443943544521	1.0687438321215	-0.468299888576977	FALSE
NDRG1	16	0.251396456767663	-0.376073666156522	0.627470122924185	FALSE
DDX60	17	0.1405432574945	0.312442380545809	-0.171899123051309	FALSE
KLF4	18	0.294535647757535	-0.417053189202602	0.711588836960137	FALSE
CYP3A5	19	-0.0618488549646123	-0.62383580827252	0.561986953307907	FALSE
BIRC3	20	0.535088083732566	-0.27743690481002	0.812524988542585	FALSE
APOL1	21	0.790248054551748	0.250587406133707	0.539660648418041	FALSE
GSN	23	0.634613506547789	0.330325755620799	0.304287750926989	FALSE
ADM	25	0.423735709969193	-0.529083716771313	0.952819426740506	TRUE
NDUFA4L2	26	0.611970237117325	-0.0273662240623372	0.639336461179663	FALSE
CDHR5	27	0.913148556085055	0.163469036525743	0.749679519559312	FALSE
MX2	28	-0.270265225810659	0.4026294753537	-0.672894701164359	FALSE
OAS1	29	-0.152403415605105	-0.0825236946607992	-0.0698797209443054	FALSE
COL17A1	30	1.69596733196165	-1.2828017887614	2.97876912072306	TRUE
FXYD3	31	0.500625487636852	0.386145572502949	0.114479915133904	FALSE
BTG1	32	0.0646401415903712	-0.167727528207099	0.23236766979747	FALSE
JUP	33	0.29572567136686	0.164791523931636	0.130934147435224	FALSE
ANGPTL4	34	1.50381153456972	-0.33104463945082	1.83485617402054	TRUE
ISG15	35	0.0921115140028204	0.0814499240713524	0.0106615899314679	FALSE
MXD1	36	0.0421132714306154	-0.406867515375084	0.448980786805699	FALSE
ARFGAP3	37	0.275130890844835	0.180317911024455	0.0948129798203805	FALSE
CLDN3	38	-0.37299811614777	0.239223074586311	-0.612221190734082	FALSE
IL32	39	0.505859642237037	0.507118258779177	-0.00125861654213999	FALSE
APOL6	40	0.0399635291186762	0.143032082832786	-0.10306855371411	FALSE
RHOC	41	0.341493103982496	0.0256565812962526	0.315836522686244	FALSE
ABCG1	42	0.490916691512155	-0.401102805938132	0.892019497450288	FALSE
RSAD2	43	-0.180004111028422	-0.696465021970765	0.516460910942343	FALSE
DUSP5	44	0.846614755841902	0.0270635941004787	0.819551161741424	FALSE
PNCK	45	0.224521523288445	0.13972583879658	0.0847956844918647	FALSE
PTPRH	46	0.367446730384891	0.233486045087957	0.133960685296935	FALSE
FHL2	47	0.281690489432287	0.835047289520223	-0.553356800087936	FALSE
LDHA	48	0.223350797850131	0.371896045679167	-0.148545247829036	FALSE
GRHL1	49	0.165492412303412	-0.447508515008404	0.613000927311816	FALSE
EGLN3	50	0.444006514444753	-0.76019540558628	1.20420192003103	TRUE
