gene	program_rank	discovery_rec_vs_other	bulk_rHGP_vs_dHGP	interface_rHGP_vs_dHGP	epithelial_rHGP_vs_dHGP	spatial_rHGP_vs_dHGP	outgrowth_macro_vs_micro	member_ap1	member_hypoxia	member_regenerative	member_nfkb	hgp_positive_sources	all_positive_sources	persistent_five_source_core	hgp_recurrence_class	outgrowth_direction	biological_membership	shared_direction	label_gene
NDUFA4L2	26	2.48698093869849	0.674247875197306	0.681042341868509	0.0345157067721003	1.05902276098292	0.539543383387515	FALSE	TRUE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Hypoxia	Higher in both	TRUE
CDHR5	27	1.81817956539995	0.973571674955292	0.426507166294832	0.543762771364858	0.513944427200936	0.351751818363067	FALSE	FALSE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	TRUE
MX2	28	1.92800600552055	-0.210919143161421	-0.0936943787157789	-0.579160876806037	-1.10096522543236	-0.678149173912057	FALSE	FALSE	FALSE	FALSE	0	0	FALSE	positive in zero or one HGP dataset	not higher in macrometastasis	Other REC programme	Other direction	FALSE
OAS1	29	1.62361664199347	-0.0924789115460278	0.249098542020629	-1.10595133834711	-1.23067620284027	0.53573572547315	FALSE	FALSE	TRUE	FALSE	1	2	FALSE	positive in zero or one HGP dataset	higher in macrometastasis	Regenerative	Other direction	FALSE
COL17A1	30	2.36989665499005	1.75647915461918	0.472576615787395	1.37790075288811	-0.423630026410771	1.57709561158776	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	FALSE
FXYD3	31	1.180692935054	0.560557775181811	0.356740674293278	2.82853558996392	-0.0900755608234522	1.16445087892041	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	FALSE
JUP	33	1.34376318298891	0.355699735962251	0.788405781487732	1.16669695815506	-0.29780411668414	0.495848830539662	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	FALSE
ANGPTL4	34	2.69533297252888	1.56668541329021	0.511124627925235	-0.827470832081441	1.57721801933195	-0.00830976784213981	FALSE	TRUE	FALSE	FALSE	3	3	FALSE	positive in three HGP datasets	not higher in macrometastasis	Hypoxia	Higher in both	FALSE
ISG15	35	1.83409292535563	0.152872807841526	-0.31398945244455	1.24913781442294	-0.595169068039517	-0.270623693260869	FALSE	FALSE	TRUE	FALSE	2	2	FALSE	split HGP direction	not higher in macrometastasis	Regenerative	Other direction	FALSE
MXD1	36	1.83008141400339	0.102066767447798	0.344039721112882	0.146379759684195	-1.05533046719708	0.202626779536602	FALSE	FALSE	FALSE	TRUE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	NF-kB regulon	Higher in both	FALSE
ARFGAP3	37	1.26954036866308	0.335153999501958	-0.0126244843323342	-0.355156720276849	-0.186018581075352	0.107744866918026	FALSE	FALSE	FALSE	FALSE	1	2	FALSE	positive in zero or one HGP dataset	higher in macrometastasis	Other REC programme	Other direction	FALSE
CLDN3	38	1.09073620113187	-0.313107875759827	0.281630300014795	0.9356274957465	-0.22345845898089	0.424033832889018	FALSE	FALSE	FALSE	FALSE	2	3	FALSE	split HGP direction	higher in macrometastasis	Other REC programme	Other direction	FALSE
IL32	39	1.7201279929832	0.565846704774602	0.288429338243654	2.39750915185058	0.917653463551751	-0.302998023494407	FALSE	FALSE	FALSE	FALSE	4	4	FALSE	positive in all four HGP datasets	not higher in macrometastasis	Other REC programme	Higher in both	FALSE
APOL6	40	1.52495058352389	0.0999113106417564	-0.403767507785684	-0.248311783784359	-0.239984341481039	-0.338380793848608	FALSE	FALSE	FALSE	FALSE	1	1	FALSE	positive in zero or one HGP dataset	not higher in macrometastasis	Other REC programme	Other direction	FALSE
ABCG1	42	1.48200699471244	0.550987674094351	0.130517917816716	-1.1240632977344	0.0854835739381468	0.530679454258695	FALSE	FALSE	FALSE	TRUE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	NF-kB regulon	Higher in both	FALSE
RSAD2	43	2.80905394349691	-0.118955400557748	-0.556009979505542	1.36967855518559	-1.47562776819982	-0.582611663114502	FALSE	FALSE	FALSE	FALSE	1	1	FALSE	positive in zero or one HGP dataset	not higher in macrometastasis	Other REC programme	Other direction	FALSE
PNCK	45	2.50434508699476	0.349226420247737	0.534788043072683	1.64833496764782	-0.369343820737103	0.712731146812766	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	FALSE
PTPRH	46	1.4378592458461	0.427662783013891	0.341237033384726	-0.622175899549892	0.0141459485123141	0.471174863006288	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	FALSE
FHL2	47	1.05961614972546	0.341652994773014	-0.0260029858086344	1.42571698677934	0.823803592674248	0.138537301777369	TRUE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	AP-1 target	Other direction	FALSE
GRHL1	49	1.70920180814024	0.226245223978991	0.51483527396061	-1.39665427232975	-0.134360879016142	-0.304845729607787	FALSE	FALSE	FALSE	FALSE	2	2	FALSE	split HGP direction	not higher in macrometastasis	Other REC programme	Higher in both	FALSE
EGLN3	50	1.6598048251668	0.504151794042492	0.269234826182158	1.40750039093804	0.549095409240192	1.17345553295065	FALSE	TRUE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Hypoxia	Higher in both	TRUE
