logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	mean_patient_log2CPM_difference	median_patient_log2CPM_difference	fraction_patients_positive	fraction_patients_negative	direction	excluded_from_projection_program	program_rank	label_gene
2.2873789664618	5.99600091851185	16.4140374259212	5.22688545087243e-12	7.87599064215437e-08	17.7156179536239	ANKRD37	2.15338713008651	2.2892130362211	1	0	anchor_up	FALSE	1	TRUE
2.46002023923364	5.81243715927384	15.7828978830667	9.91189358438758e-12	7.87599064215437e-08	17.0954655129653	SDCBP2	2.48650902848126	2.5188381767938	1	0	anchor_up	FALSE	2	TRUE
4.16620531435602	2.67766783663989	15.2113338587492	2.91785657193747e-11	1.54568588804101e-07	15.4650142519297	DUOXA2	3.3307331852376	4.35605900046283	0.777777777777778	0.222222222222222	anchor_up	FALSE	3	TRUE
3.0345020538091	3.57600083565882	14.6955101104512	4.28016948463676e-11	1.70051133624618e-07	15.5485702847218	DUOX2	2.38970392639016	2.34447735693584	0.777777777777778	0.222222222222222	anchor_up	FALSE	4	TRUE
2.07056215977856	7.40563427217403	14.3924106474038	6.90630725333118e-11	2.19510069739878e-07	15.2964203963317	TSPAN1	2.01635047963058	2.07149087592423	1	0	anchor_up	FALSE	5	TRUE
1.80932670972888	6.91964540202194	13.483826435207	1.25190235295081e-10	3.31587203218238e-07	14.6841966835938	PLAUR	1.77279511160905	1.70296250638577	1	0	anchor_up	FALSE	6	TRUE
1.52589163419651	6.86101751564273	12.8016454865795	2.85058770253885e-10	5.24466373791267e-07	13.868897427874	QSOX1	1.48251171795815	1.39435080588621	1	0	anchor_up	FALSE	7	TRUE
1.45913105620624	8.65990416127631	12.4206090502135	4.58570019177767e-10	7.28759474477307e-07	13.3602186873739	MUC13	1.45071513036341	1.44267434516959	1	0	anchor_up	FALSE	8	TRUE
1.74060662823256	7.59829526410317	12.3153795901087	7.66241689434002e-10	1.10701026622592e-06	12.8927562932807	KRT20	1.76265610694046	1.66750677909956	1	0	anchor_up	FALSE	9	FALSE
2.21810765718594	4.56097633672064	11.9120477276139	8.81256789346437e-10	1.1670777413578e-06	12.7182645140393	C4BPB	2.05120969772158	1.73567685085095	1	0	anchor_up	FALSE	10	FALSE
1.59132807903191	5.60248098189847	11.7520587895197	1.08729702749492e-09	1.32447899699514e-06	12.5416226747604	SLC16A3	1.51118213005177	1.33440305813637	1	0	anchor_up	FALSE	11	FALSE
1.99986383171934	3.83355025080227	11.6824245670151	1.19225521129459e-09	1.32447899699514e-06	12.2472574779336	STBD1	1.91861250731026	2.03888588227342	1	0	anchor_up	FALSE	12	FALSE
1.55218358380682	8.12010511644294	11.6288378174172	1.77105406672839e-09	1.73579712617344e-06	12.0284323758453	CEACAM1	1.54123673585644	1.62833138685723	1	0	anchor_up	FALSE	13	FALSE
1.67240120369252	5.64386730169466	11.3521634345093	1.85681796784221e-09	1.73579712617344e-06	12.0198743813697	P4HA2	1.65636365253568	1.81525586726168	1	0	anchor_up	FALSE	14	FALSE
2.01240947379719	5.00565153909998	11.1361966130215	2.49431276385421e-09	2.20220102462062e-06	11.7250714087334	KRT80	1.96067883733302	2.13891244420237	1	0	anchor_up	FALSE	15	FALSE
1.99673456758665	8.75324564055626	10.9976991651165	1.59826591108874e-08	7.05545607195064e-06	9.90910034774173	NDRG1	1.98018645415118	1.91362950276594	1	0	anchor_up	FALSE	16	FALSE
1.99389332768528	5.6930377506734	10.9669521350796	4.8112888596461e-09	3.47550011624981e-06	11.1066750860322	DDX60	1.90544267376197	2.01371044009258	1	0	anchor_up	FALSE	17	FALSE
1.62901029131166	4.88344839969283	10.6999295194805	4.58992616019094e-09	3.47348126370259e-06	11.1269656050804	KLF4	1.75405732593424	1.87929867738607	1	0	anchor_up	FALSE	18	FALSE
1.30278015419011	7.86976344056458	10.6033795248214	5.26648492459664e-09	3.63891210529086e-06	10.9110594203731	CYP3A5	1.29648294980655	1.27222980042352	1	0	anchor_up	FALSE	19	FALSE
2.0358711815993	5.39425124254497	10.5157475734173	8.91724320674063e-09	5.13885308638886e-06	10.501458815577	BIRC3	1.69270504490748	2.19297489800823	0.888888888888889	0.111111111111111	anchor_up	FALSE	20	FALSE
2.42118361849117	4.66288497190283	10.4554260452882	1.98796652559526e-08	7.51099615337106e-06	9.76328146107154	APOL1	1.75637018109102	1.69890066175432	0.888888888888889	0.111111111111111	anchor_up	FALSE	21	FALSE
3.7647921011859	2.78089425729097	10.4039816990489	3.14885976410873e-08	9.62339987907999e-06	9.20585616323484	ADGRF1	2.45505027289708	3.17948278747254	0.777777777777778	0.111111111111111	anchor_up	FALSE	22	FALSE
1.32644382235815	6.94316988661922	10.3894608150602	7.16617414768935e-09	4.55539358220316e-06	10.6396328615729	GSN	1.32868828605455	1.27270075652998	1	0	anchor_up	FALSE	23	FALSE
2.02995367412215	6.43241158720031	10.3662351003605	2.37009834872022e-08	8.0512535629134e-06	9.56248913293797	HIF1A-AS3	1.9030932885922	2.26489931553576	1	0	anchor_up	FALSE	24	FALSE
1.95979401871367	4.68990034013061	10.3613494418789	7.46478408848134e-09	4.56270572054406e-06	10.6508630610615	ADM	1.79969435338248	1.78383341400822	1	0	anchor_up	FALSE	25	FALSE
2.48698093869849	1.88987951541981	10.2291942100476	9.05410813106519e-09	5.13885308638886e-06	10.2491563588717	NDUFA4L2	1.74214783996053	1.40507310818772	0.777777777777778	0.222222222222222	anchor_up	FALSE	26	FALSE
1.81817956539995	5.50741520876328	10.1862768025465	1.09103401534232e-08	5.57347251810437e-06	10.2808366694463	CDHR5	1.91694699520705	1.71220311742773	1	0	anchor_up	FALSE	27	FALSE
1.92800600552055	5.15725477365373	10.1476090472761	1.49352100820551e-08	6.88460780641482e-06	9.98982747544295	MX2	1.92520326345157	1.69172897020297	1	0	anchor_up	FALSE	28	FALSE
1.62361664199347	5.86995447393238	10.0836372535612	1.12226982493921e-08	5.57347251810437e-06	10.2334870948515	OAS1	1.5563606564889	1.56418404625978	1	0	anchor_up	FALSE	29	FALSE
2.36989665499005	5.75478905343808	10.0749842205289	5.06895399386191e-08	1.15534153833809e-05	8.85272003231645	COL17A1	2.11076202481275	1.68670645077727	1	0	anchor_up	FALSE	30	FALSE
1.180692935054	8.84476027362856	9.94858432393502	1.37245145483374e-08	6.6093934909751e-06	9.90187228627945	FXYD3	1.18202072558293	1.05789148166941	1	0	anchor_up	FALSE	31	FALSE
1.36270207729034	6.39827899820549	9.88220385379997	1.51624259517064e-08	6.88460780641482e-06	9.90916542514545	BTG1	1.41571725382466	1.37864493827072	1	0	anchor_up	FALSE	32	FALSE
1.34376318298891	7.67373256392153	9.83110928516767	2.04136681723076e-08	7.51099615337106e-06	9.55923691744764	JUP	1.33655425336719	1.26094039512932	1	0	anchor_up	FALSE	33	FALSE
2.69533297252888	1.23747600987719	9.81500244770436	1.67798475685174e-08	7.16460115056873e-06	9.57003849915802	ANGPTL4	1.40956698187351	1.52870815812555	0.888888888888889	0.111111111111111	anchor_up	FALSE	34	FALSE
1.83409292535563	5.46511283821977	9.75845682400788	2.43179065580067e-08	8.0512535629134e-06	9.49993127673038	ISG15	1.66340550578028	1.57039748902982	1	0	anchor_up	FALSE	35	FALSE
1.83008141400339	7.91920183662711	9.74390960518526	7.82339722634791e-08	1.48011224668001e-05	8.32052278433409	MXD1	1.78096628328194	1.68624086340792	1	0	anchor_up	FALSE	36	FALSE
