endpoint	role	n_EHGP	n_RHGP	EHGP_mean	RHGP_mean	mean_difference_RHGP_minus_EHGP	mean_difference_bootstrap_CI_low	mean_difference_bootstrap_CI_high	EHGP_median	RHGP_median	EHGP_q1	EHGP_q3	RHGP_q1	RHGP_q3	probability_RHGP_greater_than_EHGP	rank_biserial_correlation	exact_mean_difference_permutation_p	exact_label_assignments	holm_p_across_two_primary	expected_direction_positive	label	p_label
liver_epithelial_k10__any_target_neighbour_rate_equal_roi	primary	7	8	0.120850124892316	0.558935831223978	0.438085706331662	0.29843815700745	0.56958176437732	0.109930715935335	0.591271959658432	0.060789999294706	0.155025942883488	0.483904640942704	0.659438898687146	0.982142857142857	0.964285714285714	0.000621600621600622	6435	0.000621600621600622	True	All liver epithelium	P = 6.2e-04
damaged_hepatocytes_k10__any_target_neighbour_rate_equal_roi	target_definition_sensitivity__any_target_neighbour_rate_equal_roi	7	8	0.0442141988821242	0.261860508089649	0.217646309207525	0.124218637342282	0.306918338145464	0.0198614318706697	0.270845400751871	0.0132088524947774	0.0447491247066095	0.148193280696101	0.384505257069479	0.946428571428571	0.892857142857143	0.00186480186480186	6435	NA	NA	Damaged hepatocytes	P = 0.002
hc1_k10__any_target_neighbour_rate_equal_roi	target_definition_sensitivity__any_target_neighbour_rate_equal_roi	7	8	0.0103929472527281	0.00865830080403487	-0.00173464644869319	-0.0158696176407323	0.00797129088240088	0.00374914144984189	0.00695114346127237	0.00172131556183855	0.00766482768708545	0.00504893646556572	0.0115679424547156	0.678571428571429	0.357142857142857	0.929292929292929	6435	NA	NA	Steady-state HC1	P = 0.929
