cell_id	Sample	Growth pattern	Tumor	Tumor front	Region	Clusters	x	y	display_hgp	display_class	is_tumour	display_class_new
33757	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	10654.6	2994.3	dHGP	Non-tumour context	FALSE	Other tissue
33758	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	9657.818	3985.7273	dHGP	Non-tumour context	FALSE	Other tissue
33759	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	11423.154	2256.3845	dHGP	Non-tumour context	FALSE	Other tissue
33760	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	7190.1113	6514.1665	dHGP	Non-tumour context	FALSE	Other tissue
33761	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	2566.9333	11033.934	dHGP	Non-tumour context	FALSE	Other tissue
33762	ENC-P02-S03	EHGP	False	False	Stroma	aHSC1	6456.2856	7316.357	dHGP	Non-tumour context	FALSE	Other tissue
33764	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	10917.462	2703.7693	dHGP	Non-tumour context	FALSE	Other tissue
33765	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6521.32	7153.66	dHGP	Non-tumour context	FALSE	Other tissue
33766	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	2945.628	10722.023	dHGP	Non-tumour context	FALSE	Other tissue
33767	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	11285.917	2367.5833	dHGP	Non-tumour context	FALSE	Other tissue
33768	ENC-P02-S03	EHGP	False	False	Stroma	NC2	11003.538	2690.3076	dHGP	Non-tumour context	FALSE	Other tissue
33769	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	3890.9697	9815.03	dHGP	Non-tumour context	FALSE	Other tissue
33770	ENC-P02-S03	EHGP	False	False	Stroma	NC3	10025.5	3672.1	dHGP	Non-tumour context	FALSE	Other tissue
33772	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	2908.2083	10795.792	dHGP	Non-tumour context	FALSE	Other tissue
33776	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	7282.115	6445.885	dHGP	Non-tumour context	FALSE	Other tissue
33778	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	2797.6897	10957.379	dHGP	Non-tumour context	FALSE	Other tissue
33779	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	4285.6	9421.4	dHGP	Non-tumour context	FALSE	Other tissue
33782	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6840.1143	6948.4287	dHGP	Non-tumour context	FALSE	Other tissue
33784	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	10137.409	3613.6365	dHGP	Non-tumour context	FALSE	Other tissue
33786	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6742.269	7045.548	dHGP	Non-tumour context	FALSE	Other tissue
33787	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	10249.289	3596.0667	dHGP	Non-tumour context	FALSE	Other tissue
33788	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6205.4346	7537.7827	dHGP	Non-tumour context	FALSE	Other tissue
33789	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	11196.5	2577	dHGP	Non-tumour context	FALSE	Other tissue
33791	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	9704.647	4105.1177	dHGP	Non-tumour context	FALSE	Other tissue
33792	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	3024	10760.25	dHGP	Non-tumour context	FALSE	Other tissue
33794	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	2906.908	10918.961	dHGP	Non-tumour context	FALSE	Other tissue
33795	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	10058.1	3752.3	dHGP	Non-tumour context	FALSE	Other tissue
33796	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	195.21875	4230.75	dHGP	Non-tumour context	FALSE	Other tissue
33798	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6646.83	7145.849	dHGP	Non-tumour context	FALSE	Other tissue
33801	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	7342.3794	6497.3105	dHGP	Non-tumour context	FALSE	Other tissue
33802	ENC-P02-S03	EHGP	False	False	Stroma	CAFγ	7045.647	6765.647	dHGP	Non-tumour context	FALSE	Other tissue
33804	ENC-P02-S03	EHGP	False	False	Stroma	NC3	9611.958	4266.5	dHGP	Non-tumour context	FALSE	Other tissue
33805	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6111.727	7802.591	dHGP	Non-tumour context	FALSE	Other tissue
33806	ENC-P02-S03	EHGP	True	True	Tumor	MΦ	9377.667	4501.8975	dHGP	Tumour-region context	TRUE	Other tissue
33808	ENC-P02-S03	EHGP	True	False	Tumor	CAF2	5838.409	167.72728	dHGP	Tumour-region context	TRUE	Other tissue
33810	ENC-P02-S03	EHGP	False	False	Liver	aHSC1	2638.325	11255.95	dHGP	Non-tumour context	FALSE	Other tissue
33812	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6308.4873	7572.8975	dHGP	Non-tumour context	FALSE	Other tissue
33813	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	5061.5415	8848.375	dHGP	Non-tumour context	FALSE	Other tissue
33814	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	9558.75	4324.75	dHGP	Non-tumour context	FALSE	Other tissue
33815	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6412.242	7531.879	dHGP	Non-tumour context	FALSE	Other tissue
33816	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	4615.9614	9370.5	dHGP	Non-tumour context	FALSE	Other tissue
33817	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	7023.552	6933.5864	dHGP	Non-tumour context	FALSE	Other tissue
33818	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	9743.639	4241.6665	dHGP	Non-tumour context	FALSE	Other tissue
33822	ENC-P02-S03	EHGP	False	False	Stroma	aHSC1	4597.25	9303.3125	dHGP	Non-tumour context	FALSE	Other tissue
33824	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	7309.5654	6601.1304	dHGP	Non-tumour context	FALSE	Other tissue
33827	ENC-P02-S03	EHGP	True	True	Tumor	MΦ	9089.417	4910.3335	dHGP	Tumour-region context	TRUE	Other tissue
33829	ENC-P02-S03	EHGP	False	False	Liver	aHSC1	2761	11251.422	dHGP	Non-tumour context	FALSE	Other tissue
33830	ENC-P02-S03	EHGP	True	False	Tumor	CAF2	3141.3333	3004.5476	dHGP	Tumour-region context	TRUE	Other tissue
33831	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9535.298	4488.447	dHGP	Non-tumour context	FALSE	Other tissue
33832	ENC-P02-S03	EHGP	False	False	Stroma	aHSC1	3009.3845	10999.282	dHGP	Non-tumour context	FALSE	Other tissue
33834	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6868.5	7053.107	dHGP	Non-tumour context	FALSE	Other tissue
33835	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	10391.944	3661.111	dHGP	Non-tumour context	FALSE	Other tissue
33837	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6912.0654	7160.9565	dHGP	Non-tumour context	FALSE	Other tissue
33838	ENC-P02-S03	EHGP	False	False	Stroma	CAF1	9224.448	4834.5864	dHGP	Non-tumour context	FALSE	Other tissue
33839	ENC-P02-S03	EHGP	False	False	Liver	MΦ	3045.2964	11087.111	dHGP	Non-tumour context	FALSE	Other tissue
33840	ENC-P02-S03	EHGP	False	False	Stroma	CAF1	3812.0527	10242.632	dHGP	Non-tumour context	FALSE	Other tissue
33841	ENC-P02-S03	EHGP	True	False	Tumor	CAF2	4049.7705	1993.3606	dHGP	Tumour-region context	TRUE	Other tissue
33842	ENC-P02-S03	EHGP	False	False	Liver	CAF2	4172.4365	9961.761	dHGP	Non-tumour context	FALSE	Other tissue
33843	ENC-P02-S03	EHGP	False	False	Stroma	NC3	7273.3335	6873.4165	dHGP	Non-tumour context	FALSE	Other tissue
33844	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	5601.5864	8519.069	dHGP	Non-tumour context	FALSE	Other tissue
33846	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	7661.912	6493.6143	dHGP	Non-tumour context	FALSE	Other tissue
33848	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9366.065	4767.804	dHGP	Non-tumour context	FALSE	Other tissue
33849	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	5867.1816	8283.272	dHGP	Non-tumour context	FALSE	Other tissue
33850	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9598.615	4627.6924	dHGP	Non-tumour context	FALSE	Other tissue
33851	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6325.963	7864.4443	dHGP	Non-tumour context	FALSE	Other tissue
33853	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	7722.375	6602.4165	dHGP	Non-tumour context	FALSE	Other tissue
33855	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	4312.1777	9853.2	dHGP	Non-tumour context	FALSE	Other tissue
33856	ENC-P02-S03	EHGP	False	False	Stroma	NC2	10151.3	4025.1	dHGP	Non-tumour context	FALSE	Other tissue
33858	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	6127.6	8063.7334	dHGP	Non-tumour context	FALSE	Other tissue
33860	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6798.6895	7404.241	dHGP	Non-tumour context	FALSE	Other tissue
33861	ENC-P02-S03	EHGP	False	False	Liver	aHSC1	3712.1233	10514.644	dHGP	Non-tumour context	FALSE	Other tissue
33862	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6988.091	7255.364	dHGP	Non-tumour context	FALSE	Other tissue
33864	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9336.243	4896.7026	dHGP	Non-tumour context	FALSE	Other tissue
33865	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	10542.4	3711.3	dHGP	Non-tumour context	FALSE	Other tissue
33866	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	9167.412	5020.1323	dHGP	Non-tumour context	FALSE	Other tissue
33867	ENC-P02-S03	EHGP	False	False	Liver	aHSC1	4330.1523	9933.39	dHGP	Non-tumour context	FALSE	Other tissue
33869	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9477.515	4821.086	dHGP	Non-tumour context	FALSE	Other tissue
33870	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	9421.826	4879.5654	dHGP	Non-tumour context	FALSE	Other tissue
33871	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	5183.8	9084.05	dHGP	Non-tumour context	FALSE	Other tissue
33873	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	4486.5264	9752.895	dHGP	Non-tumour context	FALSE	Other tissue
33876	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	9307.889	4991.528	dHGP	Non-tumour context	FALSE	Other tissue
33877	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	9088.929	5217.643	dHGP	Non-tumour context	FALSE	Other tissue
33878	ENC-P02-S03	EHGP	False	False	Stroma	CAFγ	10793.583	3531.3333	dHGP	Non-tumour context	FALSE	Other tissue
33880	ENC-P02-S03	EHGP	True	True	Tumor	MΦ	8424.5	5927.1387	dHGP	Tumour-region context	TRUE	Other tissue
33881	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	4429.375	9910.2295	dHGP	Non-tumour context	FALSE	Other tissue
33882	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	10242.739	4045.739	dHGP	Non-tumour context	FALSE	Other tissue
33884	ENC-P02-S03	EHGP	True	True	Tumor	MΦ	8561.8	5749.457	dHGP	Tumour-region context	TRUE	Other tissue
33885	ENC-P02-S03	EHGP	True	False	Tumor	CAF3	1813.6666	4257.467	dHGP	Tumour-region context	TRUE	Other tissue
33886	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	6611.125	7700.25	dHGP	Non-tumour context	FALSE	Other tissue
33887	ENC-P02-S03	EHGP	True	False	Tumor	CAF3	8509.238	5902.619	dHGP	Tumour-region context	TRUE	Other tissue
33889	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	7678	6700.543	dHGP	Non-tumour context	FALSE	Other tissue
33890	ENC-P02-S03	EHGP	False	False	Liver	CAF3	3660.5186	10700.111	dHGP	Non-tumour context	FALSE	Other tissue
33891	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	5648.6313	8685.895	dHGP	Non-tumour context	FALSE	Other tissue
33892	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9033.772	5324.909	dHGP	Non-tumour context	FALSE	Other tissue
33894	ENC-P02-S03	EHGP	False	False	Liver	CAF2	4595.6763	9763.465	dHGP	Non-tumour context	FALSE	Other tissue
33897	ENC-P02-S03	EHGP	False	False	Liver	MΦ	3964.4285	10441.714	dHGP	Non-tumour context	FALSE	Other tissue
33898	ENC-P02-S03	EHGP	False	False	Stroma	NC1	5751	8694.728	dHGP	Non-tumour context	FALSE	Other tissue
33899	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	10106.4375	4348.1875	dHGP	Non-tumour context	FALSE	Other tissue
33900	ENC-P02-S03	EHGP	True	True	Tumor	MΦ	8366.828	6023	dHGP	Tumour-region context	TRUE	Other tissue
33902	ENC-P02-S03	EHGP	False	False	Liver	MΦ	4059.1428	10276.667	dHGP	Non-tumour context	FALSE	Other tissue
33904	ENC-P02-S03	EHGP	False	False	Stroma	aHSC1	5023.263	9459.895	dHGP	Non-tumour context	FALSE	Other tissue
