gene	study	scoring	model	n_patients	estimate	variance	low	high	p_signflip	n_positive	display_rho	display_rho_low	display_rho_high
CLDN1	Ogden_2025	fixed_background	state_enhanced	14	0.0553280727334242	0.000187970510134	0.0299570727017366	0.0817615314255779	0.001220703125	12.0	0.055271685092990505	0.02994811449676623	0.0815798267553918
CLDN2	Ogden_2025	fixed_background	state_enhanced	14	-0.0199703200453027	0.00012118387585	-0.0411285393163757	0.0002872051451816	0.0953369140625	5.0	-0.019967665656450466	-0.0411053645774218	0.0002872051372847229
CLDN3	Ogden_2025	fixed_background	state_enhanced	14	0.085573336714486	0.0003022322131583	0.0531780377329671	0.1182505683489279	0.000732421875	12.0	0.0853650680421262	0.05312796691388255	0.11770246020571894
CLDN4	Ogden_2025	fixed_background	state_enhanced	14	0.1661062524799068	0.0003783403673722	0.1283897259804537	0.2018516484184963	0.0001220703125	14.0	0.16459523159481432	0.12768889122180596	0.19915418179141567
CLDN5	Ogden_2025	fixed_background	state_enhanced	9	0.0213019800429461	0.0001220411836508	-0.0003832966918757	0.0409856145192921	0.09765625	6.0	0.021298758530271574	-0.00038329667310485027	0.040962680436069765
CLDN6	Ogden_2025	fixed_background	state_enhanced	12	0.0176033389709863	7.686176242564663e-05	0.0012654193432807	0.0343095106570493	0.0693359375	9.0	0.01760152090319477	0.0012654186678483247	0.03429605459826431
CLDN7	Ogden_2025	fixed_background	state_enhanced	14	0.0807680529924981	0.0002674295797504	0.0524399440340036	0.1146933254600376	0.000244140625	13.0	0.08059288052255466	0.052391927815124625	0.11419304431774652
CLDN8	Ogden_2025	fixed_background	state_enhanced	2	0.0334696860536002	0.0001792463859607	0.0200813931840522	0.0468579789231483	0.5	2.0	0.033457193848561564	0.020078694262783664	0.04682371412736753
CLDN9	Ogden_2025	fixed_background	state_enhanced	13	0.0229811585946449	8.205705677461493e-05	0.0053833519572554	0.0395319870586695	0.030517578125	10.0	0.022977113741406024	0.005383299953820048	0.039511406683695516
CLDN10	Ogden_2025	fixed_background	state_enhanced	14	0.0207233497871917	0.0001311579363772	0.0014763584289089	0.0446213996102784	0.0599365234375	10.0	0.020720383699273356	0.001476357356269389	0.04459180841096343
CLDN11	Ogden_2025	fixed_background	state_enhanced	12	-0.0163878242208512	0.0001452399749524	-0.0404234052096575	0.0053380847266033	0.21337890625	6.0	-0.016386357336130284	-0.04040140161370164	0.005338034024008794
CLDN12	Ogden_2025	fixed_background	state_enhanced	14	0.040196294846569	0.0002246536287186	0.0131875955231165	0.069072259451816	0.017578125	11.0	0.04017465988019629	0.013186831079620612	0.06896262129186595
CLDN14	Ogden_2025	fixed_background	state_enhanced	13	-0.0156858025049683	0.0002034518029236	-0.0442523324659482	0.0092702532966975	0.3046875	6.0	-0.015684516163610527	-0.044223469085412054	0.009269987751397512
CLDN15	Ogden_2025	fixed_background	state_enhanced	14	0.0016538819291381	0.0001200665252283	-0.0196775976636277	0.0214732354327385	0.88037109375	8.0	0.001653880421171314	-0.01967505828350721	0.021469935606216545
CLDN16	Ogden_2025	fixed_background	state_enhanced	14	0.0081715446724217	0.0001348816549244	-0.0131067774008968	0.0295861933975952	0.500244140625	9.0	0.008171362794650578	-0.013106026925127473	0.029577563731633682
CLDN17	Ogden_2025	fixed_background	state_enhanced	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLDN18	Ogden_2025	fixed_background	state_enhanced	9	0.0267277906342403	3.922367652350013e-05	0.0152219217549202	0.0383134431502467	0.0078125	8.0	0.02672142789909183	0.015220746189097769	0.03829470712914963
CLDN19	Ogden_2025	fixed_background	state_enhanced	8	0.0213110082547091	6.623814083841729e-05	0.0066750881785297	0.0364555084119228	0.0390625	7.0	0.02130778264476715	0.006674989040102089	0.03643936715261748
CLDN20	Ogden_2025	fixed_background	state_enhanced	13	-0.0101725134611823	0.0001912629101183	-0.0355050549798618	0.0161089347447802	0.46728515625	4.0	-0.010172162591705707	-0.03549014316922245	0.01610754147847247
CLDN22	Ogden_2025	fixed_background	state_enhanced	1	-0.0479397595230288	NA	NA	NA	NA	0.0	-0.04790306787280531	NA	NA
CLDN23	Ogden_2025	fixed_background	state_enhanced	13	0.0303752670861747	0.0001386134111601	0.0084967858303791	0.0524652432274234	0.0263671875	9.0	0.030365928549910496	0.008496581360086441	0.052417157530984984
CRB3	Ogden_2025	fixed_background	state_enhanced	13	0.041574921321993	9.690033174097484e-05	0.0242831432804449	0.0610642618495279	0.00048828125	12.0	0.04155098414710306	0.024278371383802563	0.06098847518251819
PALS1	Ogden_2025	fixed_background	state_enhanced	14	0.0109276852431532	0.0001134254363677	-0.0082986204094888	0.0315797684725067	0.320068359375	9.0	0.010927250289950344	-0.008298429914093873	0.03156927468272213
PARD3	Ogden_2025	fixed_background	state_enhanced	14	-0.0037362116714642	0.0001384351180271	-0.0243853222128612	0.0200838017757998	0.7674560546875	7.0	-0.0037361942866225733	-0.024380489834254202	0.020081101883381514
PARD6A	Ogden_2025	fixed_background	state_enhanced	13	0.008517966550134	0.0001444612101034	-0.0128063983753203	0.0323934708355174	0.519287109375	9.0	0.008517760546950396	-0.012805698321744266	0.03238214503400105
PARD6B	Ogden_2025	fixed_background	state_enhanced	14	0.0962243616529111	0.0001711527271791	0.0728235192434147	0.1225155160931649	0.0001220703125	14.0	0.09592847292002657	0.0726950576038114	0.1219061861850138
