gene	compartment	mean_detection	n_patients
CLDN7	Stromal	0.0967813091452796	10
CLDN7	T-NK-ILC	0.0771353827058908	11
CLDN8	B	0.0	1
CLDN8	Endothelial	0.0	8
CLDN8	Epithelial	0.0005465112123909	15
CLDN8	Hepatocyte	0.0	6
CLDN8	Myeloid	0.0001597954618088	14
CLDN8	Plasma	0.0	1
CLDN8	Stromal	0.0	10
CLDN8	T-NK-ILC	0.0	11
CLDN9	B	0.0	1
CLDN9	Endothelial	0.0	8
CLDN9	Epithelial	0.006279365629505	15
CLDN9	Hepatocyte	0.0062409812409812	6
CLDN9	Myeloid	0.0	14
CLDN9	Plasma	0.0	1
CLDN9	Stromal	0.0	10
CLDN9	T-NK-ILC	0.0014903129657228	11
CRB3	B	0.0	1
CRB3	Endothelial	0.0162783081874827	8
CRB3	Epithelial	0.0772026966127845	15
CRB3	Hepatocyte	0.0259018759018758	6
CRB3	Myeloid	0.0099153160842938	14
CRB3	Plasma	0.0	1
CRB3	Stromal	0.0161686913708972	10
CRB3	T-NK-ILC	0.003912782781594	11
F11R	B	0.0517241379310344	1
F11R	Endothelial	0.2628250464807045	8
F11R	Epithelial	0.3667048179036533	15
F11R	Hepatocyte	0.2593555991811805	6
F11R	Myeloid	0.124578371408073	14
F11R	Plasma	0.0357142857142857	1
F11R	Stromal	0.0699121923680747	10
F11R	T-NK-ILC	0.0272956304294322	11
PALS1	B	0.0517241379310344	1
PALS1	Endothelial	0.2550478208859281	8
PALS1	Epithelial	0.3221781742726923	15
PALS1	Hepatocyte	0.1894040068458672	6
PALS1	Myeloid	0.1707309053940245	14
PALS1	Plasma	0.0714285714285714	1
PALS1	Stromal	0.1845363378561907	10
PALS1	T-NK-ILC	0.0463632808899667	11
PARD3	B	0.0344827586206896	1
PARD3	Endothelial	0.4183187483128672	8
PARD3	Epithelial	0.8104227903727199	15
PARD3	Hepatocyte	0.8814784053156147	6
PARD3	Myeloid	0.0631931710797761	14
PARD3	Plasma	0.0714285714285714	1
PARD3	Stromal	0.7900635597400304	10
PARD3	T-NK-ILC	0.0427275356980499	11
PARD6A	B	0.0	1
PARD6A	Endothelial	0.0071486928104575	8
PARD6A	Epithelial	0.0103830951909896	15
PARD6A	Hepatocyte	0.0067099567099567	6
PARD6A	Myeloid	0.0028564884124522	14
PARD6A	Plasma	0.0	1
PARD6A	Stromal	0.0	10
PARD6A	T-NK-ILC	0.0031246166334652	11
PARD6B	B	0.0	1
PARD6B	Endothelial	0.03628246568905	8
PARD6B	Epithelial	0.3589700862892756	15
PARD6B	Hepatocyte	0.157674754186382	6
PARD6B	Myeloid	0.0221660041547271	14
PARD6B	Plasma	0.0357142857142857	1
PARD6B	Stromal	0.0425375833721421	10
PARD6B	T-NK-ILC	0.0275942835763949	11
PARD6G	B	0.0	1
PARD6G	Endothelial	0.0818410187191116	8
PARD6G	Epithelial	0.0164967895882607	15
PARD6G	Hepatocyte	0.01876489143931	6
PARD6G	Myeloid	0.0042304419853054	14
PARD6G	Plasma	0.0	1
PARD6G	Stromal	0.0791818832296773	10
PARD6G	T-NK-ILC	0.0467917067481967	11
PATJ	B	0.1206896551724138	1
PATJ	Endothelial	0.1683092365597667	8
PATJ	Epithelial	0.8601793749620509	15
PATJ	Hepatocyte	0.679941021510789	6
PATJ	Myeloid	0.0879355166065423	14
PATJ	Plasma	0.1071428571428571	1
PATJ	Stromal	0.2156156853473029	10
PATJ	T-NK-ILC	0.3407069745104551	11
PRKCI	B	0.0	1
PRKCI	Endothelial	0.2325762533434213	8
PRKCI	Epithelial	0.3968698365181362	15
PRKCI	Hepatocyte	0.2545773348098929	6
PRKCI	Myeloid	0.1345720124894154	14
PRKCI	Plasma	0.1428571428571428	1
PRKCI	Stromal	0.2637553662811015	10
PRKCI	T-NK-ILC	0.0861778214114823	11
