polarity_gene	claudin_gene	squared_distance	delta_z_log_mean	delta_z_logit_detection
CRB3	CLDN16	0.0260918942983612	0.083766400958892	0.1381125786043957
PALS1	CLDN12	0.0233866176527505	0.0954035637414767	0.1195189427587801
PARD3	CLDN4	0.211156093504887	0.2027107647990729	0.4123886993353018
PARD6A	CLDN9	0.0661562554714424	0.1779691814506129	0.1856965964288016
PARD6B	CLDN1	0.0046917700234832	0.0246975925305157	0.0638889579401628
PARD6G	CLDN11	0.0049492044216607	-0.0607360983044411	-0.035501137790415
PRKCI	CLDN7	0.0322914905288753	-0.125259019449719	-0.1288474624327941
