study	scoring	model	gene	n_patients	estimate	variance	low	high	p_signflip	n_positive	rho
Giguelay_2022_Theranostics	fixed_background	common	CLDN16	4	0.0046756193016622	0.0003418740017823	-0.0280058685069932	0.0370988061632174	0.625	3.0	0.004675585230074165
Giguelay_2022_Theranostics	fixed_background	common	CLDN17	0	NA	NA	NA	NA	NA	NA	NA
Giguelay_2022_Theranostics	fixed_background	common	CLDN18	1	-0.05203101087663	NA	NA	NA	NA	0.0	-0.051984108429426114
Giguelay_2022_Theranostics	fixed_background	common	CLDN19	3	-0.0287632997063398	0.0004028610868919	-0.0661047429328515	0.0026665646679603	0.5	1.0	-0.02875537010839595
Giguelay_2022_Theranostics	fixed_background	common	CLDN2	4	-0.0733388096663593	0.0002511498963965	-0.0959228593429632	-0.0453330969697821	0.125	0.0	-0.07320760569278636
Giguelay_2022_Theranostics	fixed_background	common	CLDN20	1	0.0615615646205012	NA	NA	NA	NA	1.0	0.06148391312169113
Giguelay_2022_Theranostics	fixed_background	common	CLDN22	0	NA	NA	NA	NA	NA	NA	NA
Giguelay_2022_Theranostics	fixed_background	common	CLDN23	4	0.062349469199566	0.0014557318370892	0.0192357414079825	0.1370772180412687	0.125	4.0	0.06226880102237283
Giguelay_2022_Theranostics	fixed_background	common	CLDN3	4	0.2134848225280899	0.0014782762543398	0.1521901737772852	0.2747794712788945	0.125	4.0	0.21029963193868076
Giguelay_2022_Theranostics	fixed_background	common	CLDN4	4	0.1773188294521541	0.0021423037043984	0.0848644955713249	0.2333768457983445	0.125	4.0	0.17548349104980007
Giguelay_2022_Theranostics	fixed_background	common	CLDN5	2	-0.0562930018542016	0.0027053532483025	-0.1083060122295159	-0.0042799914788874	0.5	0.0	-0.05623361479330659
Giguelay_2022_Theranostics	fixed_background	common	CLDN6	2	0.0117243850038667	0.0008688245223259	-0.0177514444556406	0.0412002144633741	1.0	1.0	0.011723847817378437
Giguelay_2022_Theranostics	fixed_background	common	CLDN7	4	0.2048517968527874	0.0004976155630835	0.1669640547669776	0.2378588267336983	0.125	4.0	0.2020336081004533
Giguelay_2022_Theranostics	fixed_background	common	CLDN8	2	-0.0410148035518118	0.0009369082836618	-0.0716237611240958	-0.0104058459795277	0.5	0.0	-0.04099182045625969
Giguelay_2022_Theranostics	fixed_background	common	CLDN9	4	0.0258451361093405	0.0005203733342573	-0.0144534059206371	0.0583665177019928	0.375	3.0	0.025839383045495677
Giguelay_2022_Theranostics	fixed_background	common	CRB3	4	0.0907706094394328	0.0007406017750764	0.0437555983191433	0.1377856205597224	0.125	4.0	0.09052213278265331
Giguelay_2022_Theranostics	fixed_background	common	F11R	4	0.093206323496429	0.0007768687853203	0.0486019141057007	0.1369770234958366	0.125	4.0	0.0929373506757857
Giguelay_2022_Theranostics	fixed_background	common	PALS1	4	0.0363872592151325	0.0003144357268217	0.0139403312763818	0.0699173340434743	0.125	4.0	0.036371208409583994
Giguelay_2022_Theranostics	fixed_background	common	PARD3	4	0.0037649918915736	0.000462296247174	-0.0294239883554078	0.0385271172032652	0.875	2.0	0.0037649741018820322
Giguelay_2022_Theranostics	fixed_background	common	PARD6A	4	-0.0068058877540486	0.0005147419997003	-0.0371252486039824	0.0356691767347495	0.875	1.0	-0.00680578267284334
Giguelay_2022_Theranostics	fixed_background	common	PARD6B	4	0.0384227595533033	0.0003369597219631	0.0093866121132284	0.0674589069933783	0.125	4.0	0.03840386276399882
Giguelay_2022_Theranostics	fixed_background	common	PARD6G	4	-0.005678454297946	0.0002819568359613	-0.0390496990347005	0.0204954663587353	1.0	3.0	-0.005678393265110352
Giguelay_2022_Theranostics	fixed_background	common	PATJ	4	0.0057939427593418	0.0009225422178989	-0.0433283546721026	0.0549162401907863	0.875	2.0	0.005793877926431884
Giguelay_2022_Theranostics	fixed_background	common	PRKCI	4	0.0288640235077268	0.0002720137313578	0.0015250555203624	0.0562029914950913	0.125	4.0	0.02885601033233167
Liu_2024_Cancer_Res	fixed_background	common	CLDN1	12	0.0598346820684647	0.0002037224287547	0.0324613330505624	0.0861243740036061	0.0029296875	11.0	0.05976337768625358
Liu_2024_Cancer_Res	fixed_background	common	CLDN10	12	-0.0519822421094713	0.0006323966239613	-0.1045853619733457	-0.0119415469800799	0.025390625	1.0	-0.051935471329158586
