cell_id	Sample	Growth pattern	Tumor	Tumor front	Region	Clusters	x	y	display_hgp	display_class	is_tumour	display_class_new	in_display_window
384747	REP-P18-S24	RHGP	False	False	Stroma	CAF1	406.75	13179.875	rHGP	Non-tumour context	False	Other tissue	True
384748	REP-P18-S24	RHGP	False	False	Stroma	CAF2	9598.536	8039.0	rHGP	Non-tumour context	False	Other tissue	True
384751	REP-P18-S24	RHGP	False	False	Portal tissue	CAF1	9982.8	13947.533	rHGP	Non-tumour context	False	Other tissue	True
384753	REP-P18-S24	RHGP	True	False	Tumor	CAF1	6412.45	11779.7	rHGP	Tumour-region context	True	Other tissue	True
384754	REP-P18-S24	RHGP	True	False	Tumor	CAF2	4955.2666	16148.2	rHGP	Tumour-region context	True	Other tissue	True
384755	REP-P18-S24	RHGP	False	False	Portal tissue	aHSC1	9912.6875	21324.188	rHGP	Non-tumour context	False	Other tissue	False
384759	REP-P18-S24	RHGP	False	False	Liver	aHSC1	10470.8	14002.9	rHGP	Non-tumour context	False	Other tissue	True
384763	REP-P18-S24	RHGP	True	False	Tumor	CAF2	7793.4688	9007.625	rHGP	Tumour-region context	True	Other tissue	True
384764	REP-P18-S24	RHGP	True	False	Tumor	CAF1	4449.067	4739.0	rHGP	Tumour-region context	True	Other tissue	False
384769	REP-P18-S24	RHGP	True	False	Tumor	CAF2	7750.1	13692.3	rHGP	Tumour-region context	True	Other tissue	True
384770	REP-P18-S24	RHGP	True	False	Tumor	CAF2	7260.8887	14190.889	rHGP	Tumour-region context	True	Other tissue	True
384771	REP-P18-S24	RHGP	False	False	Stroma	CAF1	6658.5264	5268.6313	rHGP	Non-tumour context	False	Other tissue	False
384774	REP-P18-S24	RHGP	True	False	Tumor	CAF2	11402.4	5360.4	rHGP	Tumour-region context	True	Other tissue	False
384775	REP-P18-S24	RHGP	False	False	Stroma	CAF3	5128.1816	19255.182	rHGP	Non-tumour context	False	Other tissue	True
384779	REP-P18-S24	RHGP	True	False	Tumor	CAF2	9338.454	3954.182	rHGP	Tumour-region context	True	Other tissue	False
384781	REP-P18-S24	RHGP	False	False	Stroma	MΦ	8373.5	13866.583	rHGP	Non-tumour context	False	Other tissue	True
384782	REP-P18-S24	RHGP	False	False	Stroma	CAF2	7771.625	14552.9375	rHGP	Non-tumour context	False	Other tissue	True
384784	REP-P18-S24	RHGP	False	False	Stroma	CAF1	1032.4	23725.0	rHGP	Non-tumour context	False	Other tissue	False
384785	REP-P18-S24	RHGP	True	False	Tumor	CAF2	6869.1055	1034.4736	rHGP	Tumour-region context	True	Other tissue	False
384786	REP-P18-S24	RHGP	True	False	Tumor	CAF1	7232.0586	9555.823	rHGP	Tumour-region context	True	Other tissue	True
384791	REP-P18-S24	RHGP	False	False	Liver	MΦ	11835.0	24114.4	rHGP	Non-tumour context	False	Other tissue	False
384792	REP-P18-S24	RHGP	False	False	Liver	aHSC1	11386.125	25959.5	rHGP	Non-tumour context	False	Other tissue	False
384795	REP-P18-S24	RHGP	True	False	Tumor	CAF1	6522.579	11806.579	rHGP	Tumour-region context	True	Other tissue	True
384796	REP-P18-S24	RHGP	False	False	Portal tissue	aHSC1	8697.125	23047.594	rHGP	Non-tumour context	False	Other tissue	False
384799	REP-P18-S24	RHGP	False	False	Portal tissue	aHSC1	10051.8	15404.0	rHGP	Non-tumour context	False	Other tissue	True
384802	REP-P18-S24	RHGP	False	False	Stroma	CAF1	7087.7856	10060.536	rHGP	Non-tumour context	False	Other tissue	True
384806	REP-P18-S24	RHGP	False	False	Stroma	MΦ	8202.5	6101.1	rHGP	Non-tumour context	False	Other tissue	False
384807	REP-P18-S24	RHGP	True	True	Tumor	CAF2	6729.05	14659.7	rHGP	Tumour-region context	True	Other tissue	True
384809	REP-P18-S24	RHGP	False	False	Liver	MΦ	10227.75	25348.875	rHGP	Non-tumour context	False	Other tissue	False
384810	REP-P18-S24	RHGP	False	False	Stroma	CAF2	9517.421	14391.053	rHGP	Non-tumour context	False	Other tissue	True
384812	REP-P18-S24	RHGP	False	False	Stroma	CAF2	8338.56	7252.08	rHGP	Non-tumour context	False	Other tissue	False
384814	REP-P18-S24	RHGP	False	False	Liver	MΦ	3268.5334	25280.732	rHGP	Non-tumour context	False	Other tissue	False
384817	REP-P18-S24	RHGP	False	False	Stroma	CAF2	3515.8667	24623.467	rHGP	Non-tumour context	False	Other tissue	False
384819	REP-P18-S24	RHGP	True	False	Tumor	CAF1	7120.436	9690.333	rHGP	Tumour-region context	True	Other tissue	True
384820	REP-P18-S24	RHGP	False	False	Stroma	NC3	5166.6665	19646.959	rHGP	Non-tumour context	False	Other tissue	True
384821	REP-P18-S24	RHGP	True	False	Tumor	CAF2	3512.2	1630.8	rHGP	Tumour-region context	True	Other tissue	False
384822	REP-P18-S24	RHGP	False	False	Portal tissue	MΦ	9744.913	19760.0	rHGP	Non-tumour context	False	Other tissue	True
384823	REP-P18-S24	RHGP	True	False	Tumor	MΦ	2939.7896	17412.736	rHGP	Tumour-region context	True	Other tissue	True
384827	REP-P18-S24	RHGP	True	False	Tumor	MΦ	6288.533	9070.6	rHGP	Tumour-region context	True	Other tissue	True
384828	REP-P18-S24	RHGP	True	False	Tumor	CAF2	4557.7085	14173.375	rHGP	Tumour-region context	True	Other tissue	True
384830	REP-P18-S24	RHGP	False	False	Stroma	CAF2	9027.385	7754.205	rHGP	Non-tumour context	False	Other tissue	False
384831	REP-P18-S24	RHGP	False	False	Stroma	CAF2	4304.7646	11089.177	rHGP	Non-tumour context	False	Other tissue	True
384832	REP-P18-S24	RHGP	False	False	Stroma	MΦ	5393.364	18162.545	rHGP	Non-tumour context	False	Other tissue	True
384833	REP-P18-S24	RHGP	True	False	Tumor	CAF1	1328.9231	18728.0	rHGP	Tumour-region context	True	Other tissue	True
384834	REP-P18-S24	RHGP	False	False	Stroma	CAF1	7943.0	2635.25	rHGP	Non-tumour context	False	Other tissue	False
384837	REP-P18-S24	RHGP	False	False	Liver	CAF2	11015.75	27162.5	rHGP	Non-tumour context	False	Other tissue	False
384839	REP-P18-S24	RHGP	False	False	Stroma	CAF2	3848.0557	10211.333	rHGP	Non-tumour context	False	Other tissue	True
384840	REP-P18-S24	RHGP	False	False	Stroma	CAF2	2751.56	985.56	rHGP	Non-tumour context	False	Other tissue	False
384841	REP-P18-S24	RHGP	True	False	Tumor	CAF2	11170.0	5630.0	rHGP	Tumour-region context	True	Other tissue	False
384842	REP-P18-S24	RHGP	False	False	Stroma	CAF2	4145.5	1145.5	rHGP	Non-tumour context	False	Other tissue	False
384845	REP-P18-S24	RHGP	False	False	Stroma	aHSC1	13458.2	9911.467	rHGP	Non-tumour context	False	Other tissue	True
384846	REP-P18-S24	RHGP	True	False	Tumor	CAF2	6259.3477	12695.174	rHGP	Tumour-region context	True	Other tissue	True
384847	REP-P18-S24	RHGP	False	False	Stroma	CAF2	4977.6	24661.72	rHGP	Non-tumour context	False	Other tissue	False
384848	REP-P18-S24	RHGP	True	False	Tumor	CAF1	2291.8667	11974.8	rHGP	Tumour-region context	True	Other tissue	True
384852	REP-P18-S24	RHGP	True	False	Tumor	CAF2	3593.75	13163.5	rHGP	Tumour-region context	True	Other tissue	True
384856	REP-P18-S24	RHGP	True	False	Tumor	CAF2	1415.0526	17992.37	rHGP	Tumour-region context	True	Other tissue	True
384857	REP-P18-S24	RHGP	False	False	Portal tissue	aHSC1	8117.84	24004.52	rHGP	Non-tumour context	False	Other tissue	False
384859	REP-P18-S24	RHGP	False	False	Stroma	MΦ	5329.1113	24940.0	rHGP	Non-tumour context	False	Other tissue	False
384860	REP-P18-S24	RHGP	False	False	Stroma	NC1	3544.1	16121.0	rHGP	Non-tumour context	False	Other tissue	True
