gene	column	status	value
CLDN14	Bulk_rHGP_minus_dHGP_logFC	abundance_ineligible	
CLDN14	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	3.58762037676594
CLDN14	Spatial_rHGP_minus_dHGP_near_logFC	estimated	3.76153569696845
CLDN14	Liu_macro_minus_micro_logFC	estimated	-0.716322052002405
CLDN14	Same_section_macro_minus_micro_logFC	estimated	-0.857955921338491
CLDN15	Ogden_HRC_rho	estimated	0.0026021439331522
CLDN15	Spatial_HRC_rho	estimated	0.0369545368706881
CLDN15	Bulk_rHGP_minus_dHGP_logFC	estimated	0.649486583232117
CLDN15	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	0.57476570837074
CLDN15	Spatial_rHGP_minus_dHGP_near_logFC	estimated	0.518160760883967
CLDN15	Liu_macro_minus_micro_logFC	estimated	-0.0767556198028153
CLDN15	Same_section_macro_minus_micro_logFC	estimated	-0.208397900454877
CLDN16	Ogden_HRC_rho	estimated	0.0065583525969711
CLDN16	Spatial_HRC_rho	estimated	-0.0243530644379805
CLDN16	Bulk_rHGP_minus_dHGP_logFC	estimated	0.0144004396253069
CLDN16	Spatial_rHGP_minus_dHGP_tumour_logFC	estimated	-0.143172660736568
CLDN16	Spatial_rHGP_minus_dHGP_near_logFC	estimated	0.224564344689192
CLDN16	Liu_macro_minus_micro_logFC	estimated	-0.475605421764864
CLDN16	Same_section_macro_minus_micro_logFC	estimated	-0.509637423854867
CLDN17	Ogden_HRC_rho	insufficient_detection_or_variation	
CLDN17	Spatial_HRC_rho	estimated	-0.0035640997914295
CLDN17	Bulk_rHGP_minus_dHGP_logFC	not_measured	
CLDN17	Spatial_rHGP_minus_dHGP_tumour_logFC	abundance_ineligible	
CLDN17	Spatial_rHGP_minus_dHGP_near_logFC	abundance_ineligible	
CLDN17	Liu_macro_minus_micro_logFC	abundance_ineligible	
CLDN17	Same_section_macro_minus_micro_logFC	abundance_ineligible	
CLDN18	Ogden_HRC_rho	estimated	0.0178144741150687
CLDN18	Spatial_HRC_rho	estimated	0.0043499834125469
CLDN18	Bulk_rHGP_minus_dHGP_logFC	abundance_ineligible	
CLDN18	Spatial_rHGP_minus_dHGP_tumour_logFC	abundance_ineligible	
CLDN18	Spatial_rHGP_minus_dHGP_near_logFC	abundance_ineligible	
CLDN18	Liu_macro_minus_micro_logFC	abundance_ineligible	
CLDN18	Same_section_macro_minus_micro_logFC	abundance_ineligible	
CLDN19	Ogden_HRC_rho	insufficient_detection_or_variation	
