dataset	normalization	model	gene	logFC	logCPM	F	PValue	q_genome	q_junction	approximate_QL_Wald_low	approximate_QL_Wald_high	approximate_QL_SE	count_eligible
all_pairs	TMM	source_adjusted	CLDN2	1.1469368895421	6.12032425335693	1.90536658892466	0.186353226482942	0.721820064303736	0.519159256013197	-0.556985629780537	2.85085940886474	0.804148684428211	True
all_pairs	TMM	source_adjusted	CLDN3	-0.263378967050451	8.60303288664589	0.566595134486267	0.461979948743327	0.869543245223492	0.916320770327436	-1.03582316103772	0.509065226936813	0.36593307080435	True
all_pairs	TMM	source_adjusted	CLDN4	-0.116559215087702	10.040107484789	0.12485148415199	0.728203970707228	0.951373127796018	0.919836594577551	-0.849287908340236	0.616169478164832	0.347115827983231	True
all_pairs	TMM	source_adjusted	CLDN5	0.453529663120546	4.03351651872	0.617338430436881	0.442628738845692	0.863740802886385	0.916320770327436	-0.807364031206202	1.71442335744729	0.598584723163989	True
all_pairs	TMM	source_adjusted	CLDN7	-0.187141491086961	8.76530975235008	0.338597638813957	0.568328341698317	0.905323799882728	0.919312813434036	-0.897568718730047	0.523285736556125	0.336550090338247	True
all_pairs	TMM	source_adjusted	CRB3	0.188349795666062	5.96399710092678	0.293684185746262	0.594920521375865	0.917455756336225	0.919312813434036	-0.570294453634641	0.946994044966765	0.359504948563723	True
all_pairs	TMM	unadjusted	CLDN2	0.828735678694252	6.10314346300574	11.3204242377788	0.003173299255089	0.0348746561538969	0.0132687098056279	0.2643456795408	1.39312567784771	0.27008260575707	True
all_pairs	TMM	unadjusted	CLDN3	0.424281824512207	8.59576900494393	5.6638085253293	0.0285992957130122	0.130071884120336	0.0762647885680324	0.003106367780075	0.845457281244339	0.200450948111842	True
all_pairs	TMM	unadjusted	CLDN4	0.259817027613646	10.035604714911	2.4080985064966	0.138120993247292	0.327231140974624	0.220993589195667	-0.139114417602531	0.658748472829824	0.189878130500134	True
all_pairs	TMM	unadjusted	CLDN5	-1.00863569052773	4.11543898397585	10.6365378580993	0.0038700403599747	0.0394183002123659	0.0132687098056279	-1.69923303773295	-0.318038343322524	0.331281967549439	True
all_pairs	TMM	unadjusted	CLDN7	0.549291052013112	8.75737611747254	10.9831855376304	0.0038621505959959	0.0393659176324449	0.0132687098056279	0.157251547714247	0.941330556311977	0.18659442095205	True
all_pairs	TMM	unadjusted	CRB3	0.496328769031662	5.94986509549084	12.1763166253821	0.0026109993457708	0.030727532488396	0.0132687098056279	0.161014254062545	0.83164328400078	0.159626148650069	True
