gene	Bulk_rHGP_minus_dHGP_logFC	Spatial_rHGP_minus_dHGP_tumour_logFC	Spatial_rHGP_minus_dHGP_near_logFC
CLDN1	0.480416823156513	1.18675768362061	1.167939711074
CLDN2	0.812663370095509	3.07366168314467	3.07008153530453
CLDN3	-0.421816094939663	0.387169432799378	0.308468107762706
CLDN4	-0.218487808048476	0.273538198579311	0.192749827088591
CLDN5	0.751128685886128	1.71782562290219	1.79925711484277
CLDN6	NA	NA	NA
CLDN7	0.0198585004575602	0.234141327248804	0.132961325408767
CLDN8	NA	NA	NA
CLDN9	NA	2.32885852618031	2.37386928187231
CLDN10	-0.647237756368533	NA	NA
CLDN11	1.74376352526156	2.31020807954199	2.50590965437407
CLDN12	0.0349973919746762	0.230823708727275	0.146039472815723
CLDN14	NA	3.58762037676594	3.76153569696845
CLDN15	0.649486583232117	0.57476570837074	0.518160760883967
CLDN16	0.0144004396253069	-0.143172660736568	0.224564344689192
CLDN17	NA	NA	NA
CLDN18	NA	NA	NA
CLDN19	NA	NA	NA
CLDN20	NA	NA	NA
CLDN22	0.705798111528118	NA	NA
CLDN23	-0.0440417111781485	-0.0230948378653263	0.0008129959427106
CRB3	-0.0523968500094243	0.186917267437657	-0.0166128863748753
PALS1	0.0197088453392176	-0.276055543836007	-0.291751360367304
PARD3	0.261895201555791	-0.406730274673594	-0.370679907899666
PARD6A	-0.449277825614994	1.37852587894543	1.47449438798827
PARD6B	0.205663883231991	0.380694609278358	0.205044476687831
PARD6G	0.873324978197244	-0.970563312602404	-0.678461457773561
PATJ	NA	-0.577783958241215	-0.535570370843549
PRKCI	-0.400633936954592	0.485802530750085	0.438906335364519
F11R	-0.0841637598152563	0.248102349746356	0.150413521041979
