rival	method	adjustment	patient	state	n_cells	n_repair_genes	n_junction_genes	rho
WHITE_RSC	matched	technical_plus_rival	CRC10	REC	401	79	24	0.4170705698440466
WHITE_RSC	matched	technical_only	CRC10	UPR	61	79	24	0.2849814912744579
WHITE_RSC	matched	technical_plus_rival	CRC10	UPR	61	79	24	0.3010047593865679
WHITE_RSC	matched	technical_only	CRC11	Hypoxia	119	79	24	0.2731519726534682
WHITE_RSC	matched	technical_plus_rival	CRC11	Hypoxia	119	79	24	0.2083891183592081
WHITE_RSC	matched	technical_only	CRC11	REC	13	79	24	0.0989010989010989
WHITE_RSC	matched	technical_plus_rival	CRC11	REC	13	79	24	0.0989010989010989
WHITE_RSC	matched	technical_only	CRC11	UPR	35	79	24	0.2899159663865546
WHITE_RSC	matched	technical_plus_rival	CRC11	UPR	35	79	24	0.2661064425770308
WHITE_RSC	matched	technical_only	CRC11	iREC	15	79	24	0.2857142857142856
WHITE_RSC	matched	technical_plus_rival	CRC11	iREC	15	79	24	-0.0285714285714285
WHITE_RSC	matched	technical_only	CRC12	Hypoxia	78	79	24	0.1524677853791777
WHITE_RSC	matched	technical_plus_rival	CRC12	Hypoxia	78	79	24	0.1762920623680117
WHITE_RSC	matched	technical_only	CRC12	REC	55	79	24	0.2794372294372295
WHITE_RSC	matched	technical_plus_rival	CRC12	REC	55	79	24	0.2064213564213564
WHITE_RSC	matched	technical_only	CRC14	Hypoxia	285	79	24	0.1975848465841052
WHITE_RSC	matched	technical_plus_rival	CRC14	Hypoxia	285	79	24	0.1245164768515398
WHITE_RSC	matched	technical_only	CRC14	REC	40	79	24	0.2814258911819888
WHITE_RSC	matched	technical_plus_rival	CRC14	REC	40	79	24	0.1863039399624765
WHITE_RSC	matched	technical_only	CRC14	UPR	30	79	24	0.1034482758620689
WHITE_RSC	matched	technical_plus_rival	CRC14	UPR	30	79	24	0.0665183537263626
WHITE_RSC	matched	technical_only	CRC14	iREC	30	79	24	0.3993325917686318
WHITE_RSC	matched	technical_plus_rival	CRC14	iREC	30	79	24	0.2355951056729699
WHITE_RSC	matched	technical_only	CRC15	Hypoxia	149	79	24	0.1042517685470705
WHITE_RSC	matched	technical_plus_rival	CRC15	Hypoxia	149	79	24	0.0198258661345909
WHITE_RSC	matched	technical_only	CRC15	REC	41	79	24	0.4878048780487805
WHITE_RSC	matched	technical_plus_rival	CRC15	REC	41	79	24	0.3233449477351917
WHITE_RSC	matched	technical_only	CRC15	UPR	11	79	24	-0.6181818181818182
WHITE_RSC	matched	technical_plus_rival	CRC15	UPR	11	79	24	-0.6545454545454547
WHITE_RSC	gene_z	technical_only	CRC01	Hypoxia	100	79	24	0.1427302730273027
WHITE_RSC	gene_z	technical_plus_rival	CRC01	Hypoxia	100	79	24	0.1336333633363336
WHITE_RSC	gene_z	technical_only	CRC01	REC	51	79	24	0.2447963800904977
WHITE_RSC	gene_z	technical_plus_rival	CRC01	REC	51	79	24	0.1744796380090497
WHITE_RSC	gene_z	technical_only	CRC01	iREC	35	79	24	0.2896358543417367
WHITE_RSC	gene_z	technical_plus_rival	CRC01	iREC	35	79	24	0.2988795518207283
WHITE_RSC	gene_z	technical_only	CRC02	Hypoxia	160	79	24	0.2415709598031173
WHITE_RSC	gene_z	technical_plus_rival	CRC02	Hypoxia	160	79	24	0.0667789757412399
WHITE_RSC	gene_z	technical_only	CRC02	REC	13	79	24	0.3791208791208791
WHITE_RSC	gene_z	technical_plus_rival	CRC02	REC	13	79	24	0.4175824175824176
WHITE_RSC	gene_z	technical_only	CRC02	UPR	33	79	24	-0.1644385026737968
WHITE_RSC	gene_z	technical_plus_rival	CRC02	UPR	33	79	24	-0.1921791443850267
WHITE_RSC	gene_z	technical_only	CRC02	iREC	12	79	24	0.2027972027972028
WHITE_RSC	gene_z	technical_plus_rival	CRC02	iREC	12	79	24	-0.0629370629370629
WHITE_RSC	gene_z	technical_only	CRC03	Hypoxia	127	79	24	0.24297548743907
WHITE_RSC	gene_z	technical_plus_rival	CRC03	Hypoxia	127	79	24	0.1904293213348331
WHITE_RSC	gene_z	technical_only	CRC03	REC	14	79	24	0.2791208791208791
WHITE_RSC	gene_z	technical_plus_rival	CRC03	REC	14	79	24	0.2043956043956044
WHITE_RSC	gene_z	technical_only	CRC03	iREC	20	79	24	-0.112781954887218
WHITE_RSC	gene_z	technical_plus_rival	CRC03	iREC	20	79	24	-0.1759398496240601
WHITE_RSC	gene_z	technical_only	CRC04	Hypoxia	329	79	24	0.2592331125024431
WHITE_RSC	gene_z	technical_plus_rival	CRC04	Hypoxia	329	79	24	0.2427395386139547
WHITE_RSC	gene_z	technical_only	CRC04	REC	80	79	24	0.3871542428504454
WHITE_RSC	gene_z	technical_plus_rival	CRC04	REC	80	79	24	0.2930379746835443
WHITE_RSC	gene_z	technical_only	CRC04	UPR	257	79	24	0.1836655053841281
WHITE_RSC	gene_z	technical_plus_rival	CRC04	UPR	257	79	24	0.1736607546828341
WHITE_RSC	gene_z	technical_only	CRC04	iREC	25	79	24	-0.2876923076923076
WHITE_RSC	gene_z	technical_plus_rival	CRC04	iREC	25	79	24	-0.3984615384615384
WHITE_RSC	gene_z	technical_only	CRC05	Hypoxia	104	79	24	0.3565453963512216
WHITE_RSC	gene_z	technical_plus_rival	CRC05	Hypoxia	104	79	24	0.2462391976955084
WHITE_RSC	gene_z	technical_only	CRC05	REC	96	79	24	0.3542186652197504
WHITE_RSC	gene_z	technical_plus_rival	CRC05	REC	96	79	24	0.1751899077590884
WHITE_RSC	gene_z	technical_only	CRC05	UPR	106	79	24	0.0221427311887548
WHITE_RSC	gene_z	technical_plus_rival	CRC05	UPR	106	79	24	-0.0326724941431342
WHITE_RSC	gene_z	technical_only	CRC06	Hypoxia	110	79	24	0.3357978495593174
WHITE_RSC	gene_z	technical_plus_rival	CRC06	Hypoxia	110	79	24	0.1832833667696053
WHITE_RSC	gene_z	technical_only	CRC06	REC	94	79	24	0.1423183903478669
WHITE_RSC	gene_z	technical_plus_rival	CRC06	REC	94	79	24	0.1944659177112307
WHITE_RSC	gene_z	technical_only	CRC06	UPR	73	79	24	0.2556769097864989
WHITE_RSC	gene_z	technical_plus_rival	CRC06	UPR	73	79	24	0.1985992842157226
WHITE_RSC	gene_z	technical_only	CRC06	iREC	232	79	24	0.1856487452166007
WHITE_RSC	gene_z	technical_plus_rival	CRC06	iREC	232	79	24	0.0928445536999628
WHITE_RSC	gene_z	technical_only	CRC07	Hypoxia	73	79	24	0.3086819696408737
WHITE_RSC	gene_z	technical_plus_rival	CRC07	Hypoxia	73	79	24	0.3684129334814266
WHITE_RSC	gene_z	technical_only	CRC07	UPR	60	79	24	-0.0312308974715198
WHITE_RSC	gene_z	technical_plus_rival	CRC07	UPR	60	79	24	-0.0579049736037788
WHITE_RSC	gene_z	technical_only	CRC08	Hypoxia	406	79	24	0.2273902204936688
WHITE_RSC	gene_z	technical_plus_rival	CRC08	Hypoxia	406	79	24	0.2091937885041333
WHITE_RSC	gene_z	technical_only	CRC08	REC	88	79	24	0.2895635940967208
WHITE_RSC	gene_z	technical_plus_rival	CRC08	REC	88	79	24	0.2067908844352083
WHITE_RSC	gene_z	technical_only	CRC08	UPR	33	79	24	0.4258021390374331
WHITE_RSC	gene_z	technical_plus_rival	CRC08	UPR	33	79	24	0.4107620320855615
WHITE_RSC	gene_z	technical_only	CRC08	iREC	62	79	24	0.3075973911510665
WHITE_RSC	gene_z	technical_plus_rival	CRC08	iREC	62	79	24	0.3164110699806099
WHITE_RSC	gene_z	technical_only	CRC09	Hypoxia	23	79	24	0.1887351778656126
WHITE_RSC	gene_z	technical_plus_rival	CRC09	Hypoxia	23	79	24	0.025691699604743
WHITE_RSC	gene_z	technical_only	CRC09	UPR	38	79	24	-0.056570740781267
WHITE_RSC	gene_z	technical_plus_rival	CRC09	UPR	38	79	24	-0.0230878651931283
WHITE_RSC	gene_z	technical_only	CRC09	iREC	22	79	24	0.5990965556182948
WHITE_RSC	gene_z	technical_plus_rival	CRC09	iREC	22	79	24	0.5223037831733485
WHITE_RSC	gene_z	technical_only	CRC10	Hypoxia	414	79	24	0.1911508757421517
WHITE_RSC	gene_z	technical_plus_rival	CRC10	Hypoxia	414	79	24	0.2083622414703556
WHITE_RSC	gene_z	technical_only	CRC10	REC	401	79	24	0.4200139576432054
WHITE_RSC	gene_z	technical_plus_rival	CRC10	REC	401	79	24	0.3318332899095544
WHITE_RSC	gene_z	technical_only	CRC10	UPR	61	79	24	0.1970386039132733
WHITE_RSC	gene_z	technical_plus_rival	CRC10	UPR	61	79	24	0.1909571655208883
WHITE_RSC	gene_z	technical_only	CRC11	Hypoxia	119	79	24	0.2048426150121065
WHITE_RSC	gene_z	technical_plus_rival	CRC11	Hypoxia	119	79	24	0.1563238854863979
WHITE_RSC	gene_z	technical_only	CRC11	REC	13	79	24	-0.1813186813186813
WHITE_RSC	gene_z	technical_plus_rival	CRC11	REC	13	79	24	-0.2527472527472527
WHITE_RSC	gene_z	technical_only	CRC11	UPR	35	79	24	0.2792717086834734
WHITE_RSC	gene_z	technical_plus_rival	CRC11	UPR	35	79	24	0.2540616246498599
WHITE_RSC	gene_z	technical_only	CRC11	iREC	15	79	24	0.0928571428571428
WHITE_RSC	gene_z	technical_plus_rival	CRC11	iREC	15	79	24	-0.4392857142857142
WHITE_RSC	gene_z	technical_only	CRC12	Hypoxia	78	79	24	0.1332970826641712
WHITE_RSC	gene_z	technical_plus_rival	CRC12	Hypoxia	78	79	24	0.1457150444492216
WHITE_RSC	gene_z	technical_only	CRC12	REC	55	79	24	0.0655844155844156
WHITE_RSC	gene_z	technical_plus_rival	CRC12	REC	55	79	24	0.0543290043290043
WHITE_RSC	gene_z	technical_only	CRC14	Hypoxia	285	79	24	0.1104884737204974
WHITE_RSC	gene_z	technical_plus_rival	CRC14	Hypoxia	285	79	24	0.0551032362744742
WHITE_RSC	gene_z	technical_only	CRC14	REC	40	79	24	-0.0202626641651031
WHITE_RSC	gene_z	technical_plus_rival	CRC14	REC	40	79	24	0.0388367729831144
WHITE_RSC	gene_z	technical_only	CRC14	UPR	30	79	24	-0.0264738598442714
WHITE_RSC	gene_z	technical_plus_rival	CRC14	UPR	30	79	24	-0.0318131256952169
WHITE_RSC	gene_z	technical_only	CRC14	iREC	30	79	24	0.0269187986651835
WHITE_RSC	gene_z	technical_plus_rival	CRC14	iREC	30	79	24	-0.1114571746384872
WHITE_RSC	gene_z	technical_only	CRC15	Hypoxia	149	79	24	-0.0298567023399238
WHITE_RSC	gene_z	technical_plus_rival	CRC15	Hypoxia	149	79	24	-0.0496499183747505
WHITE_RSC	gene_z	technical_only	CRC15	REC	41	79	24	0.2074912891986063
WHITE_RSC	gene_z	technical_plus_rival	CRC15	REC	41	79	24	0.1484320557491289
WHITE_RSC	gene_z	technical_only	CRC15	UPR	11	79	24	-0.5454545454545455
WHITE_RSC	gene_z	technical_plus_rival	CRC15	UPR	11	79	24	-0.5090909090909091
ICMS3_MINUS_ICMS2	matched	technical_only	CRC01	Hypoxia	100	78	24	0.2267146714671467
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC01	Hypoxia	100	78	24	0.2012361236123612
ICMS3_MINUS_ICMS2	matched	technical_only	CRC01	REC	51	78	24	0.1180090497737556
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC01	REC	51	78	24	0.0689592760180995
ICMS3_MINUS_ICMS2	matched	technical_only	CRC01	iREC	35	78	24	0.3218487394957983
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC01	iREC	35	78	24	0.3173669467787114
ICMS3_MINUS_ICMS2	matched	technical_only	CRC02	Hypoxia	160	78	24	0.3140982069612094
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC02	Hypoxia	160	78	24	0.331870385561936
ICMS3_MINUS_ICMS2	matched	technical_only	CRC02	REC	13	78	24	0.4285714285714285
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC02	REC	13	78	24	0.3791208791208791
ICMS3_MINUS_ICMS2	matched	technical_only	CRC02	UPR	33	78	24	0.0982620320855615
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC02	UPR	33	78	24	0.0905748663101604
ICMS3_MINUS_ICMS2	matched	technical_only	CRC02	iREC	12	78	24	0.0209790209790209
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC02	iREC	12	78	24	0.3006993006993007
ICMS3_MINUS_ICMS2	matched	technical_only	CRC03	Hypoxia	127	78	24	0.4078845613048369
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC03	Hypoxia	127	78	24	0.3607810742407198
ICMS3_MINUS_ICMS2	matched	technical_only	CRC03	REC	14	78	24	0.2791208791208791
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC03	REC	14	78	24	0.0417582417582417
ICMS3_MINUS_ICMS2	matched	technical_only	CRC03	iREC	20	78	24	-0.4210526315789473
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC03	iREC	20	78	24	-0.4300751879699248
ICMS3_MINUS_ICMS2	matched	technical_only	CRC04	Hypoxia	329	78	24	0.3678610180685946
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC04	Hypoxia	329	78	24	0.3636973560948651
ICMS3_MINUS_ICMS2	matched	technical_only	CRC04	REC	80	78	24	0.3782934833567745
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC04	REC	80	78	24	0.3585091420534459
ICMS3_MINUS_ICMS2	matched	technical_only	CRC04	UPR	257	78	24	0.1125605148855307
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC04	UPR	257	78	24	0.1109910867794769
ICMS3_MINUS_ICMS2	matched	technical_only	CRC04	iREC	25	78	24	-0.1784615384615384
ICMS3_MINUS_ICMS2	matched	technical_plus_rival	CRC04	iREC	25	78	24	-0.173076923076923
ICMS3_MINUS_ICMS2	matched	technical_only	CRC05	Hypoxia	104	78	24	0.3935772964899179
