scope	scoring	model	component	n	effect	low	high	p	n_positive	loo_min	loo_max	q_within_three_tests
All_epithelial	matched	conditional	Polarity_minus_Claudin_Fisher_z	14	0.0964586485302861	0.0626049346006575	0.12940649154575	0.0003662109375	1	-0.1049023668749477	-0.089130170589352	0.00054931640625
All_epithelial	raw	conditional	Polarity_minus_Claudin_Fisher_z	14	0.0771361360378522	0.0417348578965767	0.1125618792564119	0.0013427734375	2	-0.085873931067889	-0.06870884638202	0.0013427734375
REC	matched	conditional	Polarity_minus_Claudin_Fisher_z	9	0.1587095907677357	0.0180158744057834	0.3046515952975526	0.07421875	2	-0.1972941456643902	-0.1110302605499127	0.111328125
REC	raw	conditional	Polarity_minus_Claudin_Fisher_z	9	0.2463788679634443	0.1103998689625844	0.3824689805171294	0.015625	2	-0.2865973194545554	-0.2113548468101675	0.0234375
