component	hops	restriction	score	n_genes	endpoint	n	effect	low	high	p	n_positive	loo_min	loo_max	q
HRC	5	all_tumour	mean_logCPM	87	HGP_localization	6	-0.1441568335001377	-0.3587009065350897	0.1005653628243538	0.4	NA	-0.2674523924630539	-0.0359503361819911	0.9
Claudin	5	all_tumour	mean_logCPM	21	HGP_localization	6	-0.2648151790675335	-1.1083621864981452	0.3353371536474795	0.8	NA	-0.5653279776836694	0.1573949569064017	0.9
Polarity	5	all_tumour	mean_logCPM	8	HGP_localization	6	-0.0324054191483836	-0.19094884256855	0.1261380042717827	0.7	NA	-0.0952589053377008	0.036801515119133	0.9
Junction	5	all_tumour	mean_logCPM	30	HGP_localization	6	-0.1941150115821376	-0.8137971861071316	0.2452900067097414	0.9	NA	-0.4148328413503772	0.1167413963026593	0.9
