focal_cluster	n_EHGP	n_RHGP	EHGP_mean	RHGP_mean	mean_difference_RHGP_minus_EHGP	mean_difference_bootstrap_CI_low	mean_difference_bootstrap_CI_high	exact_mean_difference_permutation_p	exact_label_assignments	BH_FDR_across_four_clusters	p_label
NC1	7	8	0.158196053424078	0.544470602417957	0.386274548993879	0.255586485647923	0.517879351600229	0.0009324009324009	6435	0.0012432012432012	FDR 0.001
NC2	7	8	0.117692903928249	0.508137331820726	0.390444427892478	0.231967192699011	0.528101610534413	0.0015540015540015	6435	0.0015540015540015	FDR 0.002
NC3	7	8	0.187140289484379	0.59462493649793	0.407484647013552	0.277300163710511	0.527904936579278	0.0006216006216006	6435	0.0012432012432012	FDR 0.001
NCγ	7	8	0.140777878653356	0.640828467950178	0.500050589296823	0.351642653032665	0.647400902837337	0.0004662004662004	6435	0.0012432012432012	FDR 0.001
