qc_definition	endpoint_type	endpoint_id	declared_gene_count	measurable_variable_gene_count	n_treated_cells	n_vehicle_cells	mean_treated	mean_vehicle	mean_difference	median_treated	median_vehicle	median_difference	auc_treated_greater_vehicle
primary_qc	programme	REC_PROGRAM_TOP50	50	42	4433	3400	0.005377113287605278	-0.007010806824691887	0.012387920112297165	-0.016605663058777382	-0.03715613229362143	0.020550469234844045	0.5332608378338929
primary_qc	programme	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	25	4433	3400	-0.002359859111846493	0.003076839836122716	-0.0054366989479692086	-0.032274152373297255	-0.031706129401999336	-0.0005680229712979185	0.502261149666273
primary_qc	programme	CORE_HRC	100	92	4433	3400	-0.014897150356007758	0.019423255155347728	-0.034320405511355484	-0.03483496601337147	-0.011136638213868441	-0.02369832779950303	0.45244337256671224
primary_qc	programme	PARTIAL_EMT	71	63	4433	3400	-0.004720285067113491	0.0061544187360339795	-0.010874703803147472	-0.023420375804891338	-0.017476880864015464	-0.005943494940875874	0.48672453258316634
primary_qc	programme	HALLMARK_E2F_TARGETS	200	191	4433	3400	-0.002734844703927713	0.0035657548742680685	-0.006300599578195782	-0.02069739959420468	-0.030273647231367887	0.009576247637163207	0.5265983068165231
primary_qc	programme	HALLMARK_G2M_CHECKPOINT	200	190	4433	3400	-0.007745054193738114	0.010098183894365113	-0.017843238088103227	-0.0288894526170016	-0.024677725796061943	-0.0042117268209396555	0.4861948487944693
primary_qc	programme	ACTIN_TURNOVER	57	56	4433	3400	-0.01708155628805813	0.022271335007341724	-0.03935289129539986	-0.043601932744035954	-0.005716442704927233	-0.037885490039108724	0.4309427953450724
primary_qc	programme	JUNB_TIGHT_JUNCTION_TARGETS_5_POSTHOC	5	5	4433	3400	0.030262223998668746	-0.03945659970179025	0.069718823700459	0.012157932667327676	-0.04787553025981395	0.06003346292714162	0.5456139117049933
primary_qc	programme	REC_PROGRAM_TOP50_DISJOINT_JUNCTION	49	41	4433	3400	0.003748027823947431	-0.0048867668657521695	0.0086347946896996	-0.017421558601972725	-0.03406430895666407	0.016642750354691344	0.5259809450511538
primary_qc	programme	TIGHT_JUNCTION_DISJOINT_REC	29	24	4433	3400	-0.005465253962239144	0.00712572671017867	-0.012590980672417814	-0.0427200982760782	-0.032271985177064255	-0.010448113099013945	0.48767870649274825
primary_qc	named_gene	KLF4	1	1	4433	3400	0.6512022497876812	0.701490103100211	-0.05028785331252983	0.0	0.0	0.0	0.48717440055200967
primary_qc	named_gene	ELF3	1	1	4433	3400	0.34096293058379906	0.32359258492431175	0.017370345659487307	0.0	0.0	0.0	0.5004253858096362
primary_qc	named_gene	GRHL2	1	1	4433	3400	0.07353320632979755	0.11204949549977533	-0.03851628916997778	0.0	0.0	0.0	0.4879641989888669
primary_qc	named_gene	EPCAM	1	1	4433	3400	1.7019190240907316	1.5997425930804194	0.10217643101031215	2.33405124906741	2.0594805420760416	0.2745707069913683	0.5200788206101299
primary_qc	named_gene	ZEB1	1	1	4433	3400	0.006533993839896324	0.007419770899875118	-0.0008857770599787944	0.0	0.0	0.0	0.4998479319541938
primary_qc	named_gene	LGR5	1	1	4433	3400	0.29719451362347915	0.379648913524904	-0.08245439990142484	0.0	0.0	0.0	0.48206960496808693
primary_qc	named_gene	MKI67	1	1	4433	3400	0.11074048184147808	0.11526020533781693	-0.004519723496338848	0.0	0.0	0.0	0.49689574182932816
primary_qc	named_gene	CDH17	1	1	4433	3400	0.20447756558235436	0.22178487218939624	-0.017307306607041884	0.0	0.0	0.0	0.49238638022319237
primary_qc	named_gene	TJP1	1	1	4433	3400	0.3269795223215954	0.4127329224877155	-0.0857534001661201	0.0	0.0	0.0	0.47548479983015085
primary_qc	named_gene	CLDN2	1	1	4433	3400	0.03378866055823087	0.03525473131454293	-0.0014660707563120615	0.0	0.0	0.0	0.4987750958718701
primary_qc	named_gene	CLDN3	1	1	4433	3400	1.4084231217572978	1.1845293359157756	0.2238937858415222	1.7648775038280027	0.0	1.7648775038280027	0.545692997704383
primary_qc	named_gene	CLDN4	1	1	4433	3400	1.890086005575402	1.606147324841473	0.283938680733929	2.4543012007119227	1.9098514059085905	0.5444497948033322	0.5504912355196985
primary_qc	named_gene	CLDN7	1	1	4433	3400	1.4540339544230902	1.4117573239505705	0.04227663047251973	1.863096412738768	1.6540063999063968	0.20909001283237116	0.5083151762848157
primary_qc	named_gene	CRB3	1	1	4433	3400	0.3149440726187128	0.3052008021186993	0.009743270500013501	0.0	0.0	0.0	0.49708221095792254
primary_qc	named_gene	F11R	1	1	4433	3400	0.5935072546600884	0.6583228786972113	-0.06481562403712293	0.0	0.0	0.0	0.48310326296094797
strict_qc	programme	REC_PROGRAM_TOP50	50	42	4180	3080	0.003182778436722317	-0.004319485021265659	0.007502263457987976	-0.018878607428300893	-0.03432971249026601	0.015451105061965113	0.5238825110296402
strict_qc	programme	REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	25	4180	3080	-0.003046325145600377	0.004134298411886409	-0.0071806235574867865	-0.032811060050376435	-0.029182657983747903	-0.003628402066628532	0.4958318834275772
strict_qc	programme	CORE_HRC	100	92	4180	3080	-0.015005466632584629	0.02036456185850772	-0.035370028491092345	-0.03350977752230275	-0.011205402947248314	-0.022304374575054433	0.4529279811097993
strict_qc	programme	PARTIAL_EMT	71	63	4180	3080	-0.005801894324062383	0.007873999439799372	-0.013675893763861755	-0.025469548627126075	-0.014414734780238723	-0.011054813846887352	0.4798544009817933
strict_qc	programme	HALLMARK_E2F_TARGETS	200	191	4180	3080	-0.004453452784699465	0.006043971636377743	-0.010497424421077208	-0.0225648357304868	-0.02888216001981437	0.006317324289327568	0.5159901432299757
strict_qc	programme	HALLMARK_G2M_CHECKPOINT	200	190	4180	3080	-0.008770740384288378	0.011903147664391338	-0.020673888048679714	-0.02984954766331276	-0.023124616164247533	-0.006724931499065227	0.4791448145156279
strict_qc	programme	ACTIN_TURNOVER	57	56	4180	3080	-0.016187454202912455	0.02196868784680973	-0.03815614204972219	-0.042537696452343794	-0.0060701266636244335	-0.03646756978871936	0.43358067172062387
strict_qc	programme	JUNB_TIGHT_JUNCTION_TARGETS_5_POSTHOC	5	5	4180	3080	0.023300294934401347	-0.031621828839542544	0.05492212377394389	0.006220150761714738	-0.04113723538383582	0.04735738614555056	0.5365545578823091
strict_qc	programme	REC_PROGRAM_TOP50_DISJOINT_JUNCTION	49	41	4180	3080	0.0018141275345519993	-0.0024620302254630354	0.0042761577600150345	-0.019336015224010218	-0.03180508246130591	0.01246906723729569	0.5177187286397813
strict_qc	programme	TIGHT_JUNCTION_DISJOINT_REC	29	24	4180	3080	-0.005643983086071457	0.00765969133109722	-0.013303674417168676	-0.04375653183619749	-0.03154781973933703	-0.01220871209686046	0.48360490585969057
strict_qc	named_gene	KLF4	1	1	4180	3080	0.6541724188626024	0.7136799512547575	-0.059507532392155116	0.0	0.0	0.0	0.484667596159821
strict_qc	named_gene	ELF3	1	1	4180	3080	0.339922156223816	0.33035792654608526	0.00956422967773074	0.0	0.0	0.0	0.498214324551047
strict_qc	named_gene	GRHL2	1	1	4180	3080	0.07039581000747296	0.10878037039074062	-0.038384560383267666	0.0	0.0	0.0	0.48805163735785745
strict_qc	named_gene	EPCAM	1	1	4180	3080	1.698508004373125	1.614237297064647	0.08427070730847808	2.3653584240305525	2.0864585043349453	0.27889991969560723	0.5178658422916796
