qc_definition	endpoint_type	endpoint_id	declared_gene_count	measurable_variable_gene_count	n_treated_cells	n_vehicle_cells	mean_treated	mean_vehicle	mean_difference	median_treated	median_vehicle	median_difference	auc_treated_greater_vehicle
strict_qc	named_gene	ZEB1	1	1	4180	3080	0.005876208519368867	0.006506292872446826	-0.0006300843530779587	0.0	0.0	0.0	0.4997355216553781
strict_qc	named_gene	LGR5	1	1	4180	3080	0.2886006554300539	0.37780058745102507	-0.08919993202097115	0.0	0.0	0.0	0.4802236220717082
strict_qc	named_gene	MKI67	1	1	4180	3080	0.10775957737982343	0.11152121675328633	-0.0037616393734628967	0.0	0.0	0.0	0.4968298716833406
strict_qc	named_gene	CDH17	1	1	4180	3080	0.20313416671663723	0.21483635688353628	-0.011702190166899051	0.0	0.0	0.0	0.49263503541912634
strict_qc	named_gene	TJP1	1	1	4180	3080	0.32415856217705596	0.412251509555176	-0.08809294737812001	0.0	0.0	0.0	0.47400865283042315
strict_qc	named_gene	CLDN2	1	1	4180	3080	0.03384345647158141	0.037301307590940164	-0.003457851119358757	0.0	0.0	0.0	0.49830477536817247
strict_qc	named_gene	CLDN3	1	1	4180	3080	1.4142198538426105	1.2248330101837024	0.18938684365890812	1.7629743635688526	0.0	1.7629743635688526	0.5393919328279376
strict_qc	named_gene	CLDN4	1	1	4180	3080	1.8965481430016902	1.633126009202746	0.2634221337989442	2.4714929307480977	1.9394252435825545	0.5320676871655432	0.5465005359473063
strict_qc	named_gene	CLDN7	1	1	4180	3080	1.461021134527098	1.4336145855136273	0.027406549013470727	1.8953035303856862	1.7317656378042663	0.16353789258141993	0.506338353632014
strict_qc	named_gene	CRB3	1	1	4180	3080	0.3174854802640158	0.31784533875338633	-0.0003598584893705348	0.0	0.0	0.0	0.4939705151308022
strict_qc	named_gene	F11R	1	1	4180	3080	0.5916318227996467	0.666062960552167	-0.0744311377525203	0.0	0.0	0.0	0.4807413161001678
