qc_definition	endpoint_id	median_mean_difference	p025_mean_difference	p975_mean_difference	median_median_difference	p025_median_difference	p975_median_difference	cells_per_condition
primary_qc	ACTIN_TURNOVER	-0.03934293153868702	-0.041879668730375484	-0.03669163928871543	-0.03789906951527573	-0.04082649172344192	-0.03503521897152563	3400
primary_qc	CDH17	-0.01749707168084537	-0.028064079191450538	-0.00636345028543015	0.0	0.0	0.0	3400
primary_qc	CLDN2	-0.0014127375959037854	-0.00599260087161026	0.002407046931223979	0.0	0.0	0.0	3400
primary_qc	CLDN3	0.22353866074845086	0.20223119408375892	0.24613529602474069	1.7641764502480806	1.669748955171496	1.8275619948256971	3400
primary_qc	CLDN4	0.28297422925441795	0.2636246265299781	0.30619118357669556	0.5434784944710747	0.5316510241577355	0.5567187107750617	3400
primary_qc	CLDN7	0.04269602429209063	0.020308831627908176	0.06561810643894272	0.20916693341091652	0.13332194243332268	0.27696813590370795	3400
primary_qc	CORE_HRC	-0.03431474912206765	-0.03635619693882253	-0.032070710090264305	-0.02370556297261718	-0.025468047222041632	-0.02187353355742949	3400
primary_qc	CRB3	0.010149013758753517	-0.004484396694025996	0.022806924313094612	0.0	0.0	0.0	3400
primary_qc	ELF3	0.017932831021461426	0.0038254313422437253	0.03041474557545983	0.0	0.0	0.0	3400
primary_qc	EPCAM	0.10176159826214393	0.08106327258198934	0.125621238791234	0.27436061540453816	0.24352242885013767	0.30375805369261843	3400
primary_qc	F11R	-0.06425132012756218	-0.0816742130829315	-0.04908835966585146	0.0	0.0	0.0	3400
primary_qc	GRHL2	-0.038683725488079516	-0.044896975086518874	-0.032297781005008214	0.0	0.0	0.0	3400
primary_qc	HALLMARK_E2F_TARGETS	-0.006344493025918486	-0.00807732532940352	-0.004550977372971581	0.009550510237300414	0.00801377029638677	0.011363183745262564	3400
primary_qc	HALLMARK_G2M_CHECKPOINT	-0.017764909698742087	-0.01981560276193459	-0.015963970896626992	-0.003978081971080016	-0.005828222761537118	-0.0020952178098646124	3400
primary_qc	JUNB_TIGHT_JUNCTION_TARGETS_5_POSTHOC	0.06984907820110176	0.06255087985842604	0.07687264933205502	0.05998301748808474	0.05558039343081414	0.06570856358261783	3400
primary_qc	KLF4	-0.04935909010392464	-0.0650450428222769	-0.032233414401892556	0.0	0.0	0.0	3400
primary_qc	LGR5	-0.08207970172053167	-0.09478246302132333	-0.07087401796572391	0.0	0.0	0.0	3400
primary_qc	MKI67	-0.004465994027964583	-0.01190336662137963	0.004075116576319997	0.0	0.0	0.0	3400
primary_qc	PARTIAL_EMT	-0.010892960704528852	-0.013016667838704326	-0.008507134708250997	-0.0059353972466710935	-0.00877937247576862	-0.0031889592595127224	3400
primary_qc	REACTOME_TIGHT_JUNCTION_INTERACTIONS	-0.005555002031084173	-0.008526628296097842	-0.002652734428744035	-0.0005856059710703243	-0.003017920530087065	0.0026648862262078333	3400
primary_qc	REC_PROGRAM_TOP50	0.012324685529581226	0.009442697525644993	0.014853375094961402	0.02052387362620862	0.018155663014853093	0.023828792862632932	3400
primary_qc	REC_PROGRAM_TOP50_DISJOINT_JUNCTION	0.008635710611906065	0.0058338457713538695	0.011426501135363252	0.01672331866931695	0.01402445249467725	0.019618186035169998	3400
primary_qc	TIGHT_JUNCTION_DISJOINT_REC	-0.012552928470550652	-0.015755013731993152	-0.009780059464667059	-0.010469734345343158	-0.013784104621738	-0.008965822754914544	3400
primary_qc	TJP1	-0.08612040764080922	-0.09944169601716302	-0.07220814032208014	0.0	0.0	0.0	3400
primary_qc	ZEB1	-0.0009373174452066563	-0.0031494312835806354	0.0007765570020938119	0.0	0.0	0.0	3400
strict_qc	ACTIN_TURNOVER	-0.0381451726749683	-0.04117454633589185	-0.035533755115275775	-0.03654992049275333	-0.03971025401372356	-0.03359624558319795	3080
strict_qc	CDH17	-0.011442330816166857	-0.023339813323097418	0.0005871151853304818	0.0	0.0	0.0	3080
strict_qc	CLDN2	-0.003391911631476025	-0.00878218399462247	0.0012802879001686444	0.0	0.0	0.0	3080
strict_qc	CLDN3	0.19075297378751965	0.16375082926941312	0.2159390684434043	1.7640259658300825	1.6447526275913416	1.8393442670591194	3080
strict_qc	CLDN4	0.26436064896649847	0.2387049738110659	0.28839797580840537	0.5330607279664084	0.5197521602396264	0.5438228365793695	3080
strict_qc	CLDN7	0.027843589600250462	0.0030924011613032774	0.05250242232739021	0.1672622333533944	0.09555319906059731	0.22824976442180755	3080
strict_qc	CORE_HRC	-0.0353763252702425	-0.037818913403802064	-0.03326073729280882	-0.02241789273634349	-0.025194672410185855	-0.020443528154648113	3080
strict_qc	CRB3	-0.0002402018491727831	-0.015817718184191344	0.015984161832124207	0.0	0.0	0.0	3080
strict_qc	ELF3	0.010096527482115869	-0.005823650181856085	0.025907606200887962	0.0	0.0	0.0	3080
strict_qc	EPCAM	0.08357717481968041	0.06142404854082981	0.10791659433879866	0.27889991969560723	0.24611073740772865	0.30273811971601117	3080
strict_qc	F11R	-0.07482153036340972	-0.09491751958691276	-0.05601210715377597	0.0	0.0	0.0	3080
strict_qc	GRHL2	-0.03862250462179276	-0.04562692983061469	-0.03194022749092727	0.0	0.0	0.0	3080
strict_qc	HALLMARK_E2F_TARGETS	-0.010563564578274565	-0.012710146277487	-0.008545803872934124	0.006196952870037881	0.004468912430242737	0.007989882570707946	3080
strict_qc	HALLMARK_G2M_CHECKPOINT	-0.02073278908522673	-0.02279919060422169	-0.018435262024957103	-0.006724931499065227	-0.00844890569236357	-0.004539114930056096	3080
strict_qc	JUNB_TIGHT_JUNCTION_TARGETS_5_POSTHOC	0.05484877912165938	0.04693496139681659	0.0631372185325539	0.04751310532507235	0.04191502908204456	0.053884587616265606	3080
strict_qc	KLF4	-0.05962690296297274	-0.08075325120355052	-0.04043059704722716	0.0	0.0	0.0	3080
strict_qc	LGR5	-0.08980883276752308	-0.1035268235942801	-0.07572576144894552	0.0	0.0	0.0	3080
strict_qc	MKI67	-0.003185255039697521	-0.012597563919523214	0.0049611037123134406	0.0	0.0	0.0	3080
strict_qc	PARTIAL_EMT	-0.013817342623995713	-0.01614397696216186	-0.01135954048656016	-0.011077919870110794	-0.013851039230553388	-0.007313738196754873	3080
strict_qc	REACTOME_TIGHT_JUNCTION_INTERACTIONS	-0.00727159123257755	-0.010914468829341039	-0.0037554911862789737	-0.00366924831969722	-0.006839094465781764	-0.00015393009793560064	3080
strict_qc	REC_PROGRAM_TOP50	0.007516631066293125	0.004518690612093779	0.010293120624778484	0.015522543380125042	0.012266910669360184	0.01833270541679989	3080
strict_qc	REC_PROGRAM_TOP50_DISJOINT_JUNCTION	0.004327290410628159	0.001517495369727782	0.007207143250959674	0.012534853356894499	0.009839122104618623	0.015404646469659196	3080
strict_qc	TIGHT_JUNCTION_DISJOINT_REC	-0.01322642632149032	-0.01701744049107692	-0.010200936273804813	-0.012164153560842744	-0.01543519351640702	-0.00990219846591822	3080
strict_qc	TJP1	-0.08720855312185039	-0.10145508707559452	-0.0732076931798748	0.0	0.0	0.0	3080
strict_qc	ZEB1	-0.0006219456737528981	-0.002750654666567106	0.0014685615466966387	0.0	0.0	0.0	3080
