pair_id	regulon_id	candidate_class	side	program_id	gene_role	gene	mean_expression	detected_epithelial_cells	expression_bin
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC036214.1	0.01664354590221694	238	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC067852.3	0.0412422470309553	648	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC068473.5	0.011358303035308603	181	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC072054.1	0.009684426105106572	147	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC073389.3	0.007255366464506803	113	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC073593.2	0.036100089818088425	519	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC078846.1	0.07222926579064423	1079	16
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC079922.2	0.018162794436779373	290	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC079949.2	0.01544249143030963	226	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC087500.1	0.08943043400207894	1181	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC090617.4	0.01880988125887762	296	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC090921.1	0.02116782846181399	256	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC091887.1	0.03946572492299729	579	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC092295.1	0.007652804487254479	114	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC093249.2	0.07373406708489957	964	16
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	AC100800.1	0.030138936888792354	445	14
