path	source	sha256
analysis_work/e_mtab_12043_spatial_full/Sample3/outs/spatial/scalefactors_json.json	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	241c48ca0c418e33f456a028e056b67a45c85e4e34569b2c2d1dac392d0ada50
analysis_work/e_mtab_12043_spatial_full/Sample3/outs/spatial/tissue_positions.csv	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	2874f944efcfd544d4135e985c83ea4f1f5a976c05b4a16b504c378abfaf76b9
analysis_work/e_mtab_12043_spatial_full/Sample4/outs/filtered_feature_bc_matrix.h5	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	efbd7d94ac1c6d3284cb25284b2d914cee0638eec2d9165453a5892f094307af
analysis_work/e_mtab_12043_spatial_full/Sample4/outs/spatial/scalefactors_json.json	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	108fc7c5065ef87c17b4263a23f6a067aafe0288b94f282f52bb3d2a1437e81d
analysis_work/e_mtab_12043_spatial_full/Sample4/outs/spatial/tissue_positions.csv	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	4b61f37e5457c9283bbd48822a889ec2b297c0a9196f3e1b8da42c07ae7575c7
analysis_work/e_mtab_12043_spatial_full/Sample5/outs/filtered_feature_bc_matrix.h5	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	8f200ef50cc1243848807b2712b7d763fbb2ebd3ef2c1698c626736a1ba4c70f
analysis_work/e_mtab_12043_spatial_full/Sample5/outs/spatial/scalefactors_json.json	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	16ef41f49e166c9ce91d01feb6e7f456790e6e849b1b218480d79b47f7274038
analysis_work/e_mtab_12043_spatial_full/Sample5/outs/spatial/tissue_positions.csv	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	4b9421878564586bafa1f1f55af1233a8fea92eb29fec4e5b6e49271006c1523
analysis_work/e_mtab_12043_spatial_full/Sample6/outs/filtered_feature_bc_matrix.h5	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	0600212d6c699f1b3b2f1e162a8e2300dbf5813fa4bd8e5b6256c18dab4220be
analysis_work/e_mtab_12043_spatial_full/Sample6/outs/spatial/scalefactors_json.json	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	f7127eee53f9d29b79e08978648dd5007b2961191d7058a2248c3aef60658885
analysis_work/e_mtab_12043_spatial_full/Sample6/outs/spatial/tissue_positions.csv	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	7ee927b81f42a1f7c28f05a7f4a31dcc12290ecf91303d4bf1abda5cd35b6517
analysis_work/e_mtab_12043_spatial_full/Sample7/outs/filtered_feature_bc_matrix.h5	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	c3509ef880049f6a0130132e55610a03e8877c53d804dc243295430835613c4b
analysis_work/e_mtab_12043_spatial_full/Sample7/outs/spatial/scalefactors_json.json	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	5e026dea3d794d089c5705cea2dd5b5b5a325e2f3533a8e299a4d4a22fe9348e
analysis_work/e_mtab_12043_spatial_full/Sample7/outs/spatial/tissue_positions.csv	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	2c13316a23b0501795fc46f24b35c36650f0de50d46b27863ef5ec20717c3fbb
data_sources/AlvarezVillanueva_2026_tight_junction/41467_2025_68169_MOESM5_ESM.xlsx	https://doi.org/10.1038/s41467-025-68169-3 ; supplementary table MOESM5	cf18172b904688740c79267e4f43a69c4d9d3dcf4fbb8ee5c403aa724e929afb
data_sources/Borrelli_2024_PlexinB2_KLF4/GSE267981/GSM8282884_rPlxnb2_filtered_feature_bc_matrix.h5	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267981	49fb80760756b47c7d9bd427101f706e53c3d79d8f30eb909309b38f1b5760ac
data_sources/Borrelli_2024_PlexinB2_KLF4/GSE267981/GSM8282885_ctrl_filtered_feature_bc_matrix.h5	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267981	bcd93382bb92634448dac05dacb9135061b1832070b7f2e77e6592ca29832ca2
data_sources/CRC_Atlas_CZI_core/crc_atlas_core_czi.h5ad	https://datasets.cellxgene.cziscience.com/4a8b9568-965e-46b8-a427-baab6bf018e5.h5ad	718774363933b57c6a4661e8aaf0ee7d86b717b047442afe6457c01986789ac6
data_sources/E_MTAB_HGP_CRLM/E-MTAB-12043_L1_spatial_pilot_download_manifest.tsv	GitHub Release companion: https://github.com/Elliott0114/crc-metastatic-growth-pattern-atlas/releases/download/manuscript-2026-09-21/emtab-matrix-inputs-2026-09-21.tar.gz	d2fd46cb09c7d627f14e62726c8b9a0b1479f0c9acd235ebc072c59aa70b6cca
data_sources/EscrivaConde_BJC_2026_HGP_ISS/prepared_cells_panel_2.h5ad	https://crclm2.serve.scilifelab.se/iss_panel_2.tmap?dl=1 ; extract files/prepared_cells_panel_2.h5ad	aa3996b2728f590bbaf8de58812ad443a95d40ffe5909c7b59f53e11b1f9bffb
data_sources/GSE151165/GSE151165_RNA_seq.raw_read_count.xlsx	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151165	70df31bb05e9a5b4669440dc7ed39b27226961cacd33d5a714953f68d771b10f
data_sources/Goto_2026_GATA6/GSE290752/GSE290752_ngoto_RNAseq_met_Ct.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290753 ; GSE290752 ; Ensembl release 101 GRCm38 annotation	1bc544aa7f8fa97740763987a17fa0a8126aa8c50519b79be29dcf0e3e44cccc
data_sources/Goto_2026_GATA6/GSE290752/GSE290752_series_matrix.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290753 ; GSE290752 ; Ensembl release 101 GRCm38 annotation	c7643322ccdc31392c9ae46b60ae65082efb21f70d4a08b81d8696c7a9e745e9
data_sources/Goto_2026_GATA6/GSE290753/GSE290753_ngoto_RNAseq_GATA6KO_Ct.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290753 ; GSE290752 ; Ensembl release 101 GRCm38 annotation	0420201980593ae33e984ccff1f0105a17981e2e5960fe3259716e4f7f8dd3ae
data_sources/Goto_2026_GATA6/GSE290753/GSE290753_series_matrix.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290753 ; GSE290752 ; Ensembl release 101 GRCm38 annotation	684b0120e2bb5021d7483adffa23608932c8af539002709c82eae614b093adeb
data_sources/Goto_2026_GATA6/reference/Mus_musculus.GRCm38.101.gtf.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290753 ; GSE290752 ; Ensembl release 101 GRCm38 annotation	c19fe320e0f775efa0eb9624862e44d4337368e018e8fe10182db9e3b0cdd2e3
data_sources/Latacz_2024_targeted_HGP_interface/SupplTablesLataczforupload.xlsx	https://doi.org/10.1007/s10585-024-10319-w ; supplementary coefficient workbook	2eacfb8ef87d38311fd7f9bf01bac114594eac9a03a768db599e659a16642e28
data_sources/Liu_2026_GSE294385/extracted/IX_56688/filtered_feature_bc_matrix/barcodes.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	84b9e86d6db786f2f138b86ecf2114d4b704762288faff194c14b4ca232ca86e
data_sources/Liu_2026_GSE294385/extracted/IX_56688/filtered_feature_bc_matrix/features.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	6fdb227d443659ff95cb7644e4394fafc3ac8e1d80b2017abec64329f03a1be5
data_sources/Liu_2026_GSE294385/extracted/IX_56688/filtered_feature_bc_matrix/matrix.mtx.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	51259e4c6ed9dace2a68ff67b19cb5792fe77f3c1b97aa271189bb8c4045ce2a
