table	order	sheet	reference	n_rows	kind	source	assembly
3	10	Regulon_overlap	reference/workbooks/03/Regulon_overlap.json	8	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/supplementary_figure_6/figure_phase2_regulatory_target_overlap_source_data.tsv	workbook_sources.py
3	11	Regulon_patient_correlations	reference/workbooks/03/Regulon_patient_correlations.json	72	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/supplementary_figure_6/figure_phase2_regulatory_coexistence_patient_source_data.tsv	workbook_sources.py
3	12	Regulon_summary	reference/workbooks/03/Regulon_summary.json	8	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/supplementary_figure_6/figure_phase2_regulatory_coexistence_summary_source_data.tsv	workbook_sources.py
3	13	Regulon_state_activity	reference/workbooks/03/Regulon_state_activity.json	24	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/supplementary_figure_6/figure_phase2_regulatory_state_activity_source_data.tsv	workbook_sources.py
3	14	Added_source_index	reference/workbooks/03/Added_source_index.json	13	provenance		workbook_sources.py
4	0	Table_4	reference/workbooks/04/Table_4.json	203	summary	analysis_results/rec_evidence_bridge_2026-09-16/counts/programme_tests.tsv;analysis_results/rec_evidence_bridge_2026-09-16/integration/coverage_only_claudin_HGP.tsv;analysis_results/rec_evidence_bridge_2026-09-16/integration/matched_gene_patient_HGP_effects.tsv;analysis_results/rec_evidence_bridge_2026-09-16/spatial/region_effects.tsv;analysis_results/rec_hgp_focused_revision_2026-09-07/hgp/component_contrasts.tsv;analysis_results/rec_junction_context_2026-09-16/measurement_qc/exact_historical_set_normalization_sensitivity.tsv;analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/camera_tests.tsv;analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/composition_models.tsv;analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/gene_directions.tsv;analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv;analysis_results/rec_manuscript_reinforcement_2026-09-17/sections/comparison_diagnostics.tsv;analysis_results/rec_manuscript_reinforcement_2026-09-17/sections/programme_tests.tsv;analysis_results/rec_program_reader_facing_specificity/rec_program_length_sensitivity.tsv;analysis_results/rec_public_upgrade_2026-09-07/specificity/existing_rival_models_corrected.tsv;analysis_results/rec_public_upgrade_2026-09-07/specificity/new_rival_HGP_models.tsv	summary_sources.py
4	1	Bulk_patient_scores	reference/workbooks/04/Bulk_patient_scores.json	15	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/patient_scores.tsv	workbook_sources.py
4	2	Bulk_full_disjoint	reference/workbooks/04/Bulk_full_disjoint.json	6	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/score_effects.tsv	workbook_sources.py
4	3	Bulk_composition_models	reference/workbooks/04/Bulk_composition_models.json	4	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/composition_models.tsv	workbook_sources.py
4	4	Bulk_patient_omissions	reference/workbooks/04/Bulk_patient_omissions.json	180	data	analysis_results/rec_manuscript_reinforcement_2026-09-17/bulk/patient_omissions.tsv	workbook_sources.py
