endpoint	model	term	coef	exp(coef)	se(coef)	z	Pr(>|z|)
"OS"	"univariable"	"REC"	0.182658261814358	1.20040411405428	0.0983457765440105	1.8573066198996	0.0632675431305341
"OS"	"clinical"	"REC"	0.140298706327537	1.15061744424132	0.106066367247276	1.32274452278028	0.185920351921187
"OS"	"clinical"	"sexMale"	0.768456216705928	2.15643461504902	0.22424586039391	3.42684683389945	0.000610633394583569
"OS"	"clinical"	"synchronousYes"	-0.193626889454162	0.823965277057271	0.252447797606325	-0.766997736918701	0.443082861062321
"OS"	"clinical"	"marginR1"	0.618680296666483	1.85647642637112	0.218327688979888	2.83372347116024	0.00460091262584829
"OS"	"clinical"	"marginR2"	1.080749963815	2.94688878249385	0.401630723870332	2.69090460361275	0.00712585680945638
"OS"	"clinical"	"extrahepaticYes"	0.734405696824684	2.08424295215409	0.244420724080707	3.00467850910295	0.00265861698875406
"OS"	"clinical"	"neoadjuvantYes"	0.207646109458477	1.23077753194213	0.27438040261618	0.756781852780299	0.449180566671462
"OS"	"clinical"	"RASMut"	0.442869135890518	1.55716854353286	0.20312253431434	2.18030528904864	0.0292348392798484
"OS"	"clinical_LMS"	"REC"	-0.0716552315467784	0.930851768819096	0.128962627619601	-0.555627881266027	0.578465267295392
"OS"	"clinical_LMS"	"sexMale"	0.844608814850077	2.32706732231696	0.230177121584033	3.66938646655084	0.000243133286415679
"OS"	"clinical_LMS"	"synchronousYes"	-0.0668720309154604	0.935314885068303	0.262629658121435	-0.254624825671974	0.799012882922273
"OS"	"clinical_LMS"	"marginR1"	0.613050785091338	1.84605473288509	0.227165579279741	2.69869575767199	0.0069611783647287
"OS"	"clinical_LMS"	"marginR2"	1.06593133779691	2.90354190351839	0.422022135859621	2.52577115564259	0.0115444653861793
"OS"	"clinical_LMS"	"extrahepaticYes"	0.735347679875936	2.08620719868794	0.250984005000137	2.92985873691646	0.00339116128211003
"OS"	"clinical_LMS"	"neoadjuvantYes"	0.157048211244262	1.17005202220499	0.281515159100326	0.557867689065701	0.576934736632988
"OS"	"clinical_LMS"	"RASMut"	0.494443216852084	1.63958509151952	0.223404044678721	2.21322410506554	0.0268821990140214
"OS"	"clinical_LMS"	"LMSLMS2"	-0.395432356249317	0.673388832430938	0.424577646717488	-0.931354628079222	0.351670152600565
"OS"	"clinical_LMS"	"LMSLMS3"	-0.953501500861367	0.385389217483787	0.380082918117173	-2.50866707081906	0.0121187644365503
"OS"	"clinical_LMS"	"LMSLMS4"	-0.762359558712837	0.46656424146448	0.322015089671276	-2.36746532434576	0.0179103982969982
"OS"	"clinical_LMS"	"LMSLMS5"	-0.879433790004315	0.415017832413172	0.369723028587609	-2.37862865443862	0.017377171803252
"CSS"	"univariable"	"REC"	0.154596181764539	1.16718653471934	0.103431451091285	1.4946728498288	0.134999843328345
"CSS"	"clinical"	"REC"	0.101523123912401	1.10685551292593	0.112139926423103	0.90532540149309	0.365293023165548
"CSS"	"clinical"	"sexMale"	0.791766941491719	2.20729314044336	0.234453622414394	3.3770727589454	0.000732616681334268
"CSS"	"clinical"	"synchronousYes"	-0.227516575944037	0.796509218495836	0.260123126974595	-0.874649549965838	0.381764618306991
"CSS"	"clinical"	"marginR1"	0.75709471093909	2.13207292553006	0.231421671198697	3.27149444136999	0.00106980691571284
"CSS"	"clinical"	"marginR2"	1.04775997241278	2.85125706482551	0.424249718967285	2.46967746958856	0.0135234920266335
"CSS"	"clinical"	"extrahepaticYes"	0.938989230355573	2.5573951740901	0.248437926939682	3.77957279680389	0.000157097660164287
"CSS"	"clinical"	"neoadjuvantYes"	0.0738167209773673	1.07660946748186	0.278290906888664	0.265250208146036	0.790816719114643
"CSS"	"clinical"	"RASMut"	0.514005036229852	1.67197412026089	0.212401998945181	2.41996327144977	0.015522074797815
"CSS"	"clinical_LMS"	"REC"	-0.064353167183313	0.937673785437529	0.136141122430298	-0.472694554257556	0.63643111236486
"CSS"	"clinical_LMS"	"sexMale"	0.834289130019465	2.30317620738431	0.237573865165318	3.51170415752136	0.000445243336149163
"CSS"	"clinical_LMS"	"synchronousYes"	-0.144320798633548	0.865610017003075	0.269296013949983	-0.535918807399624	0.592014665637397
"CSS"	"clinical_LMS"	"marginR1"	0.743885582159726	2.10409528660371	0.240066325552482	3.09866692235061	0.00194393429250102
"CSS"	"clinical_LMS"	"marginR2"	1.03403751854751	2.812398051583	0.444819386702922	2.32462331781888	0.0200921108367197
"CSS"	"clinical_LMS"	"extrahepaticYes"	0.955690924500147	2.6004666885083	0.253088204731089	3.77611799615705	0.000159291552662544
"CSS"	"clinical_LMS"	"neoadjuvantYes"	0.0280171267200406	1.02841329761723	0.286307227466039	0.0978568615539537	0.922045955009784
"CSS"	"clinical_LMS"	"RASMut"	0.548906951300834	1.7313595229405	0.233337683192974	2.35241450840531	0.0186519768204499
"CSS"	"clinical_LMS"	"LMSLMS2"	-0.449120889344821	0.638188943786973	0.473976399858167	-0.947559603134706	0.343353699750647
"CSS"	"clinical_LMS"	"LMSLMS3"	-0.78902379167617	0.454288058672741	0.396953440356809	-1.98769858491954	0.0468450355309969
"CSS"	"clinical_LMS"	"LMSLMS4"	-0.609720501000068	0.543502756324197	0.343311510030585	-1.77599784215143	0.0757332728109261
"CSS"	"clinical_LMS"	"LMSLMS5"	-0.683401784027372	0.50489651877189	0.39124121088871	-1.7467530643692	0.0806801813357617
