component	gene
Claudin	CLDN1
Claudin	CLDN10
Claudin	CLDN11
Claudin	CLDN12
Claudin	CLDN14
Claudin	CLDN15
Claudin	CLDN16
Claudin	CLDN17
Claudin	CLDN18
Claudin	CLDN19
Claudin	CLDN2
Claudin	CLDN20
Claudin	CLDN22
Claudin	CLDN23
Claudin	CLDN3
Claudin	CLDN4
Claudin	CLDN5
Claudin	CLDN6
Claudin	CLDN7
Claudin	CLDN8
Claudin	CLDN9
Polarity	CRB3
Polarity	PALS1
Polarity	PARD3
Polarity	PARD6A
Polarity	PARD6B
Polarity	PARD6G
Polarity	PATJ
Polarity	PRKCI
Junction	CLDN1
Junction	CLDN10
Junction	CLDN11
Junction	CLDN12
Junction	CLDN14
Junction	CLDN15
Junction	CLDN16
Junction	CLDN17
Junction	CLDN18
Junction	CLDN19
Junction	CLDN2
Junction	CLDN20
Junction	CLDN22
Junction	CLDN23
Junction	CLDN3
Junction	CLDN4
Junction	CLDN5
Junction	CLDN6
Junction	CLDN7
Junction	CLDN8
Junction	CLDN9
Junction	CRB3
Junction	F11R
Junction	PALS1
Junction	PARD3
Junction	PARD6A
Junction	PARD6B
Junction	PARD6G
Junction	PATJ
Junction	PRKCI
HRC	ABHD11-AS1
HRC	AC009133.12
HRC	ADAM9
HRC	AHNAK
HRC	AHNAK2
HRC	ANXA11
HRC	ARFGAP3
HRC	B4GALNT3
HRC	B4GALT1
HRC	BAIAP2L1
HRC	BMP2
HRC	C19ORF33
HRC	C1ORF106
HRC	CAMK2N1
HRC	CD55
HRC	CD59
HRC	CD68
HRC	CDA
HRC	CDCP1
HRC	CDKN2B
HRC	CEACAM1
HRC	CEACAM5
HRC	CGN
HRC	CLIC3
HRC	COL17A1
HRC	CXCL16
HRC	CYP3A5
HRC	CYSTM1
HRC	DDR1
HRC	DSG2
HRC	DUSP5
HRC	EFNB1
HRC	EMP1
HRC	EPS8L1
HRC	ERO1L
HRC	EZR
HRC	FA2H
HRC	FLNB
HRC	GBP3
HRC	GJB3
HRC	GPRC5A
HRC	HEBP2
HRC	ITGA2
HRC	ITGA3
HRC	ITGB1
HRC	ITGB4
HRC	JUP
HRC	KLK10
HRC	KRT80
HRC	LAMA3
HRC	LAMB3
HRC	LAMC2
HRC	LIPH
HRC	LMO7
HRC	LRP10
HRC	MISP
HRC	MUC13
HRC	MXD1
HRC	MYH14
HRC	MYOF
HRC	PCDH1
HRC	PDZK1IP1
HRC	PINK1
HRC	PLAUR
HRC	PLEC
HRC	PPARD
HRC	PPP2CB
HRC	PRSS22
HRC	PTK6
HRC	PTPRH
HRC	RHOF
HRC	RIOK3
HRC	RNF103
HRC	RRAS
HRC	SDCBP2
HRC	SEMA3B
HRC	SERINC2
HRC	SLC2A1
HRC	SLC44A4
HRC	SLC6A8
HRC	SLPI
HRC	SMAD3
HRC	SNX9
HRC	SPINT1
HRC	SSFA2
HRC	STK24
HRC	TIMP2
HRC	TINAGL1
HRC	TJP3
HRC	TM4SF1
HRC	TMBIM1
HRC	TMPRSS2
HRC	TMPRSS4
HRC	TNFRSF21
HRC	TSPAN1
HRC	TSPAN3
HRC	UGCG
HRC	USP53
RSC	ABI3
RSC	ACSM3
RSC	AKR1B1
RSC	ALCAM
RSC	ANXA1
RSC	ANXA3
RSC	ANXA5
RSC	AP1S3
RSC	ARHGAP44
RSC	ARL14
RSC	ARL4C
RSC	AVPI1
RSC	BAIAP2L2
RSC	BASP1
RSC	BOK
RSC	C6ORF141
RSC	CA12
RSC	CA2
RSC	CAMKK1
RSC	CAMSAP2
RSC	CAP2
RSC	CAPN5
RSC	CAVIN3
RSC	CCDC92
RSC	CCL2
RSC	CCN2
RSC	CD14
RSC	CD44
RSC	CD68
RSC	CELF2
RSC	CGNL1
RSC	CKAP2
RSC	CKB
RSC	CLIC3
RSC	CLU
RSC	CNN2
RSC	CRYBG1
RSC	CTSH
RSC	CWH43
RSC	CXCL10
RSC	CXCL16
RSC	CXCL6
RSC	CXCL9
RSC	DAPK1
RSC	DDAH1
RSC	DYRK3
RSC	EMP1
RSC	EMP2
