patient	region	Claudin	Polarity	Junction	HRC	RSC	iCMS2	iCMS3	E2F	Hypoxia	Epithelial	Liver	iCMS	transform	filter	score
PAT5	micro_tumour	0.8092933709740124	-0.6174810508868009	0.3098188278328946	-0.3301744436811303	0.08281672551567353	-0.13505798545212105	-0.12398637393488122	-0.17440469724947588	0.06777634422220748	0.5744884968293332	-0.02095640803919845	0.01107161151723983	historical_fixed_count_prior	all_members	mean_gene_z
PAT5	macro_tumour	0.40198193777378677	0.07701681156787406	0.34728193461315626	0.6310343308071439	0.2104739949977818	0.19312232509183147	-0.04203698268199449	-0.2417654584715874	0.24050179380381456	0.5122238959987153	0.13906478360059513	-0.23515930777382596	historical_fixed_count_prior	all_members	mean_gene_z
PAT1	micro_tumour	0.38533521580865415	0.15797982111348466	0.26106985533167987	-0.16352406446402126	0.04003807371663719	-0.2514067062435091	-0.010256110112861696	-0.09383576299203723	0.060806789252557655	-0.3565176221407086	0.9981415731005674	0.24115059613064738	historical_fixed_count_prior	all_members	mean_gene_z
PAT1	macro_tumour	-0.3896543342418651	-0.1483396062364354	-0.32958990668136795	0.17781497159317364	-0.014137799304056033	0.016270961426788903	-0.1692844829972771	0.0683712982194811	-0.18231224077724198	0.43391685829566606	-0.22133795982396356	-0.18555544442406602	historical_fixed_count_prior	all_members	mean_gene_z
PAT3	micro_tumour	-0.006105773289713597	0.8264492738050755	0.22270438904734527	-0.15620338417525298	-0.03100780054413981	0.2690749830987978	0.02793177441693037	0.4935076580782315	-0.08039811046004014	-0.7678982371596359	0.6842475342520341	-0.24114320868186742	historical_fixed_count_prior	all_members	mean_gene_z
PAT3	macro_tumour	-0.20415889458536218	0.8944104339293247	0.1118714849587782	0.1315181516566619	-0.11734192946958213	0.3838861587184667	0.1009660057583402	0.060129789906932976	-0.2448604103979369	-0.4755012977207482	-0.08961017541871429	-0.2829201529601265	historical_fixed_count_prior	all_members	mean_gene_z
PAT2	micro_tumour	0.9143301174608564	0.7231085988846757	0.8299476165296488	-0.5375342536159845	0.2231522021321237	0.08566403985912648	0.4065849161319004	0.4439691099338996	0.3324588088037362	-1.420923177584992	-0.4663925548554517	0.32092087627277394	historical_fixed_count_prior	all_members	mean_gene_z
PAT2	macro_tumour	-0.8985500956720694	0.4853413118791278	-0.49471084059417414	0.4541078033234614	0.029254283716937036	0.3305391399748133	-0.1295690697359071	0.3367378636684511	0.048269541427280814	0.44101480905102974	-1.7202640025886398	-0.4601082097107204	historical_fixed_count_prior	all_members	mean_gene_z
PAT4	micro_tumour	0.2930679393565676	-0.46810086629712755	0.10178028463063733	-0.484251227977331	-0.28063638342057406	-0.07726875273870398	-0.14150538784217911	0.29774662701601307	-0.3356701589463878	0.22609632534692592	0.7744251379956145	-0.06423663510347513	historical_fixed_count_prior	all_members	mean_gene_z
PAT4	macro_tumour	0.12505139513657287	-0.36056610427513536	0.04927308925657605	0.2983260928803445	-0.006404842716583051	-0.21028253885937626	0.0991252390875164	-0.471876706024095	-0.10705267732228486	0.7942518620906056	-0.3187301073435095	0.30940777794689267	historical_fixed_count_prior	all_members	mean_gene_z
PAT6	micro_tumour	0.4201105435950358	-0.027680665134878192	0.24747649694563698	-0.059912512311720165	0.3061489397984171	-0.887456389040249	0.311211934195873	-0.5178680381268028	0.2901502736713299	-0.648338203393115	0.7160921142690548	1.198668323236122	historical_fixed_count_prior	all_members	mean_gene_z
PAT6	macro_tumour	-0.2698439958573049	0.11283252608026774	-0.15470580557041597	0.14096939948650797	-0.3787205678172455	0.041584318292314945	0.09405686308069508	0.11053165338308793	-0.24439596464985977	-0.2556553696374656	-1.963278465721122	0.052472544788380135	historical_fixed_count_prior	all_members	mean_gene_z
PAT9	macro_tumour	-0.2566123178560896	0.3536055012975753	-0.06584781427162373	0.38138564866406777	-0.14027564296375994	0.7883960470322683	-0.03391584045347334	0.373667621516469	-0.13187669876122152	-0.07543953197451225	-0.9743901751198378	-0.8223118874857416	historical_fixed_count_prior	all_members	mean_gene_z
PAT9	micro_tumour	0.18864852626416567	-0.7065298815469978	-0.09297444770540858	-0.8454122275173893	-0.2197457315309932	-0.48836946781429896	0.03206507603821538	-1.4924910932758064	0.23835215408668473	-1.3047448279015925	1.8797960448676088	0.5204345438525143	historical_fixed_count_prior	all_members	mean_gene_z
PAT7	micro_tumour	0.24133107846510043	-0.5628236360257024	0.011426091095976561	-0.09348177397916224	0.21447352331266312	-0.7082318463408875	0.2643013402954876	-0.7775703358097937	0.5674172382919421	-0.15885001808874194	1.183141554771427	0.9725331866363751	historical_fixed_count_prior	all_members	mean_gene_z
PAT7	macro_tumour	0.07089114239524215	-0.07611884265741675	0.06398780788379345	0.47485763930402847	0.1732896895959059	0.03089481131040536	0.16070544611872534	0.33208319870014424	-0.1623454239750627	0.9860217778595557	-0.6576226355368523	0.12981063480831997	historical_fixed_count_prior	all_members	mean_gene_z
PAT11	micro_tumour	-0.34163867557962324	-0.26905443161314685	-0.28252952848001134	0.1405969116323151	0.12696561418155827	-0.040907430987701957	0.049286850639664696	-0.09701372685990874	0.15600448679542658	0.1113711285486948	1.2111183834130765	0.09019428162736665	historical_fixed_count_prior	all_members	mean_gene_z
PAT11	macro_tumour	-0.3518487706336808	-0.112452609207942	-0.2597854101508339	0.5669236896597296	0.2807188059435503	-2.472433222570714e-05	-0.06556862628482316	-0.39866804561694413	0.13968271793280115	0.7905125229459335	0.35433319011848924	-0.06554390195259745	historical_fixed_count_prior	all_members	mean_gene_z
PAT8	macro_tumour	-0.33971823704764964	-0.03150760104427764	-0.21865783402056527	0.6896853054647583	0.19741275708317368	0.15757103315512488	-0.03758761512457178	-0.20304203288588737	0.0425134286843561	0.6301248636199839	-0.7834804606871986	-0.19515864827969667	historical_fixed_count_prior	all_members	mean_gene_z
PAT10	macro_tumour	-0.492811352412581	-0.25906075103733883	-0.4201179642788599	-0.5092966105762476	-0.43905290654972334	0.19279876287077377	-0.3459671508112837	0.5626932139387727	-0.3941677057119135	-0.007813290908560122	-1.2125947703939304	-0.5387659136820575	historical_fixed_count_prior	all_members	mean_gene_z
