pair_id	priority	side	program_id	gene_role	gene	mean_expression	detected_epithelial_cells	expression_bin
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC011511.2	0.01933296145244737	291	13
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC012085.2	0.07571016026508265	1061	16
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC012435.3	0.005049698032916713	81	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC012447.1	0.03258073462285156	495	14
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC013460.1	0.000346700504335625	7	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC015871.7	0.017658097295417396	281	13
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC016957.2	0.007524484436563666	120	11
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC017028.2	0.0003701369397100663	6	3
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC018697.1	0.0044055659093790705	57	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC018752.1	0.005477549004540125	88	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC018816.1	0.04263191386239133	631	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC019130.1	0.07214919725061016	968	16
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC019163.1	0.009894943354957674	157	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC020656.2	0.058456411560661906	641	16
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC020663.3	0.010116386457507932	157	12
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC020763.1	0.0007475581411285088	12	5
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC020908.1	0.0060335999388810594	96	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC020915.2	0.050346883130078006	754	15
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC021351.1	0.004470137837482826	65	10
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC021660.4	0.0026893861937607763	44	8
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC021733.2	0.0009543415205759695	15	6
actin_tight_junction	secondary	a	ACTIN_TURNOVER_UNION	control	AC022558.2	0.020036989033084415	320	13
