hops	restriction	score	component	n_genes	endpoint	n	effect	low	high	p	n_positive	loo_min	loo_max	q
5	all_tumour	mean_logCPM	Polarity	8	HGP_localization	6	-0.03240541914838365	-0.19094884256855002	0.1261380042717827	0.7	NA	-0.0952589053377008	0.036801515119133064	0.9
5	all_tumour	mean_logCPM	Junction	30	near_minus_deep	6	0.14853904361207024	-0.06274317829078702	0.4588949983073436	0.46875	5.0	0.004784979299937664	0.2174146743611523	0.5
5	all_tumour	mean_logCPM	Junction	30	HGP_near	6	0.07725373883682618	-0.13534652076223086	0.28985399843588366	0.7	NA	0.00323446385285564	0.17589478245398826	0.8
5	all_tumour	mean_logCPM	Junction	30	HGP_localization	6	-0.19411501158213765	-0.8137971861071316	0.24529000670974144	0.9	NA	-0.41483284135037723	0.11674139630265934	0.9
5	all_tumour	mean_logCPM	HRC	87	near_minus_deep	6	-0.16675957559547516	-0.29743955926478866	-0.05482414649125452	0.0625	1.0	-0.2016621158306279	-0.10906129331820277	0.25
5	all_tumour	mean_logCPM	HRC	87	HGP_near	6	0.08328528131141955	-0.6330191034523622	0.7446311302803172	0.8	NA	-0.1542148047411347	0.44143747369331177	0.8
5	all_tumour	mean_logCPM	HRC	87	HGP_localization	6	-0.1441568335001377	-0.35870090653508974	0.10056536282435384	0.4	NA	-0.2674523924630539	-0.03595033618199113	0.9
5	all_tumour	mean_gene_z	Claudin	21	near_minus_deep	6	0.06469180165943744	-0.15148840832202212	0.37144546311025406	0.84375	3.0	-0.08076706462368136	0.13149546997417405	0.875
5	all_tumour	mean_gene_z	Claudin	21	HGP_near	6	0.08506146927505515	-0.21145532202167017	0.31535378679210724	0.6	NA	0.0001463208388471221	0.23331986492341777	1.0
5	all_tumour	mean_gene_z	Claudin	21	HGP_localization	6	-0.1949348393324848	-0.8082760139838084	0.23742558063043437	0.9	NA	-0.4106777199524475	0.11997861654219102	0.9
5	all_tumour	mean_gene_z	Polarity	8	near_minus_deep	6	0.02713469400784807	-0.056229696805787266	0.10409934870427535	0.5	4.0	0.003233158630415833	0.06022527124514494	0.875
5	all_tumour	mean_gene_z	Polarity	8	HGP_near	6	-0.2293839819963452	-0.8877618966734897	0.4289939326807992	0.6	NA	-0.5103004288451801	0.06866103628095757	1.0
5	all_tumour	mean_gene_z	Polarity	8	HGP_localization	6	-0.03167391187956049	-0.18560322127241508	0.12225539751329409	0.9	NA	-0.09789689716403022	0.043134053243791555	0.9
