scoring	scope	n_target_pairs	n	effect	low	high	p	n_positive	loo_min	loo_max	q_four_secondary_tests
fixed_background	full_reference	0	14	0.09645864853028618	0.06190600027276517	0.12940124877584172	0.0003662109375	13	0.0891301705893521	0.1049023668749478	NA
fixed_background	measurement_matched	7	14	0.11796772885245344	0.09104422670254858	0.14790347720867184	0.0001220703125	14	0.10896208362117006	0.12427554635273173	0.00048828125
fixed_background	size_matched	8	14	0.046074053514084626	0.019598236074333877	0.07137111542018612	0.0064697265625	10	0.04038118296073851	0.053618746935577326	0.008626302083333332
target_mean	full_reference	0	14	0.09287123042752927	0.056523950619893765	0.12812396435777892	0.0013427734375	12	0.0838247047577733	0.10254972550359319	NA
target_mean	measurement_matched	7	14	0.10634871716963121	0.07437823958562782	0.13625046242230984	0.000244140625	13	0.09872969698481461	0.11647983154057104	0.00048828125
target_mean	size_matched	8	14	0.04039612542607727	0.013131075996071094	0.06688293648703206	0.0146484375	10	0.03283188315946327	0.047297729939584	0.0146484375
