polarity_gene	claudin_gene	squared_distance	delta_z_log_mean	delta_z_logit_detection
CRB3	CLDN16	0.026091894298361267	0.08376640095889207	0.13811257860439574
PALS1	CLDN12	0.023386617652750588	0.09540356374147674	0.11951894275878017
PARD3	CLDN4	0.21115609350488707	0.2027107647990729	0.41238869933530187
PARD6A	CLDN9	0.06615625547144241	0.1779691814506129	0.18569659642880165
PARD6B	CLDN1	0.004691770023483278	0.024697592530515733	0.0638889579401628
PARD6G	CLDN11	0.004949204421660774	-0.060736098304441155	-0.03550113779041503
PRKCI	CLDN7	0.03229149052887539	-0.12525901944971907	-0.1288474624327941
