Dataset or source	Manuscript reference	Modality	Role in the study	Primary evaluable material	Design structure	REC-programme coverage	Inferential unit	Main display
Escriva Conde et al.	10	Targeted in situ sequencing	Tissue ecology, neoplastic-state composition and secondary front localisation	304410 cells in 22 post-QC regions from 17 patients; 15 pure-HGP patients in primary between-HGP analyses	7 dHGP and 8 rHGP pure-HGP patients	Not applicable to programme projection	Patient	Figure 1; Supplementary Figure 1
Ogden et al.	11	Single-nucleus RNA and chromatin accessibility profiling	Whole-transcriptome state reference and source-only REC-programme definition	Ten epithelial reference states for mapping; 9 eligible patients for paired REC-versus-other-epithelial programme derivation	No HGP comparison; programme defined before external projection	50 genes selected from 15892 tested genes	Patient	Figure 2; Supplementary Figure 2
GSE151165	6	Bulk RNA sequencing	Primary independent patient-level HGP test and tumour-versus-adjacent-liver context	15 independent HGP-labelled tumours; 30 unpaired tumour and adjacent-liver public columns for tissue context	9 dHGP and 6 rHGP samples in each tissue compartment	48 of 50 genes	Patient or independent public sample	Figure 3a-c; Supplementary Figure 3
Latacz interface cohort	8	Tumour-liver-interface RNA sequencing	Directional gene-level corroboration	57 pure-HGP interface specimens from 51 patients	33 rHGP and 24 dHGP specimens; 6 patients contributed repeated specimens	50 of 50 genes	Published gene-model coefficient; no programme-level P value	Figure 3d-e
E-MTAB-12022	7	Single-cell RNA sequencing	Directional epithelial-pseudobulk support	38425 retained cells from 6 public datasets; 5 patients had at least 20 tumour or epithelial cells	2 dHGP and 3 rHGP eligible patients	50 of 50 genes	Patient	Figure 4a
E-MTAB-12043	7	FFPE Visium spatial transcriptomics	Regional abundance, spatial placement and boundary localisation	6 patient sections after primary spot QC	3 dHGP and 3 rHGP patients; 4 overlap with E-MTAB-12022	45 of 50 genes	Patient section	Figure 4b-d; Supplementary Figure 4
GSE294385	15	Spatial transcriptomics with source region labels	Paired micro-versus-macrometastatic lesion-size analysis	24 liver sections; 11 patients with paired microtumour and macrotumour summaries	Paired lesion regions without HGP labels	45 of 50 genes	Patient	Figure 5; Figure 6
