analysis	n_genes	rec_similarity	rec_rank	second_state	second_similarity	rec_minus_second
"pearson"	94	0.387120425703507	1	"Goblet"	0.177280930498023	0.209839495205484
"spearman"	94	0.38797095690496	1	"Goblet"	0.170696817541451	0.217274139363508
"cosine"	94	0.376228962602676	1	"Hypoxia"	0.228630148147706	0.147598814454971
"pearson_without_six_source_markers"	88	0.33543372954136	1	"Hypoxia"	0.164204083388961	0.171229646152398
