omitted_dataset	omitted_patient	top_Ogden_state	top_pearson	second_Ogden_state	second_pearson	top_minus_second_margin
ISS	P01	REC	0.36576641965409595	Hypoxia	0.17519511748020977	0.19057130217388618
ISS	P02	REC	0.38901546049727287	Goblet	0.19287150473684403	0.19614395576042884
ISS	P03	REC	0.39961760641048955	Goblet	0.19246582513975508	0.20715178127073447
ISS	P04	REC	0.41711393243477884	Hypoxia	0.18016616164916038	0.23694777078561846
ISS	P05	REC	0.38273533390080045	Goblet	0.18752549491519074	0.1952098389856097
ISS	P06	REC	0.3831066236816015	Goblet	0.1885611742915574	0.1945454493900441
ISS	P07	REC	0.38681096722569036	Goblet	0.16141064459978494	0.22540032262590542
ISS	P08	REC	0.3923612444585869	Goblet	0.18109839511609527	0.21126284934249162
ISS	P10	REC	0.36297041362275084	Goblet	0.15131590373609524	0.2116545098866556
ISS	P11	REC	0.37879753943077277	Goblet	0.2174314322221477	0.16136610720862507
ISS	P12	REC	0.35073701295202214	Goblet	0.1832059572681963	0.16753105568382584
ISS	P13	REC	0.3928584789797732	Goblet	0.18357301040244206	0.20928546857733116
ISS	P14	REC	0.39176767279272157	Goblet	0.19152062745552134	0.20024704533720022
ISS	P15	REC	0.3996711079099329	Goblet	0.16905933432660705	0.23061177358332582
ISS	P16	REC	0.39655967190703295	Goblet	0.1733132281436728	0.22324644376336014
ISS	P17	REC	0.3997665771378457	Goblet	0.15573363729118953	0.24403293984665617
ISS	P18	REC	0.38650143475663573	Goblet	0.16609919685562402	0.2204022379010117
Ogden	CRC01	REC	0.3789246066023137	Goblet	0.185339732226033	0.1935848743762807
Ogden	CRC02	REC	0.4039256991689429	Goblet	0.19037233031331996	0.21355336885562293
Ogden	CRC03	REC	0.3669376458403436	Goblet	0.1642243524433904	0.2027132933969532
Ogden	CRC04	STATE_COVERAGE_CHANGED		STATE_COVERAGE_CHANGED		
Ogden	CRC05	STATE_COVERAGE_CHANGED		STATE_COVERAGE_CHANGED		
Ogden	CRC06	STATE_COVERAGE_CHANGED		STATE_COVERAGE_CHANGED		
Ogden	CRC07	REC	0.3731047347198414	Goblet	0.1806112541606204	0.192493480559221
Ogden	CRC08	REC	0.41534675090227985	Goblet	0.22463083151509552	0.19071591938718432
Ogden	CRC09	REC	0.37203474934177383	Goblet	0.16526855231552742	0.2067661970262464
Ogden	CRC10	STATE_COVERAGE_CHANGED		STATE_COVERAGE_CHANGED		
Ogden	CRC11	REC	0.3531753381358008	Hypoxia	0.1516483955906549	0.20152694254514592
Ogden	CRC12	STATE_COVERAGE_CHANGED		STATE_COVERAGE_CHANGED		
Ogden	CRC13	REC	0.3871204257035075	Goblet	0.17728093049802368	0.20983949520548384
Ogden	CRC14	REC	0.3774733297534976	Goblet	0.14327792772212203	0.2341954020313756
Ogden	CRC15	REC	0.4003842875323609	Goblet	0.18676704785467466	0.21361723967768623
