dataset	component	gene	source_gene	measured_variable
GSE151165	HRC	MYH14	MYH14	True
GSE151165	HRC	MYOF	MYOF	True
GSE151165	HRC	PCDH1	PCDH1	True
GSE151165	HRC	PDZK1IP1	PDZK1IP1	True
GSE151165	HRC	PINK1	PINK1	True
GSE151165	HRC	PLAUR	PLAUR	True
GSE151165	HRC	PLEC	PLEC	True
GSE151165	HRC	PPARD	PPARD	True
GSE151165	HRC	PPP2CB	PPP2CB	True
GSE151165	HRC	PRSS22	PRSS22	True
GSE151165	HRC	PTK6	PTK6	True
GSE151165	HRC	PTPRH	PTPRH	True
GSE151165	HRC	RHOF	RHOF	True
GSE151165	HRC	RIOK3	RIOK3	True
GSE151165	HRC	RNF103	RNF103	True
GSE151165	HRC	RRAS	RRAS	True
GSE151165	HRC	SDCBP2	SDCBP2	True
GSE151165	HRC	SEMA3B	SEMA3B	True
GSE151165	HRC	SERINC2	SERINC2	True
GSE151165	HRC	SLC2A1	SLC2A1	True
GSE151165	HRC	SLC44A4	SLC44A4	True
GSE151165	HRC	SLC6A8	SLC6A8	True
GSE151165	HRC	SLPI	SLPI	True
GSE151165	HRC	SMAD3	SMAD3	True
GSE151165	HRC	SNX9	SNX9	True
GSE151165	HRC	SPINT1	SPINT1	True
GSE151165	HRC	SSFA2	SSFA2	True
GSE151165	HRC	STK24	STK24	True
GSE151165	HRC	TIMP2	TIMP2	True
GSE151165	HRC	TINAGL1	TINAGL1	True
GSE151165	HRC	TJP3	TJP3	True
GSE151165	HRC	TM4SF1	TM4SF1	True
GSE151165	HRC	TMBIM1	TMBIM1	True
GSE151165	HRC	TMPRSS2	TMPRSS2	True
GSE151165	HRC	TMPRSS4	TMPRSS4	True
GSE151165	HRC	TNFRSF21	TNFRSF21	True
GSE151165	HRC	TSPAN1	TSPAN1	True
GSE151165	HRC	TSPAN3	TSPAN3	True
GSE151165	HRC	UGCG	UGCG	True
GSE151165	HRC	USP53	USP53	True
GSE151165	RSC	ABI3	ABI3	True
GSE151165	RSC	ACSM3	ACSM3	True
GSE151165	RSC	AKR1B1	AKR1B1	True
GSE151165	RSC	ALCAM	ALCAM	True
GSE151165	RSC	ANXA1	ANXA1	True
GSE151165	RSC	ANXA3	ANXA3	True
GSE151165	RSC	ANXA5	ANXA5	True
GSE151165	RSC	AP1S3	AP1S3	True
GSE151165	RSC	ARHGAP44	ARHGAP44	True
GSE151165	RSC	ARL14	ARL14	True
GSE151165	RSC	ARL4C	ARL4C	True
GSE151165	RSC	AVPI1	AVPI1	True
GSE151165	RSC	BAIAP2L2	BAIAP2L2	True
GSE151165	RSC	BASP1	BASP1	True
GSE151165	RSC	BOK	BOK	True
GSE151165	RSC	C6ORF141	C6ORF141	True
GSE151165	RSC	CA12	CA12	True
GSE151165	RSC	CA2	CA2	True
GSE151165	RSC	CAMKK1	CAMKK1	True
GSE151165	RSC	CAMSAP2	CAMSAP2	True
GSE151165	RSC	CAP2	CAP2	True
GSE151165	RSC	CAPN5	CAPN5	True
GSE151165	RSC	CAVIN3		False
GSE151165	RSC	CCDC92	CCDC92	True
GSE151165	RSC	CCL2	CCL2	True
GSE151165	RSC	CCN2		False
GSE151165	RSC	CD14	CD14	True
GSE151165	RSC	CD44	CD44	True
GSE151165	RSC	CD68	CD68	True
GSE151165	RSC	CELF2	CELF2	True
GSE151165	RSC	CGNL1	CGNL1	True
GSE151165	RSC	CKAP2	CKAP2	True
GSE151165	RSC	CKB	CKB	True
GSE151165	RSC	CLIC3	CLIC3	True
GSE151165	RSC	CLU	CLU	True
GSE151165	RSC	CNN2	CNN2	True
GSE151165	RSC	CRYBG1		False
GSE151165	RSC	CTSH	CTSH	True
GSE151165	RSC	CWH43	CWH43	True
GSE151165	RSC	CXCL10	CXCL10	True
GSE151165	RSC	CXCL16	CXCL16	True
GSE151165	RSC	CXCL6	CXCL6	True
GSE151165	RSC	CXCL9	CXCL9	True
GSE151165	RSC	DAPK1	DAPK1	True
GSE151165	RSC	DDAH1	DDAH1	True
GSE151165	RSC	DYRK3	DYRK3	True
GSE151165	RSC	EMP1	EMP1	True
GSE151165	RSC	EMP2	EMP2	True
GSE151165	RSC	ENAH	ENAH	True
GSE151165	RSC	ENDOD1	ENDOD1	True
GSE151165	RSC	EPHA2	EPHA2	True
GSE151165	RSC	EPHA4	EPHA4	True
GSE151165	RSC	EPN3	EPN3	True
GSE151165	RSC	EPOP		False
GSE151165	RSC	EPS8L1	EPS8L1	True
GSE151165	RSC	EREG	EREG	True
GSE151165	RSC	ETV5	ETV5	True
GSE151165	RSC	EYA2	EYA2	True
GSE151165	RSC	FABP5	FABP5	True
GSE151165	RSC	FFAR4		False
GSE151165	RSC	FHL2	FHL2	True
GSE151165	RSC	FKBP9	FKBP9	True
GSE151165	RSC	FLNA	FLNA	True
GSE151165	RSC	FMNL2	FMNL2	True
GSE151165	RSC	FOSL1	FOSL1	True
GSE151165	RSC	FXYD3	FXYD3	True
GSE151165	RSC	GADD45B	GADD45B	True
GSE151165	RSC	GASK1B		False
GSE151165	RSC	GATM	GATM	True
GSE151165	RSC	GCNT1	GCNT1	True
GSE151165	RSC	GCNT3	GCNT3	True
GSE151165	RSC	GJB3	GJB3	True
GSE151165	RSC	GLIPR1	GLIPR1	True
GSE151165	RSC	GPNMB	GPNMB	True
GSE151165	RSC	GPR137B	GPR137B	True
GSE151165	RSC	GPX2	GPX2	True
GSE151165	RSC	GTSE1	GTSE1	True
GSE151165	RSC	HMOX1	HMOX1	True
GSE151165	RSC	HSPA2	HSPA2	True
GSE151165	RSC	HSPB1	HSPB1	True
GSE151165	RSC	HSPH1	HSPH1	True
GSE151165	RSC	HYAL1	HYAL1	True
GSE151165	RSC	ICA1	ICA1	True
GSE151165	RSC	ICAM1	ICAM1	True
GSE151165	RSC	ID2	ID2	True
GSE151165	RSC	IL17RE	IL17RE	True
GSE151165	RSC	IL1RN	IL1RN	True
GSE151165	RSC	IL33	IL33	True
GSE151165	RSC	ILDR1	ILDR1	True
GSE151165	RSC	INKA2		False
GSE151165	RSC	IRF1	IRF1	True
GSE151165	RSC	ITGA2	ITGA2	True
GSE151165	RSC	ITGAV	ITGAV	True
GSE151165	RSC	ITGB4	ITGB4	True
GSE151165	RSC	ITPRIPL2	ITPRIPL2	True
GSE151165	RSC	KCNN4	KCNN4	True
GSE151165	RSC	KIFC3	KIFC3	True
GSE151165	RSC	KLF7	KLF7	True
GSE151165	RSC	KRT15	KRT15	True
GSE151165	RSC	KRT18	KRT18	True
GSE151165	RSC	KRT23	KRT23	True
