dataset	component	gene	source_gene	measured_variable
GSE151165	iCMS2	PEX16	PEX16	True
GSE151165	iCMS2	PFDN4	PFDN4	True
GSE151165	iCMS2	PGRMC1	PGRMC1	True
GSE151165	iCMS2	PHF20	PHF20	True
GSE151165	iCMS2	PHYH	PHYH	True
GSE151165	iCMS2	PID1	PID1	True
GSE151165	iCMS2	PIGU	PIGU	True
GSE151165	iCMS2	PKIG	PKIG	True
GSE151165	iCMS2	PLAGL2	PLAGL2	True
GSE151165	iCMS2	PLCB4	PLCB4	True
GSE151165	iCMS2	PLIN2	PLIN2	True
GSE151165	iCMS2	PLTP	PLTP	True
GSE151165	iCMS2	PM20D2	PM20D2	True
GSE151165	iCMS2	PMEPA1	PMEPA1	True
GSE151165	iCMS2	POFUT1	POFUT1	True
GSE151165	iCMS2	PPP1R14D	PPP1R14D	True
GSE151165	iCMS2	PQBP1	PQBP1	True
GSE151165	iCMS2	PRAP1	PRAP1	True
GSE151165	iCMS2	PRELID3B		False
GSE151165	iCMS2	PRKDC	PRKDC	True
GSE151165	iCMS2	PROSER1	PROSER1	True
GSE151165	iCMS2	PROX1	PROX1	True
GSE151165	iCMS2	PRPF6	PRPF6	True
GSE151165	iCMS2	PRR15	PRR15	True
GSE151165	iCMS2	PRSS23	PRSS23	True
GSE151165	iCMS2	PSMA7	PSMA7	True
GSE151165	iCMS2	PSPH	PSPH	True
GSE151165	iCMS2	PTPRO	PTPRO	True
GSE151165	iCMS2	QPRT	QPRT	True
GSE151165	iCMS2	RAB15	RAB15	True
GSE151165	iCMS2	RAB20	RAB20	True
GSE151165	iCMS2	RAB22A	RAB22A	True
GSE151165	iCMS2	RAE1	RAE1	True
GSE151165	iCMS2	RALGAPB	RALGAPB	True
GSE151165	iCMS2	RALY	RALY	True
GSE151165	iCMS2	RASL11A	RASL11A	True
GSE151165	iCMS2	RB1CC1	RB1CC1	True
GSE151165	iCMS2	RBM39	RBM39	True
GSE151165	iCMS2	RBMX2	RBMX2	True
GSE151165	iCMS2	RETREG1		False
GSE151165	iCMS2	RGMB	RGMB	True
GSE151165	iCMS2	RIDA		False
GSE151165	iCMS2	RNASEH2B	RNASEH2B	True
GSE151165	iCMS2	RNF113A	RNF113A	True
GSE151165	iCMS2	RNF114	RNF114	True
GSE151165	iCMS2	RNF170	RNF170	True
GSE151165	iCMS2	RNF43	RNF43	True
GSE151165	iCMS2	RNF6	RNF6	True
GSE151165	iCMS2	RP9	RP9	True
GSE151165	iCMS2	RPIA	RPIA	True
GSE151165	iCMS2	RPN2	RPN2	True
GSE151165	iCMS2	RPRD1B	RPRD1B	True
GSE151165	iCMS2	RPUSD1	RPUSD1	True
GSE151165	iCMS2	RRP9	RRP9	True
GSE151165	iCMS2	RRS1	RRS1	True
GSE151165	iCMS2	RUBCNL		False
GSE151165	iCMS2	SATB2	SATB2	True
GSE151165	iCMS2	SCAND1	SCAND1	True
GSE151165	iCMS2	SCARB1	SCARB1	True
GSE151165	iCMS2	SCML1	SCML1	True
GSE151165	iCMS2	SELENOP		False
GSE151165	iCMS2	SEMA5A	SEMA5A	True
GSE151165	iCMS2	SERINC3	SERINC3	True
GSE151165	iCMS2	SERPINE2	SERPINE2	True
GSE151165	iCMS2	SHD	SHD	True
GSE151165	iCMS2	SINHCAF		False
GSE151165	iCMS2	SLC20A2	SLC20A2	True
GSE151165	iCMS2	SLC26A2	SLC26A2	True
GSE151165	iCMS2	SLC26A3	SLC26A3	True
GSE151165	iCMS2	SLC29A1	SLC29A1	True
GSE151165	iCMS2	SLC2A8	SLC2A8	True
GSE151165	iCMS2	SLC35C2	SLC35C2	True
GSE151165	iCMS2	SLC38A5	SLC38A5	True
GSE151165	iCMS2	SLC39A5	SLC39A5	True
GSE151165	iCMS2	SLC3A2	SLC3A2	True
GSE151165	iCMS2	SLC52A2		False
GSE151165	iCMS2	SLC5A6	SLC5A6	True
GSE151165	iCMS2	SLC7A6	SLC7A6	True
GSE151165	iCMS2	SMAP1	SMAP1	True
GSE151165	iCMS2	SMIM26		False
GSE151165	iCMS2	SNRPB	SNRPB	True
GSE151165	iCMS2	SNRPB2	SNRPB2	True
GSE151165	iCMS2	SOX4	SOX4	True
GSE151165	iCMS2	SPATA13	SPATA13	True
GSE151165	iCMS2	SPINK1	SPINK1	True
GSE151165	iCMS2	SPRYD7	SPRYD7	True
GSE151165	iCMS2	ST6GAL1	ST6GAL1	True
GSE151165	iCMS2	STAU1	STAU1	True
GSE151165	iCMS2	STK4	STK4	True
GSE151165	iCMS2	STRAP	STRAP	True
GSE151165	iCMS2	STX16	STX16	True
GSE151165	iCMS2	SUCLA2	SUCLA2	True
GSE151165	iCMS2	SUPT20H		False
GSE151165	iCMS2	SYS1	SYS1	True
GSE151165	iCMS2	TBC1D4	TBC1D4	True
GSE151165	iCMS2	TBRG4	TBRG4	True
GSE151165	iCMS2	TCF7	TCF7	True
GSE151165	iCMS2	TDGF1	TDGF1	True
GSE151165	iCMS2	TFCP2L1	TFCP2L1	True
GSE151165	iCMS2	THBS1	THBS1	True
GSE151165	iCMS2	TIMM17B	TIMM17B	True
GSE151165	iCMS2	TIMM8A	TIMM8A	True
GSE151165	iCMS2	TIMP3	TIMP3	True
GSE151165	iCMS2	TLE2	TLE2	True
GSE151165	iCMS2	TNNC2	TNNC2	True
GSE151165	iCMS2	TOMM34	TOMM34	True
GSE151165	iCMS2	TOP1MT	TOP1MT	True
GSE151165	iCMS2	TP53RK	TP53RK	True
GSE151165	iCMS2	TPD52L2	TPD52L2	True
GSE151165	iCMS2	TPX2	TPX2	True
GSE151165	iCMS2	TRAP1	TRAP1	True
GSE151165	iCMS2	TRIB3	TRIB3	True
GSE151165	iCMS2	TRPC4AP	TRPC4AP	True
GSE151165	iCMS2	TSC22D1	TSC22D1	True
GSE151165	iCMS2	TSPAN6	TSPAN6	True
GSE151165	iCMS2	TWISTNB	TWISTNB	True
GSE151165	iCMS2	TXLNG	TXLNG	True
GSE151165	iCMS2	TXNDC9	TXNDC9	True
GSE151165	iCMS2	UBA2	UBA2	True
GSE151165	iCMS2	UBAC2	UBAC2	True
GSE151165	iCMS2	UBE2C	UBE2C	True
GSE151165	iCMS2	UCA1		False
GSE151165	iCMS2	UCHL3	UCHL3	True
GSE151165	iCMS2	UCKL1	UCKL1	True
GSE151165	iCMS2	UGT2A3	UGT2A3	True
GSE151165	iCMS2	UPF3A	UPF3A	True
GSE151165	iCMS2	UTP14A	UTP14A	True
GSE151165	iCMS2	UTP23	UTP23	True
GSE151165	iCMS2	UTP4		False
GSE151165	iCMS2	VAPB	VAPB	True
GSE151165	iCMS2	VAV3	VAV3	True
GSE151165	iCMS2	VBP1	VBP1	True
GSE151165	iCMS2	VMA21	VMA21	True
GSE151165	iCMS2	XRN2	XRN2	True
GSE151165	iCMS2	YAE1D1	YAE1D1	True
GSE151165	iCMS2	YTHDF1	YTHDF1	True
GSE151165	iCMS2	YWHAB	YWHAB	True
GSE151165	iCMS2	ZBTB10	ZBTB10	True
GSE151165	iCMS2	ZC3H13	ZC3H13	True
GSE151165	iCMS2	ZDHHC9	ZDHHC9	True
GSE151165	iCMS2	ZFAND1	ZFAND1	True
GSE151165	iCMS2	ZFAS1		False
GSE151165	iCMS2	ZMYND8	ZMYND8	True
GSE151165	iCMS2	ZNF503	ZNF503	True
GSE151165	iCMS3	ABHD3	ABHD3	True
GSE151165	iCMS3	ABO	ABO	True
GSE151165	iCMS3	ACADS	ACADS	True
GSE151165	iCMS3	ACER3	ACER3	True
GSE151165	iCMS3	ADAM9	ADAM9	True
GSE151165	iCMS3	AGR2	AGR2	True
GSE151165	iCMS3	AGR3	AGR3	True
GSE151165	iCMS3	AGRN	AGRN	True
GSE151165	iCMS3	AHNAK	AHNAK	True
GSE151165	iCMS3	AKAP13	AKAP13	True
GSE151165	iCMS3	AKR7A3	AKR7A3	True
GSE151165	iCMS3	AKT1	AKT1	True
GSE151165	iCMS3	ALDH6A1	ALDH6A1	True
GSE151165	iCMS3	ALDOB	ALDOB	True
GSE151165	iCMS3	AMN	AMN	True
GSE151165	iCMS3	ANG	ANG	True
GSE151165	iCMS3	ANKRD36C		False
GSE151165	iCMS3	ANPEP	ANPEP	True
GSE151165	iCMS3	ANXA1	ANXA1	True
GSE151165	iCMS3	ANXA13	ANXA13	True
GSE151165	iCMS3	AQP3	AQP3	True
GSE151165	iCMS3	ARSA	ARSA	True
GSE151165	iCMS3	ASAP2	ASAP2	True
GSE151165	iCMS3	ASRGL1	ASRGL1	True
GSE151165	iCMS3	ATL3	ATL3	True
GSE151165	iCMS3	ATP1B1	ATP1B1	True
GSE151165	iCMS3	ATP2A3	ATP2A3	True
GSE151165	iCMS3	ATP8A1	ATP8A1	True
GSE151165	iCMS3	ATP8B1	ATP8B1	True
GSE151165	iCMS3	B3GALT5	B3GALT5	True
GSE151165	iCMS3	B3GNT7	B3GNT7	True
GSE151165	iCMS3	BAIAP2L2	BAIAP2L2	True
GSE151165	iCMS3	BCAS1	BCAS1	True
GSE151165	iCMS3	BNIP3L	BNIP3L	True
GSE151165	iCMS3	BTBD6	BTBD6	True
GSE151165	iCMS3	C12ORF57	C12ORF57	True
GSE151165	iCMS3	C18ORF32	C18ORF32	True
GSE151165	iCMS3	C2ORF88	C2ORF88	True
GSE151165	iCMS3	C4BPB	C4BPB	True
GSE151165	iCMS3	C9ORF3	C9ORF3	True
GSE151165	iCMS3	CA12	CA12	True
GSE151165	iCMS3	CA2	CA2	True
GSE151165	iCMS3	CA7	CA7	True
GSE151165	iCMS3	CA9	CA9	True
GSE151165	iCMS3	CAMK2D	CAMK2D	True
GSE151165	iCMS3	CANT1	CANT1	True
GSE151165	iCMS3	CARD16	CARD16	True
GSE151165	iCMS3	CASC4	CASC4	True
GSE151165	iCMS3	CASZ1	CASZ1	True
GSE151165	iCMS3	CCAR2		False
GSE151165	iCMS3	CCDC68	CCDC68	True
GSE151165	iCMS3	CCNG2	CCNG2	True
GSE151165	iCMS3	CD55	CD55	True
GSE151165	iCMS3	CDC42EP1	CDC42EP1	True
GSE151165	iCMS3	CDC42EP5	CDC42EP5	True
GSE151165	iCMS3	CDKN2A	CDKN2A	True
GSE151165	iCMS3	CDKN2B	CDKN2B	True
GSE151165	iCMS3	CEACAM7	CEACAM7	True
GSE151165	iCMS3	CEP70	CEP70	True
GSE151165	iCMS3	CFD	CFD	True
GSE151165	iCMS3	CHCHD10	CHCHD10	True
GSE151165	iCMS3	CHD3	CHD3	True
GSE151165	iCMS3	CKAP4	CKAP4	True
GSE151165	iCMS3	CLCA1	CLCA1	True
GSE151165	iCMS3	CLCA4	CLCA4	True
GSE151165	iCMS3	CLSTN1	CLSTN1	True
GSE151165	iCMS3	CLU	CLU	True
GSE151165	iCMS3	COL16A1	COL16A1	True
GSE151165	iCMS3	COPG1	COPG1	True
GSE151165	iCMS3	CRACR2B		False
GSE151165	iCMS3	CREB3L1	CREB3L1	True
GSE151165	iCMS3	CRELD2	CRELD2	True
GSE151165	iCMS3	CRIP1	CRIP1	True
GSE151165	iCMS3	CTNNBIP1	CTNNBIP1	True
GSE151165	iCMS3	CTSE	CTSE	True
GSE151165	iCMS3	CXCL3	CXCL3	True
GSE151165	iCMS3	CXXC1	CXXC1	True
GSE151165	iCMS3	CYR61	CYR61	True
GSE151165	iCMS3	CYSTM1	CYSTM1	True
GSE151165	iCMS3	DEFA6	DEFA6	True
GSE151165	iCMS3	DEGS2	DEGS2	True
GSE151165	iCMS3	DENND2A	DENND2A	True
GSE151165	iCMS3	DEPP1		False
GSE151165	iCMS3	DGLUCY		False
GSE151165	iCMS3	DHRS1	DHRS1	True
GSE151165	iCMS3	DIP2A	DIP2A	True
GSE151165	iCMS3	DMBT1	DMBT1	True
GSE151165	iCMS3	DNAJC10	DNAJC10	True
GSE151165	iCMS3	DOCK5	DOCK5	True
GSE151165	iCMS3	DPYSL2	DPYSL2	True
GSE151165	iCMS3	DUSP4	DUSP4	True
GSE151165	iCMS3	EDEM3	EDEM3	True
GSE151165	iCMS3	EGLN3	EGLN3	True
GSE151165	iCMS3	ENOSF1	ENOSF1	True
GSE151165	iCMS3	ENTPD8	ENTPD8	True
GSE151165	iCMS3	EPS8L1	EPS8L1	True
GSE151165	iCMS3	ERGIC1	ERGIC1	True
GSE151165	iCMS3	ERN2	ERN2	True
GSE151165	iCMS3	F3	F3	True
GSE151165	iCMS3	FA2H	FA2H	True
GSE151165	iCMS3	FABP2	FABP2	True
GSE151165	iCMS3	FAM107B	FAM107B	True
GSE151165	iCMS3	FAM114A1	FAM114A1	True
GSE151165	iCMS3	FBXW5	FBXW5	True
GSE151165	iCMS3	FCGBP	FCGBP	True
GSE151165	iCMS3	FFAR4		False
GSE151165	iCMS3	FGFBP1	FGFBP1	True
GSE151165	iCMS3	FLII	FLII	True
GSE151165	iCMS3	FOXA1	FOXA1	True
GSE151165	iCMS3	FOXA3	FOXA3	True
GSE151165	iCMS3	FOXP1	FOXP1	True
GSE151165	iCMS3	FRMD4B	FRMD4B	True
GSE151165	iCMS3	FUT8	FUT8	True
GSE151165	iCMS3	GALNT1	GALNT1	True
GSE151165	iCMS3	GALNT12	GALNT12	True
GSE151165	iCMS3	GALNT5	GALNT5	True
GSE151165	iCMS3	GALNT7	GALNT7	True
GSE151165	iCMS3	GBA2	GBA2	True
GSE151165	iCMS3	GBP3	GBP3	True
GSE151165	iCMS3	GCNT3	GCNT3	True
GSE151165	iCMS3	GNAQ	GNAQ	True
GSE151165	iCMS3	GOLM1	GOLM1	True
GSE151165	iCMS3	GPRIN3	GPRIN3	True
GSE151165	iCMS3	GPT	GPT	True
GSE151165	iCMS3	GSDMB	GSDMB	True
GSE151165	iCMS3	GSKIP		False
GSE151165	iCMS3	GSN	GSN	True
GSE151165	iCMS3	GSR	GSR	True
GSE151165	iCMS3	GSTZ1	GSTZ1	True
GSE151165	iCMS3	HEPACAM2	HEPACAM2	True
GSE151165	iCMS3	HES4	HES4	True
GSE151165	iCMS3	HID1		False
GSE151165	iCMS3	HIF1A	HIF1A	True
GSE151165	iCMS3	HIPK1	HIPK1	True
GSE151165	iCMS3	HIPK2	HIPK2	True
GSE151165	iCMS3	HSD17B2	HSD17B2	True
GSE151165	iCMS3	IER3IP1	IER3IP1	True
GSE151165	iCMS3	IFI16	IFI16	True
GSE151165	iCMS3	IFI27L1	IFI27L1	True
GSE151165	iCMS3	IFI6	IFI6	True
GSE151165	iCMS3	IGFBP2	IGFBP2	True
GSE151165	iCMS3	IL18	IL18	True
GSE151165	iCMS3	IL1R2	IL1R2	True
GSE151165	iCMS3	IMPA2	IMPA2	True
GSE151165	iCMS3	IMPACT	IMPACT	True
GSE151165	iCMS3	IQGAP2	IQGAP2	True
GSE151165	iCMS3	ITLN1	ITLN1	True
GSE151165	iCMS3	KCNK1	KCNK1	True
GSE151165	iCMS3	KCTD12	KCTD12	True
GSE151165	iCMS3	KDELR3	KDELR3	True
GSE151165	iCMS3	KIAA1324	KIAA1324	True
GSE151165	iCMS3	KIAA1468	KIAA1468	True
GSE151165	iCMS3	KIAA1522	KIAA1522	True
GSE151165	iCMS3	KLF2	KLF2	True
GSE151165	iCMS3	KLF9	KLF9	True
GSE151165	iCMS3	KLK1	KLK1	True
GSE151165	iCMS3	KLK11	KLK11	True
GSE151165	iCMS3	KRT7	KRT7	True
GSE151165	iCMS3	L1TD1	L1TD1	True
GSE151165	iCMS3	LAMA3	LAMA3	True
GSE151165	iCMS3	LCN15	LCN15	True
GSE151165	iCMS3	LGALS2	LGALS2	True
GSE151165	iCMS3	LGR4	LGR4	True
GSE151165	iCMS3	LIMA1	LIMA1	True
GSE151165	iCMS3	LINC00467		False
GSE151165	iCMS3	LIPG	LIPG	True
GSE151165	iCMS3	LMAN1	LMAN1	True
GSE151165	iCMS3	LMF2	LMF2	True
GSE151165	iCMS3	LMNA	LMNA	True
GSE151165	iCMS3	LMO4	LMO4	True
GSE151165	iCMS3	LPCAT4	LPCAT4	True
GSE151165	iCMS3	LPIN1	LPIN1	True
GSE151165	iCMS3	LRP10	LRP10	True
GSE151165	iCMS3	LRRC26	LRRC26	True
GSE151165	iCMS3	LXN	LXN	True
GSE151165	iCMS3	LYZ	LYZ	True
GSE151165	iCMS3	MAPRE2	MAPRE2	True
GSE151165	iCMS3	MATN2	MATN2	True
GSE151165	iCMS3	MBP	MBP	True
GSE151165	iCMS3	MCU	MCU	True
GSE151165	iCMS3	ME1	ME1	True
GSE151165	iCMS3	MFHAS1	MFHAS1	True
GSE151165	iCMS3	MIA2	MIA2	True
GSE151165	iCMS3	MIA3	MIA3	True
GSE151165	iCMS3	MLPH	MLPH	True
GSE151165	iCMS3	MMP28	MMP28	True
GSE151165	iCMS3	MMP7	MMP7	True
GSE151165	iCMS3	MPDU1	MPDU1	True
GSE151165	iCMS3	MPPE1	MPPE1	True
GSE151165	iCMS3	MS4A12	MS4A12	True
GSE151165	iCMS3	MUC1	MUC1	True
GSE151165	iCMS3	MUC17	MUC17	True
GSE151165	iCMS3	MUC2	MUC2	True
GSE151165	iCMS3	MUC4	MUC4	True
GSE151165	iCMS3	MUC5AC		False
GSE151165	iCMS3	MUC5B	MUC5B	True
GSE151165	iCMS3	MYO5C	MYO5C	True
GSE151165	iCMS3	MYOF	MYOF	True
GSE151165	iCMS3	NAA38	NAA38	True
GSE151165	iCMS3	NBL1	NBL1	True
GSE151165	iCMS3	NDRG2	NDRG2	True
GSE151165	iCMS3	NDUFA4L2	NDUFA4L2	True
GSE151165	iCMS3	NDUFV2	NDUFV2	True
GSE151165	iCMS3	NEO1	NEO1	True
GSE151165	iCMS3	NFIC	NFIC	True
GSE151165	iCMS3	NPDC1	NPDC1	True
GSE151165	iCMS3	NPTN	NPTN	True
GSE151165	iCMS3	NR3C2	NR3C2	True
GSE151165	iCMS3	NR4A2	NR4A2	True
GSE151165	iCMS3	NUCB2	NUCB2	True
GSE151165	iCMS3	NUDT8	NUDT8	True
GSE151165	iCMS3	NUMB	NUMB	True
GSE151165	iCMS3	P2RX4	P2RX4	True
GSE151165	iCMS3	PADI2	PADI2	True
GSE151165	iCMS3	PALLD	PALLD	True
GSE151165	iCMS3	PAPSS2	PAPSS2	True
GSE151165	iCMS3	PCM1	PCM1	True
GSE151165	iCMS3	PDE4DIP	PDE4DIP	True
GSE151165	iCMS3	PDLIM5	PDLIM5	True
GSE151165	iCMS3	PFKP	PFKP	True
GSE151165	iCMS3	PIAS2	PIAS2	True
GSE151165	iCMS3	PIGR	PIGR	True
GSE151165	iCMS3	PLA2G10	PLA2G10	True
GSE151165	iCMS3	PLA2G2A	PLA2G2A	True
GSE151165	iCMS3	PLAC8	PLAC8	True
GSE151165	iCMS3	PLLP	PLLP	True
GSE151165	iCMS3	PMP22	PMP22	True
GSE151165	iCMS3	POLD3	POLD3	True
GSE151165	iCMS3	PPP1R12B	PPP1R12B	True
GSE151165	iCMS3	PPP2CB	PPP2CB	True
GSE151165	iCMS3	PPP3CA	PPP3CA	True
GSE151165	iCMS3	PPP4R1	PPP4R1	True
GSE151165	iCMS3	PPP6R1	PPP6R1	True
GSE151165	iCMS3	PQLC1	PQLC1	True
GSE151165	iCMS3	PRSS2		False
GSE151165	iCMS3	PTAR1	PTAR1	True
GSE151165	iCMS3	PTGFRN	PTGFRN	True
GSE151165	iCMS3	PTPN18	PTPN18	True
GSE151165	iCMS3	PTPRF	PTPRF	True
GSE151165	iCMS3	PTPRH	PTPRH	True
GSE151165	iCMS3	PYY	PYY	True
GSE151165	iCMS3	QSOX1	QSOX1	True
GSE151165	iCMS3	RAMP1	RAMP1	True
GSE151165	iCMS3	RAP1GAP	RAP1GAP	True
GSE151165	iCMS3	RARRES1	RARRES1	True
GSE151165	iCMS3	RARRES3	RARRES3	True
GSE151165	iCMS3	RASD1	RASD1	True
GSE151165	iCMS3	RASSF6	RASSF6	True
GSE151165	iCMS3	RCOR1	RCOR1	True
GSE151165	iCMS3	REG1A	REG1A	True
GSE151165	iCMS3	REG1B	REG1B	True
GSE151165	iCMS3	REG3A	REG3A	True
GSE151165	iCMS3	REG4	REG4	True
GSE151165	iCMS3	REP15	REP15	True
GSE151165	iCMS3	RETNLB	RETNLB	True
GSE151165	iCMS3	RGS10	RGS10	True
GSE151165	iCMS3	RGS2	RGS2	True
GSE151165	iCMS3	RHBDL2	RHBDL2	True
GSE151165	iCMS3	RHOBTB3	RHOBTB3	True
GSE151165	iCMS3	RIOK3	RIOK3	True
GSE151165	iCMS3	RNASE1	RNASE1	True
GSE151165	iCMS3	RNF11	RNF11	True
GSE151165	iCMS3	RNF138	RNF138	True
GSE151165	iCMS3	RNF19B	RNF19B	True
GSE151165	iCMS3	S100A13	S100A13	True
GSE151165	iCMS3	S100A14	S100A14	True
GSE151165	iCMS3	S100P	S100P	True
GSE151165	iCMS3	SAMD5	SAMD5	True
GSE151165	iCMS3	SCNN1A	SCNN1A	True
GSE151165	iCMS3	SCP2	SCP2	True
GSE151165	iCMS3	SDR16C5	SDR16C5	True
GSE151165	iCMS3	SEC24D	SEC24D	True
GSE151165	iCMS3	SERPINA1	SERPINA1	True
GSE151165	iCMS3	SERPINB5	SERPINB5	True
GSE151165	iCMS3	SEZ6L2	SEZ6L2	True
GSE151165	iCMS3	SGMS2	SGMS2	True
GSE151165	iCMS3	SH3BGRL3	SH3BGRL3	True
GSE151165	iCMS3	SHROOM3	SHROOM3	True
GSE151165	iCMS3	SIPA1L2	SIPA1L2	True
GSE151165	iCMS3	SLC22A23	SLC22A23	True
GSE151165	iCMS3	SLC25A37	SLC25A37	True
GSE151165	iCMS3	SLC28A2	SLC28A2	True
GSE151165	iCMS3	SLC35A1	SLC35A1	True
GSE151165	iCMS3	SLC37A1	SLC37A1	True
GSE151165	iCMS3	SLC4A4	SLC4A4	True
GSE151165	iCMS3	SLC6A14	SLC6A14	True
GSE151165	iCMS3	SLC9A1	SLC9A1	True
GSE151165	iCMS3	SLC9A2	SLC9A2	True
GSE151165	iCMS3	SMAD2	SMAD2	True
GSE151165	iCMS3	SMAD4	SMAD4	True
GSE151165	iCMS3	SMCHD1	SMCHD1	True
GSE151165	iCMS3	SMCO4		False
GSE151165	iCMS3	SMIM14		False
GSE151165	iCMS3	SMIM31		False
GSE151165	iCMS3	SMPDL3A	SMPDL3A	True
GSE151165	iCMS3	SOCS6	SOCS6	True
GSE151165	iCMS3	SPDEF	SPDEF	True
GSE151165	iCMS3	SPINK4	SPINK4	True
GSE151165	iCMS3	SPON1	SPON1	True
GSE151165	iCMS3	SPRED1	SPRED1	True
GSE151165	iCMS3	ST3GAL4	ST3GAL4	True
GSE151165	iCMS3	ST6GALNAC1	ST6GALNAC1	True
GSE151165	iCMS3	STIM2	STIM2	True
GSE151165	iCMS3	STXBP5	STXBP5	True
GSE151165	iCMS3	STXBP6	STXBP6	True
GSE151165	iCMS3	SYT13	SYT13	True
GSE151165	iCMS3	SYTL1	SYTL1	True
GSE151165	iCMS3	TC2N	TC2N	True
GSE151165	iCMS3	TCEA3	TCEA3	True
GSE151165	iCMS3	TCIRG1	TCIRG1	True
GSE151165	iCMS3	TFF1	TFF1	True
GSE151165	iCMS3	TFF2	TFF2	True
GSE151165	iCMS3	TFF3	TFF3	True
GSE151165	iCMS3	TLN2	TLN2	True
GSE151165	iCMS3	TM4SF4	TM4SF4	True
GSE151165	iCMS3	TMED10	TMED10	True
GSE151165	iCMS3	TMED7	TMED7	True
GSE151165	iCMS3	TMEM173	TMEM173	True
GSE151165	iCMS3	TMEM263		False
GSE151165	iCMS3	TMEM30B	TMEM30B	True
GSE151165	iCMS3	TMEM92	TMEM92	True
GSE151165	iCMS3	TNFRSF10B	TNFRSF10B	True
GSE151165	iCMS3	TNFRSF11A	TNFRSF11A	True
GSE151165	iCMS3	TNIK	TNIK	True
GSE151165	iCMS3	TOR4A		False
GSE151165	iCMS3	TP53I3	TP53I3	True
GSE151165	iCMS3	TPGS1	TPGS1	True
GSE151165	iCMS3	TPSG1	TPSG1	True
GSE151165	iCMS3	TRIM29	TRIM29	True
GSE151165	iCMS3	TRIP11	TRIP11	True
GSE151165	iCMS3	TSPAN1	TSPAN1	True
GSE151165	iCMS3	TSPAN13	TSPAN13	True
GSE151165	iCMS3	TSTA3	TSTA3	True
GSE151165	iCMS3	TUBB2A	TUBB2A	True
GSE151165	iCMS3	TVP23B		False
GSE151165	iCMS3	TYMP	TYMP	True
GSE151165	iCMS3	TYMS	TYMS	True
GSE151165	iCMS3	UGDH	UGDH	True
GSE151165	iCMS3	UGT2B17	UGT2B17	True
GSE151165	iCMS3	UGT8	UGT8	True
GSE151165	iCMS3	UNC13B	UNC13B	True
GSE151165	iCMS3	VAMP2	VAMP2	True
GSE151165	iCMS3	VAPA	VAPA	True
GSE151165	iCMS3	VILL	VILL	True
GSE151165	iCMS3	VSIG2	VSIG2	True
GSE151165	iCMS3	WARS	WARS	True
GSE151165	iCMS3	ZNF24	ZNF24	True
GSE151165	E2F	AK2	AK2	True
GSE151165	E2F	ANP32E	ANP32E	True
GSE151165	E2F	ASF1A	ASF1A	True
GSE151165	E2F	ASF1B	ASF1B	True
GSE151165	E2F	ATAD2	ATAD2	True
GSE151165	E2F	AURKA	AURKA	True
GSE151165	E2F	AURKB	AURKB	True
GSE151165	E2F	BARD1	BARD1	True
GSE151165	E2F	BIRC5	BIRC5	True
GSE151165	E2F	BRCA1	BRCA1	True
GSE151165	E2F	BRCA2	BRCA2	True
GSE151165	E2F	BRMS1L	BRMS1L	True
GSE151165	E2F	BUB1B	BUB1B	True
GSE151165	E2F	CBX5	CBX5	True
GSE151165	E2F	CCNB2	CCNB2	True
GSE151165	E2F	CCNE1	CCNE1	True
GSE151165	E2F	CCP110	CCP110	True
GSE151165	E2F	CDC20	CDC20	True
GSE151165	E2F	CDC25A	CDC25A	True
GSE151165	E2F	CDC25B	CDC25B	True
GSE151165	E2F	CDCA3	CDCA3	True
GSE151165	E2F	CDCA8	CDCA8	True
GSE151165	E2F	CDK1	CDK1	True
GSE151165	E2F	CDK4	CDK4	True
GSE151165	E2F	CDKN1A	CDKN1A	True
GSE151165	E2F	CDKN1B	CDKN1B	True
GSE151165	E2F	CDKN2A	CDKN2A	True
GSE151165	E2F	CDKN2C	CDKN2C	True
GSE151165	E2F	CDKN3	CDKN3	True
GSE151165	E2F	CENPE	CENPE	True
GSE151165	E2F	CENPM	CENPM	True
GSE151165	E2F	CHEK1	CHEK1	True
GSE151165	E2F	CHEK2	CHEK2	True
GSE151165	E2F	CIT	CIT	True
GSE151165	E2F	CKS1B	CKS1B	True
GSE151165	E2F	CKS2	CKS2	True
GSE151165	E2F	CNOT9		False
GSE151165	E2F	CSE1L	CSE1L	True
GSE151165	E2F	CTCF	CTCF	True
GSE151165	E2F	CTPS1		False
GSE151165	E2F	DCK	DCK	True
GSE151165	E2F	DCLRE1B	DCLRE1B	True
GSE151165	E2F	DCTPP1	DCTPP1	True
GSE151165	E2F	DDX39A	DDX39A	True
GSE151165	E2F	DEK	DEK	True
GSE151165	E2F	DEPDC1	DEPDC1	True
GSE151165	E2F	DIAPH3	DIAPH3	True
GSE151165	E2F	DLGAP5	DLGAP5	True
GSE151165	E2F	DNMT1	DNMT1	True
GSE151165	E2F	DONSON	DONSON	True
GSE151165	E2F	DSCC1	DSCC1	True
GSE151165	E2F	DUT	DUT	True
GSE151165	E2F	E2F8	E2F8	True
GSE151165	E2F	EED	EED	True
GSE151165	E2F	EIF2S1	EIF2S1	True
GSE151165	E2F	ESPL1	ESPL1	True
GSE151165	E2F	EXOSC8	EXOSC8	True
GSE151165	E2F	EZH2	EZH2	True
GSE151165	E2F	GINS1	GINS1	True
GSE151165	E2F	GINS3	GINS3	True
GSE151165	E2F	GINS4	GINS4	True
